STT;Khoá;Nhóm;Mã lớp HP;tenmon;Số lượng;Số lượng;SLSV;Mã GV;Mã GV;Tuần;khoa dạy;malop;Tên giảng viên;Thứ 2;Thứ 3;Thứ 4;Thứ 5;Thứ 6;Thứ 7;CN
1445;24;07;123201025202407;Mạch điện 2;48;48;0;10888;10888;"22-27;31-40";123;24N07(ES);Nguyễn Lê Hòa;;;1-3,C301;;;;
1446;24;07;123202025202407;Vật lý 3;48;48;0;11490;11490;"22-27;31-40";123;24N07(ES);Nguyễn Thị Thu Trang;;1-2,C301;;;;;
1447;24;07;123203025202407;Mạch và thiết bị điện tử 1;48;48;0;10229;10229;"22-27;31-40";123;24N07(ES);Lê Quốc Huy;;;;;8-10,C301;;
1448;24;07;123204025202407;Mạch và hệ thống số;48;48;0;10229;10229;"22-27;31-40";123;24N07(ES);Lê Quốc Huy;;;;7-10,C301;;;
1449;24;07A;123205025202407A;TH Lập trình máy tính 2;25;25;0;"11598
";"11598
";35-37;123;24N07(ES);"Nguyễn Huỳnh Nhật Thương
";;;;;;7-10,C215;
1450;24;07A;123206025202407A;TH Mạch điện 2;25;25;0;"11070
";"11070
";36-38;123;24N07(ES);"Nguyễn Hữu Lập Trường
";1-4,C115;;;;;;
1451;24;07A;123208025202407A;TH Mạch và thiết bị điện tử 1;25;25;0;"11070
";"11070
";33-35;123;24N07(ES);"Nguyễn Hữu Lập Trường
";;7-10,C115;;;;;
1452;24;07A;123209025202407A;TH Mạch và hệ thống số;25;25;0;"11319
";"11319
";36-38;123;24N07(ES);"Thái Vũ Hiền
";;7-10,C213A;;;;;
1453;24;07B;123205025202407B;TH Lập trình máy tính 2;25;25;0;"11598
";"11598
";35-37;123;24N07(ES);"Nguyễn Huỳnh Nhật Thương
";;;;;;1-4,C215;
1454;24;07B;123206025202407B;TH Mạch điện 2;25;25;0;"11070
";"11070
";37-39;123;24N07(ES);"Nguyễn Hữu Lập Trường
";1-4,C115;;;;;;
1455;24;07B;123208025202407B;TH Mạch và thiết bị điện tử 1;25;25;0;"11070
";"11070
";33-35;123;24N07(ES);"Nguyễn Hữu Lập Trường
";;;;;1-4,C115;;
1456;24;07B;123209025202407B;TH Mạch và hệ thống số;25;25;0;"11319
";"11319
";36-38;123;24N07(ES);"Thái Vũ Hiền
";;;;;1-4,C213A;;
1457;24;08;123196025202408;Toán  chuyên ngành;52;52;0;11360;11360;"22-27;31-40";123;24N08(ECE);Chử Văn Tiệp;;;;1-3,C302;;;
1458;24;08;123197025202408;Toán kỹ thuật;52;52;0;11627;11627;"22-27;31-40";123;24N08(ECE);Đoàn Quốc Khoa;;1-2,C302;;;;;
1459;24;08;123198025202408;Tiếng Anh nâng cao 1;52;52;0;11491;11491;"22-27;31-40";123;24N08(ECE);Nguyễn Thị Tú Trinh;;;1-2,C302;;;;
1460;24;08;123199025202408;Kinh tế học;52;52;0;10362;10362;"22-27;31-40";123;24N08(ECE);Lê Thị Kim Oanh;;;4-5,E1.103;;;;
1461;24;08;123200025202408;Lập trình máy tính 2;52;52;0;10073;10073;"22-27;31-40";123;24N08(ECE);Nguyễn Thanh Bình;;;;4-5,F206;;;
1462;24;08;123201025202408;Mạch điện 2;52;52;0;10402;10402;"22-27;31-40";123;24N08(ECE);Nguyễn Quang Như Quỳnh;;;;;8-10,C302;;
1463;24;08;123202025202408;Vật lý 3;52;52;0;11627;11627;"22-27;31-40";123;24N08(ECE);Đoàn Quốc Khoa;;3-4,C302;;;;;
1464;24;08;123203025202408;Mạch và thiết bị điện tử 1;52;52;0;10402;10402;"22-27;31-40";123;24N08(ECE);Nguyễn Quang Như Quỳnh;;;;;1-3,C301;;
1465;24;08;123204025202408;Mạch và hệ thống số;52;52;0;10402;10402;"22-27;31-40";123;24N08(ECE);Nguyễn Quang Như Quỳnh;7-10,C302;;;;;;
1466;24;08A;123205025202408A;TH Lập trình máy tính 2;26;26;0;"11598
";"11598
";35-37;123;24N08(ECE);"Nguyễn Huỳnh Nhật Thương
";;;7-10,C215;;;;
1467;24;08A;123206025202408A;TH Mạch điện 2;26;26;0;"11070
";"11070
";36-38;123;24N08(ECE);"Nguyễn Hữu Lập Trường
";;;;7-10,C115;;;
1468;24;08A;123208025202408A;TH Mạch và thiết bị điện tử 1;26;26;0;"11070
";"11070
";33-35;123;24N08(ECE);"Nguyễn Hữu Lập Trường
";1-4,C115;;;;;;
1469;24;08A;123209025202408A;TH Mạch và hệ thống số;26;26;0;"11319
";"11319
";36-38;123;24N08(ECE);"Thái Vũ Hiền
";1-4,C213A;;;;;;
1470;24;08B;123205025202408B;TH Lập trình máy tính 2;26;26;0;"11598
";"11598
";35-37;123;24N08(ECE);"Nguyễn Huỳnh Nhật Thương
";;;;7-10,C215;;;
1471;24;08B;123206025202408B;TH Mạch điện 2;26;26;0;"11070
";"11070
";36-38;123;24N08(ECE);"Nguyễn Hữu Lập Trường
";;;;;;1-4,C115;
1472;24;08B;123208025202408B;TH Mạch và thiết bị điện tử 1;26;26;0;"11070
";"11070
";33-35;123;24N08(ECE);"Nguyễn Hữu Lập Trường
";;;7-10,C115;;;;
1473;24;08B;123209025202408B;TH Mạch và hệ thống số;26;26;0;"11319
";"11319
";33-35;123;24N08(ECE);"Thái Vũ Hiền
";;7-10,C213A;;;;;
1474;24;10;102014125202410;Phân tích & T.kế hướng đối tượng;53;53;0;10162;10162;"22-27;31-40";102;24N10(T_DT1);Lê Thị Mỹ Hạnh;9-10,F309;;;;;;
1475;24;10;102025225202410;Công nghệ phần mềm;53;53;0;10211;10211;"22-27;31-40";102;24N10(T_DT1);Võ Đức Hoàng;1-2,H207;;;;;;
1476;24;10;102029225202410;Mạng máy tính;53;53;0;11585;11585;"22-27;31-40";102;24N10(T_DT1);Nguyễn Công Danh;;;;9-10,F208;;;
1477;24;10;102284325202410;Đồ họa máy tính;53;53;0;10253;10253;"22-27;31-40";102;24N10(T_DT1);Nguyễn Tấn Khôi;6-7,F309;;;;;;
1478;24;10;102370325202410;Lập trình .NET;53;53;0;10211;10211;"22-27;31-40";102;24N10(T_DT1);Võ Đức Hoàng;3-5,H207;;;;;;
1479;24;10;102371325202410;Lập trình Java;53;53;0;10784;10784;"22-27;31-40";102;24N10(T_DT1);Phạm Minh Tuấn;;;8-10,F208;;;;
1480;24;10;319004125202410;Xác suất thống kê;53;53;0;10623;10623;"22-27;31-40";319;24N10(T_DT1);Tôn Thất Tú;;8-10,F208;;;;;
1481;24;10A;102285325202410A;PBL 3: Công nghệ phần mềm;30;30;0;10961;10961;"22-27;31-40";102;24N10(T_DT1);Đặng Hoài Phương;;;;;;1-3,B206;
1482;24;10B;102285325202410B;PBL 3: Công nghệ phần mềm;30;30;0;10784;10784;"22-27;31-40";102;24N10(T_DT1);Phạm Minh Tuấn;;;;6-8,C202;;;
1483;24;11;102014125202411;Phân tích & T.kế hướng đối tượng;52;52;0;10162;10162;"22-27;31-40";102;24N11(T_DT2);Lê Thị Mỹ Hạnh;;;;;1-2,E2.404;;
1484;24;11;102025225202411;Công nghệ phần mềm;52;52;0;10211;10211;"22-27;31-40";102;24N11(T_DT2);Võ Đức Hoàng;;;6-7,F404;;;;
1485;24;11;102029225202411;Mạng máy tính;52;52;0;11585;11585;"22-27;31-40";102;24N11(T_DT2);Nguyễn Công Danh;;;;6-7,F404;;;
1486;24;11;102284325202411;Đồ họa máy tính;52;52;0;10253;10253;"22-27;31-40";102;24N11(T_DT2);Nguyễn Tấn Khôi;9-10,F404;;;;;;
1487;24;11;102370325202411;Lập trình .NET;52;52;0;10211;10211;"22-27;31-40";102;24N11(T_DT2);Võ Đức Hoàng;;;8-10,F404;;;;
1488;24;11;102371325202411;Lập trình Java;52;52;0;10784;10784;"22-27;31-40";102;24N11(T_DT2);Phạm Minh Tuấn;;6-8,F404;;;;;
1489;24;11;319004125202411;Xác suất thống kê;52;52;0;30887;30887;"22-27;31-40";319;24N11(T_DT2);Lê Văn Dũng;;;;8-10,F404;;;
1490;24;11A;102285325202411A;PBL 3: Công nghệ phần mềm;30;30;0;10085;10085;"22-27;31-40";102;24N11(T_DT2);Trương Ngọc Châu;;;;;;3-5,B209;
1491;24;11B;102285325202411B;PBL 3: Công nghệ phần mềm;30;30;0;10162;10162;"22-27;31-40";102;24N11(T_DT2);Lê Thị Mỹ Hạnh;;;;;3-5,C203;;
1492;24;12;102014125202412;Phân tích & T.kế hướng đối tượng;52;52;0;10162;10162;"22-27;31-40";102;24N12(T_DT3);Lê Thị Mỹ Hạnh;;;6-7,F309;;;;
1493;24;12;102025225202412;Công nghệ phần mềm;52;52;0;11729;11729;"22-27;31-40";102;24N12(T_DT3);"Đồng Ngọc Nguyên Thịnh
";;;;4-5,F404;;;
1494;24;12;102029225202412;Mạng máy tính;52;52;0;11585;11585;"22-27;31-40";102;24N12(T_DT3);Nguyễn Công Danh;;6-7,F309;;;;;
1495;24;12;102209325202412;Ngôn ngữ hình thức;52;52;0;10249;10249;"22-27;31-40";102;24N12(T_DT3);Nguyễn Thị Minh Hỷ;4-5,F404;;;;;;
1496;24;12;102284325202412;Đồ họa máy tính;52;52;0;10253;10253;"22-27;31-40";102;24N12(T_DT3);Nguyễn Tấn Khôi;;8-9,F309;;;;;
1497;24;12;102370325202412;Lập trình .NET;52;52;0;10211;10211;"22-27;31-40";102;24N12(T_DT3);Võ Đức Hoàng;;;;;3-5,F404;;
1498;24;12;102371325202412;Lập trình Java;52;52;0;10784;10784;"22-27;31-40";102;24N12(T_DT3);Phạm Minh Tuấn;;;;1-3,F404;;;
1499;24;12;319004125202412;Xác suất thống kê;52;52;0;11669;11669;"22-27;31-40";319;24N12(T_DT3);Phan Trần Đức Minh;;;8-10,F309;;;;
1500;24;12A;102285325202412A;PBL 3: Công nghệ phần mềm;30;30;0;10211;10211;"22-27;31-40";102;24N12(T_DT3);Võ Đức Hoàng;;;;;;3-5,B303;
1501;24;12B;102285325202412B;PBL 3: Công nghệ phần mềm;30;30;0;10126;10126;"22-27;31-40";102;24N12(T_DT3);Trịnh Công Duy;1-3,C202;;;;;;
1502;24;13;102014125202413;Phân tích & T.kế hướng đối tượng;59;59;0;10162;10162;"22-27;31-40";102;24N13(T_DT4);Lê Thị Mỹ Hạnh;6-7,F206;;;;;;
1503;24;13;102025225202413;Công nghệ phần mềm;59;59;0;11729;11729;"22-27;31-40";102;24N13(T_DT4);"Đồng Ngọc Nguyên Thịnh
";;;;1-2,F109;;;
1504;24;13;102029225202413;Mạng máy tính;59;59;0;11185;11185;"22-27;31-40";102;24N13(T_DT4);Nguyễn Năng Hùng Vân;;;;;1-2,F206;;
1505;24;13;102209325202413;Ngôn ngữ hình thức;59;59;0;10249;10249;"22-27;31-40";102;24N13(T_DT4);Nguyễn Thị Minh Hỷ;;6-7,F206;;;;;
1506;24;13;102370325202413;Lập trình .NET;59;59;0;10961;10961;"22-27;31-40";102;24N13(T_DT4);Đặng Hoài Phương;;;;3-5,F109;;;
1507;24;13;102371325202413;Lập trình Java;59;59;0;10784;10784;"22-27;31-40";102;24N13(T_DT4);Phạm Minh Tuấn;;;;;3-5,F206;;
1508;24;13;319004125202413;Xác suất thống kê;59;59;0;10726;10726;"22-27;31-40";319;24N13(T_DT4);Phan Quang Như Anh;;8-10,F206;;;;;
1509;24;13A;102285325202413A;PBL 3: Công nghệ phần mềm;30;30;0;10174;10174;"22-27;31-40";102;24N13(T_DT4);Mai Văn Hà;8-10,C202;;;;;;
1510;24;13B;102285325202413B;PBL 3: Công nghệ phần mềm;30;30;0;10211;10211;"22-27;31-40";102;24N13(T_DT4);Võ Đức Hoàng;;;3-5,C204;;;;
1511;24;15;102014125202415;Phân tích & T.kế hướng đối tượng;60;60;0;10162;10162;"22-27;31-40";102;24N15(T_KHDL1,2);Lê Thị Mỹ Hạnh;;;9-10,F206;;;;
1512;24;15;102025225202415;Công nghệ phần mềm;60;60;0;11729;11729;"22-27;31-40";102;24N15(T_KHDL1,2);"Đồng Ngọc Nguyên Thịnh
";;;;;1-2,F209;;
1513;24;15;102029225202415;Mạng máy tính;60;60;0;11185;11185;"22-27;31-40";102;24N15(T_KHDL1,2);Nguyễn Năng Hùng Vân;9-10,F206;;;;;;
1514;24;15;102209325202415;Ngôn ngữ hình thức;60;60;0;10249;10249;"22-27;31-40";102;24N15(T_KHDL1,2);Nguyễn Thị Minh Hỷ;;9-10,F209;;;;;
1515;24;15;102370325202415;Lập trình .NET;60;60;0;10961;10961;"22-27;31-40";102;24N15(T_KHDL1,2);Đặng Hoài Phương;;;;8-10,F309;;;
1516;24;15;102371325202415;Lập trình Java;60;60;0;10174;10174;"22-27;31-40";102;24N15(T_KHDL1,2);Mai Văn Hà;;3-5,F408;;;;;
1517;24;15;319004125202415;Xác suất thống kê;60;60;0;11067;11067;"22-27;31-40";319;24N15(T_KHDL1,2);Nguyễn Thị Thu Sương;;;6-8,F206;;;;
1518;24;15A;102285325202415A;PBL 3: Công nghệ phần mềm;30;30;0;10658;10658;"22-27;31-40";102;24N15(T_KHDL1,2);Nguyễn Văn Hiệu;;;;;;8-10,C202;
1519;24;15B;102285325202415B;PBL 3: Công nghệ phần mềm;30;30;0;10162;10162;"22-27;31-40";102;24N15(T_KHDL1,2);Lê Thị Mỹ Hạnh;;;;;;1-3,B304;
1520;24;16;102029225202416;Mạng máy tính;57;57;0;10305;10305;"22-27;31-40";102;24N16(T_Nhat1);Nguyễn Thế Xuân Ly;6-7,F209;;;;;;
1521;24;16;102283025202416;Phân tích & thiết kế giải thuật;57;57;0;10069;10069;"22-27;31-40";102;24N16(T_Nhat1);Đặng Thiên Bình;;;;1-2,F408;;;
1522;24;16;102322025202416;Toán ứng dụng Công nghệ thông tin;57;57;0;11333;11333;"22-27;31-40";102;24N16(T_Nhat1);Phạm Công Thắng;;;;;3-5,F207;;
1523;24;16;102370325202416;Lập trình .NET;57;57;0;10961;10961;"22-27;31-40";102;24N16(T_Nhat1);Đặng Hoài Phương;;6-8,F209;;;;;
1524;24;16;102371325202416;Lập trình Java;57;57;0;10174;10174;"22-27;31-40";102;24N16(T_Nhat1);Mai Văn Hà;;;;8-10,F206;;;
1525;24;16;209016025202416;Chủ nghĩa Xã hội khoa học;57;57;0;11599;11599;"22-27;31-40";209;24N16(T_Nhat1);Trương Thị Thu Hiền;;;;;1-2,F207;;
1526;24;16;507006025202416;Tiếng Nhật 4 (CNTT);57;57;0;11547;11547;"22-27;31-40";507;24N16(T_Nhat1);Cty SUN;;2-3,C128;7-8,C128;;9-10,C128;;
1527;24;16A;102374025202416A;PBL 3: Đồ án lập trình ứng dụng;20;20;0;10200;10200;"22-27;31-40";102;24N16(T_Nhat1);Đỗ Thị Tuyết Hoa;8-10,C204;;;;;;
1528;24;16B;102374025202416B;PBL 3: Đồ án lập trình ứng dụng;20;20;0;10253;10253;"22-27;31-40";102;24N16(T_Nhat1);Nguyễn Tấn Khôi;;;;;;1-3,B305;
1529;24;16C;102374025202416C;PBL 3: Đồ án lập trình ứng dụng;20;20;0;10069;10069;"22-27;31-40";102;24N16(T_Nhat1);Đặng Thiên Bình;;;;3-5,C204;;;
1530;24;17;101111325202417;Vật liệu kỹ thuật;64;64;0;10684;10684;"22-27;31-40";101;24N17(C4A);Nguyễn Bá Kiên;;;;;4-5,F109;;
1531;24;17;103159025202417;Nguyên lý động cơ;64;64;0;10128;10128;"22-27;31-40";103;24N17(C4A);Dương Việt Dũng;;;;;1-3,F109;;
1532;24;17;103328025202417;Phương pháp tính;64;64;0;11652;11652;"22-27;31-40";103;24N17(C4A);Thái Thị Ngọc Hằng;;;8-10,F207;;;;
1533;24;17;103331025202417;Máy thủy khí: bơm, quạt, máy nén;64;64;0;10292;10292;"22-27;31-40";103;24N17(C4A);Phan Thành Long;1-2,F109;;;;;;
1534;24;17;103332025202417;Chi tiết máy;64;64;0;10108;10108;"22-27;31-40";103;24N17(C4A);Lê Cung;;6-7,H101;;;;;
1535;24;17;103335025202417;Kỹ thuật điện - điện tử ứng dụng;64;64;0;10451;10451;"22-27;31-40";103;24N17(C4A);Phạm Quốc Thái;3-4,F109;;;;;;
1536;24;17A;103330025202417A;PBL1: Truyền động cơ khí;32;32;0;10108;10108;"22-27;31-40";103;24N17(C4A);Lê Cung;;8-9,H101;;;;;
1537;24;17B;103330025202417B;PBL1: Truyền động cơ khí;32;32;0;10166;10166;"22-27;31-40";103;24N17(C4A);Vũ Thị Hạnh;;;6-7,F207;;;;
1538;24;18;101111325202418;Vật liệu kỹ thuật;64;64;0;10684;10684;"22-27;31-40";101;24N18(C4B);Nguyễn Bá Kiên;;;;;1-2,F408;;
1539;24;18;103159025202418;Nguyên lý động cơ;64;64;0;10333;10333;"22-27;31-40";103;24N18(C4B);Trần Văn Nam;;;;8-10,H103;;;
1540;24;18;103328025202418;Phương pháp tính;64;64;0;11652;11652;"22-27;31-40";103;24N18(C4B);Thái Thị Ngọc Hằng;;;;;3-5,F408;;
1541;24;18;103331025202418;Máy thủy khí: bơm, quạt, máy nén;64;64;0;10136;10136;"22-27;31-40";103;24N18(C4B);Nguyễn Võ Đạo;;8-9,F207;;;;;
1542;24;18;103332025202418;Chi tiết máy;64;64;0;10166;10166;"22-27;31-40";103;24N18(C4B);Vũ Thị Hạnh;;6-7,F207;;;;;
1543;24;18;103335025202418;Kỹ thuật điện - điện tử ứng dụng;64;64;0;11625;11625;"22-27;31-40";103;24N18(C4B);Hoàng Thắng;;;;6-7,H103;;;
1544;24;18A;103330025202418A;PBL1: Truyền động cơ khí;32;32;0;10166;10166;"22-27;31-40";103;24N18(C4B);Vũ Thị Hạnh;;;;;;3-4,E1.203;
1545;24;18B;103330025202418B;PBL1: Truyền động cơ khí;32;32;0;10166;10166;"22-27;31-40";103;24N18(C4B);Vũ Thị Hạnh;;;;;;1-2,E1.203;
1546;24;19;101015225202419;ROBOT Công nghiệp;56;56;0;10303;10303;"22-27;31-40";101;24N19(KTOTO1);Nguyễn Đắc Lực;6-7,F207;;;;;;
1547;24;19;103164025202419;Cảm biến & Kỹ thuật đo;56;56;0;11308;11308;"22-27;31-40";103;24N19(KTOTO1);Lê Minh Tiến;;6-7,F109;;;;;
1548;24;19;103247325202419;Toán chuyên ngành;56;56;0;11713;11713;"22-27;31-40";103;24N19(KTOTO1);Võ Đại Quí;8-10,F207;;;;;;
1549;24;19;103332025202419;Chi tiết máy;56;56;0;10166;10166;"22-27;31-40";103;24N19(KTOTO1);Vũ Thị Hạnh;;;1-2,F207;;;;
1550;24;19;103382025202419;Nguyên lý động cơ đốt trong;56;56;0;10128;10128;"22-27;31-40";103;24N19(KTOTO1);Dương Việt Dũng;;;;6-7,F209;;;
1551;24;19;103411025202419;KT An toàn & Bảo vệ môi trường (ô tô);56;56;0;11308;11308;"22-27;31-40";103;24N19(KTOTO1);Lê Minh Tiến;;8-9,F109;;;;;
1552;24;19;210001025202419;Pháp luật đại cương;56;56;0;11533;11533;"22-27;31-40";210;24N19(KTOTO1);Dương Việt Anh;;;;;6-7,F206;;
1553;24;19;217002025202419;Kinh tế chính trị Mác - Lênin;56;56;0;11454;11454;"22-27;31-40";217;24N19(KTOTO1);Văn Công Vũ;;;;8-9,F209;;;
1554;24;19A;103361025202419A;PBL 1: Thiết kế truyền động cơ khí;28;28;0;10166;10166;"22-27;31-40";103;24N19(KTOTO1);Vũ Thị Hạnh;;;3-4,F207;;;;
1555;24;19B;103361025202419B;PBL 1: Thiết kế truyền động cơ khí;28;28;0;10108;10108;"22-27;31-40";103;24N19(KTOTO1);Lê Cung;;;;;;1-2,B109;
1556;24;20;101015225202420;ROBOT Công nghiệp;57;57;0;10303;10303;"22-27;31-40";101;24N20(KTOTO2);Nguyễn Đắc Lực;8-9,F209;;;;;;
1557;24;20;103164025202420;Cảm biến & Kỹ thuật đo;57;57;0;11308;11308;"22-27;31-40";103;24N20(KTOTO2);Lê Minh Tiến;;;;;1-2,F403;;
1558;24;20;103247325202420;Toán chuyên ngành;57;57;0;11713;11713;"22-27;31-40";103;24N20(KTOTO2);Võ Đại Quí;;;6-8,F209;;;;
1559;24;20;103332025202420;Chi tiết máy;57;57;0;10166;10166;"22-27;31-40";103;24N20(KTOTO2);Vũ Thị Hạnh;;8-9,F408;;;;;
1560;24;20;103382025202420;Nguyên lý động cơ đốt trong;57;57;0;10333;10333;"22-27;31-40";103;24N20(KTOTO2);Trần Văn Nam;6-7,H103;;;;;;
1561;24;20;103411025202420;KT An toàn & Bảo vệ môi trường (ô tô);57;57;0;11308;11308;"22-27;31-40";103;24N20(KTOTO2);Lê Minh Tiến;;;;;3-4,F403;;
1562;24;20;210001025202420;Pháp luật đại cương;57;57;0;11350;11350;"22-27;31-40";210;24N20(KTOTO2);Lê Hồng Phước;;;;6-7,F206;;;
1563;24;20;217002025202420;Kinh tế chính trị Mác - Lênin;57;57;0;11183;11183;"22-27;31-40";217;24N20(KTOTO2);Nguyễn Lê Thu Hiền;;6-7,F408;;;;;
1564;24;20A;103361025202420A;PBL 1: Thiết kế truyền động cơ khí;30;30;0;10166;10166;"22-27;31-40";103;24N20(KTOTO2);Vũ Thị Hạnh;;;;;;8-9,F404;
1565;24;20B;103361025202420B;PBL 1: Thiết kế truyền động cơ khí;30;30;0;10166;10166;"22-27;31-40";103;24N20(KTOTO2);Vũ Thị Hạnh;;;;;;6-7,F404;
1566;24;21;101111325202421;Vật liệu kỹ thuật;50;50;0;10684;10684;"22-27;31-40";101;24N21(KTTT);Nguyễn Bá Kiên;;6-7,E1.104;;;;;
1567;24;21;103275025202421;Đồ họa kỹ thuật;50;50;0;10878;10878;"22-27;31-40";103;24N21(KTTT);Nguyễn Công Hành;;;8-10,E2.201;;;;
1568;24;21;103327025202421;Sức bền vật liệu;50;50;0;10879;10879;"22-27;31-40";103;24N21(KTTT);Phạm Ngọc Quang;;;;1-3,E2.205;;;
1569;24;21;103329025202421;Nguyên lý máy;50;50;0;10810;10810;"22-27;31-40";103;24N21(KTTT);Trịnh Xuân Long;4-5,F301;;;;;;
1570;24;21;103333025202421;KT an toàn & bảo hộ LĐ trong nhà máy đóng tàu;50;50;0;10880;10880;"22-27;31-40";103;24N21(KTTT);Nguyễn Văn Minh;;;;;9-10,F309;;
1571;24;21;103334025202421;Phương pháp số;50;50;0;10472;10472;"22-27;31-40";103;24N21(KTTT);Nguyễn Tiến Thừa;;;;;6-8,F106;;
1572;24;21;117001125202421;Môi trường;50;50;0;10874;10874;"22-27;31-40";117;24N21(KTTT);Lê Thị Xuân Thùy;;8-9,E1.104;;;;;
1573;24;21;209016025202421;Chủ nghĩa Xã hội khoa học;70;70;0;11511;11511;"22-27;31-40";209;24N21(KTTT);Hoàng Thị Kim Liên;;;;4-5,E2.205;;;
1574;24;22;103319025202422;Máy thủy khí;62;62;0;10292;10292;"22-27;31-40";103;24N22(N1);Phan Thành Long;;;;;3-4,F402;;
1575;24;22;104076325202422;Truyền nhiệt;45;45;0;10127;10127;"22-27;31-40";104;24N22(N1);Lê Thị Châu Duyên;;;;3-5,F402;;;
1576;24;22;104162025202422;Nhiệt động kỹ thuật;45;45;0;10208;10208;"22-27;31-40";104;24N22(N1);Mã Phước Hoàng;;;1-3,F109;;;;
1577;24;22;104163025202422;Đo lường & tự động hóa quá trình nhiệt;45;45;0;10208;10208;"22-27;31-40";104;24N22(N1);Mã Phước Hoàng;;3-5,F403;;;;;
1578;24;22;105165325202422;Trang bị điện;62;62;0;10143;10143;"22-27;31-40";105;24N22(N1);Nguyễn Quốc Định;;;;1-2,F402;;;
1579;24;22;209016025202422;Chủ nghĩa Xã hội khoa học;62;62;0;11599;11599;"22-27;31-40";209;24N22(N1);Trương Thị Thu Hiền;;;4-5,F109;;;;
1580;24;22A;104107325202422A;PBL 1: cơ sở kỹ thuật nhiệt;31;31;0;10237;10237;"22-27;31-40";104;24N22(N1);Huỳnh Ngọc Hùng;;;;;1-2,F402;;
1581;24;22B;104107325202422B;PBL 1: cơ sở kỹ thuật nhiệt;31;31;0;10265;10265;"22-27;31-40";104;24N22(N1);Bùi Thị Hương Lan;;;;;;3-4,F408;
1582;24;23;103319025202423;Máy thủy khí;69;69;0;10136;10136;"22-27;31-40";103;24N23(N2);Nguyễn Võ Đạo;;;;;3-4,E1.205;;
1583;24;23;104076325202423;Truyền nhiệt;45;45;0;10602;10602;"22-27;31-40";104;24N23(N2);Thái Ngọc Sơn;;8-10,E1.205;;;;;
1584;24;23;104162025202423;Nhiệt động kỹ thuật;45;45;0;10208;10208;"22-27;31-40";104;24N23(N2);Mã Phước Hoàng;;;;1-3,E2.401;;;
1585;24;23;104163025202423;Đo lường & tự động hóa quá trình nhiệt;45;45;0;10208;10208;"22-27;31-40";104;24N23(N2);Mã Phước Hoàng;1-3,E2.401;;;;;;
1586;24;23;105165325202423;Trang bị điện;69;69;0;10143;10143;"22-27;31-40";105;24N23(N2);Nguyễn Quốc Định;;;;4-5,E2.401;;;
1587;24;23;209016025202423;Chủ nghĩa Xã hội khoa học;69;69;0;11511;11511;"22-27;31-40";209;24N23(N2);Hoàng Thị Kim Liên;;;;;1-2,E1.205;;
1588;24;23A;104107325202423A;PBL 1: cơ sở kỹ thuật nhiệt;35;35;0;10208;10208;"22-27;31-40";104;24N23(N2);Mã Phước Hoàng;4-5,E2.401;;;;;;
1589;24;23B;104107325202423B;PBL 1: cơ sở kỹ thuật nhiệt;35;35;0;10602;10602;"22-27;31-40";104;24N23(N2);Thái Ngọc Sơn;;6-7,E1.205;;;;;
1590;24;24;104076325202424;Truyền nhiệt;45;45;0;10127;10127;"22-27;31-40";104;24N24(N3);Lê Thị Châu Duyên;1-3,F408;;;;;;
1591;24;24;104162025202424;Nhiệt động kỹ thuật;45;45;0;10237;10237;"22-27;31-40";104;24N24(N3);Huỳnh Ngọc Hùng;;;;;3-5,F209;;
1592;24;24;104163025202424;Đo lường & tự động hóa quá trình nhiệt;45;45;0;10208;10208;"22-27;31-40";104;24N24(N3);Mã Phước Hoàng;;;8-10,F109;;;;
1593;24;26;103265025202426;Thực tập nhận thức;67;67;0;"10878
";"10878
";34-34;103;24N26(HTCN);"Nguyễn Công Hành
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
1594;24;26;103270025202426;Kinh tế kỹ thuật;67;67;0;10877;10877;"22-27;31-33;35-41";103;24N26(HTCN);Tôn Nữ Huyền Trang;;1-2,F408;;;;;
1595;24;26;103271025202426;Thiết kế mặt bằng xưởng sản xuất;67;67;0;10108;10108;"22-27;31-33;35-41";103;24N26(HTCN);Lê Cung;;;;6-8,H101;;;
1596;24;26;103290325202426;Thống kê trong công nghiệp;67;67;0;10414;10414;"22-27;31-33;35-41";103;24N26(HTCN);Nguyễn Đình Sơn;4-5,F403;;;;;;
1597;24;26;103315025202426;Vận trù học 1;67;67;0;10414;10414;"22-27;31-33;35-41";103;24N26(HTCN);Nguyễn Đình Sơn;1-3,F403;;;;;;
1598;24;26;103316025202426;Quản lý sản xuất;67;67;0;11711;11711;"22-27;31-33;35-41";103;24N26(HTCN);Nguyễn Trường Giang;;;;;;1-2,F403;
1599;24;26;103569325202426;Kỹ thuật điện - điện tử ứng dụng (HTCN);67;67;0;11503;11503;"22-27;31-33;35-41";103;24N26(HTCN);Huỳnh Đức Trí;;;;;4-5,F303;;
1600;24;26;210001025202426;Pháp luật đại cương;67;67;0;11350;11350;"22-27;31-33;35-41";210;24N26(HTCN);Lê Hồng Phước;;;1-2,F408;;;;
1601;24;26A;103317025202426A;PBL 2: Thiết kế mặt bằng xưởng sản xuất;25;25;0;10108;10108;"22-27;31-33;35-41";103;24N26(HTCN);Lê Cung;;;4-5,A144;;;;
