as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_category,procurement_method,project_global_practice,wb_contract_number,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,supplier_contract_amount_usd,borrower_contract_reference_number,review_type
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P156143,Vietnam Coastal Cities Sustainable Environment Project,Goods,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry",1637336,Package DH-1.9: Aerator equipments for wastewater collection and treatment,2019-09-27,CÔNG TY TRÁCH NHIỆM HỮU HẠN KỸ NGHỆ BÌNH NGUYÊN,Viet Nam,VN,941501.380000,VN-DONG HOI PMU-83251-GO-RFB,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P154387,Vietnam: Project for Improved Land Governance and Databases (VILG),Non-consulting Services,Request for Bids,"Information and Communications Technologies;Agriculture, Fishing and Forestry",1637769,Contract VILG-LCA-TS-1.2: Developing land database in Bac Ha district,2019-12-27,CONG TY CP CONG NGHE TIN HOC VA TRAC DIA BAN DO BINH MINH,Viet Nam,VN,269081.150000,VILG-LCA-TS-1.2,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P154387,Vietnam: Project for Improved Land Governance and Databases (VILG),Non-consulting Services,Request for Bids,"Information and Communications Technologies;Agriculture, Fishing and Forestry",1637778,Contract VILG-LCA-TS-1.1: Developing land database in Van Ban district,2019-12-27,HA THANH TECHNOLOGY DEVELOPMENT AND RESOURCE ENVIRONMENT COMPANY LIMITED,Viet Nam,VN,129082.910000,VILG-LCA-TS-1.1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Consultant Services,Individual Consultant Selection,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1637889,Safeguard Specialist,2020-11-02,NGUYEN TRUNG THANG,Viet Nam,VN,3458.960000,MPI-PMU-SC05-IC-08.1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P156849,Support for Autonomous Higher Education Project (SAHEP),Goods,Request for Bids,Education,1637892,"G&#243;i th&#7847;u: Cung c&#7845;p thi&#7871;t b&#7883; c&#225;c PTN ph&#7909;c v&#7909; &#273;&#224;o t&#7841;o thu&#7897;c l&#297;nh v&#7921;c Khoa h&#7885;c v&#7853;t li&#7879;u (&#272;T01)
M&#227; g&#243;i th&#7847;u: HUST-G01",2020-11-20,CÔNG TY CỔ PHẦN CÔNG NGHỆ THIẾT BỊ TÂN PHÁT,Viet Nam,VN,2052837.070000,HUST-G01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Consultant Services,Individual Consultant Selection,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1637893,Project Coordinator,2020-12-01,DINH THI TAM HIEN,Viet Nam,VN,33131.390000,MPI-PMU-SC05-IC-02.1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Consultant Services,Individual Consultant Selection,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1637897,Technical Specialist,2020-12-01,NGUYEN VAN QUANG,Viet Nam,VN,12106.360000,MPI-PMU-SC05-IC-09,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P157127,Forest Sector Modernization and Coastal Resilience Enhancement Project,Consultant Services,Consultant Qualification  Selection,"Agriculture, Fishing and Forestry",1637907,D&#7883;ch v&#7909; t&#432; v&#7845;n l&#7853;p k&#7871; ho&#7841;ch v&#224; th&#7921;c hi&#7879;n qu&#7843;n l&#253; an to&#224;n m&#244;i tr&#432;&#7901;ng v&#224; x&#227; h&#7897;i t&#7841;i c&#7845;p t&#7881;nh,2020-10-07,CÔNG TY CỔ PHẦN VINTEK VIỆT NAM,Viet Nam,VN,141008.350000,83A/2020/HĐ-TV,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P157127,Forest Sector Modernization and Coastal Resilience Enhancement Project,Consultant Services,Consultant Qualification  Selection,"Agriculture, Fishing and Forestry",1637907,D&#7883;ch v&#7909; t&#432; v&#7845;n l&#7853;p k&#7871; ho&#7841;ch v&#224; th&#7921;c hi&#7879;n qu&#7843;n l&#253; an to&#224;n m&#244;i tr&#432;&#7901;ng v&#224; x&#227; h&#7897;i t&#7841;i c&#7845;p t&#7881;nh,2020-10-07,CÔNG TY CỔ PHẦN NƯỚC VÀ XÂY DỰNG ĐƯỜNG THÀNH,Viet Nam,VN,141008.350000,83A/2020/HĐ-TV,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Consultant Services,Consultant Qualification  Selection,Education;Health,1637955,Local consulting firm to conduct end-project evaluation of the &#8220;Health Professional Education and Training for Health System Reforms&#8221; project,2020-09-18,TRUNG TÂM NGHIÊN CỨU MÔI TRƯỜNG VÀ SỨC KHỎE,Viet Nam,VN,133947.150000,109/2020/CSC4-CQS112-HPET,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Civil Works,Request for Quotations,Education;Health,1638208,Repairing and building for a multi-media learning center,2020-04-23,CÔNG TY TNHH MTV GIẢI PHÁP TRUYỀN THÔNG AVON,Viet Nam,VN,15853.840000,5-2-1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Quotations,Education;Health,1638335,Purchase medical reference books,2020-10-16,CÔNG TY CỔ PHẦN DỊCH VỤ THÔNG TIN VÀ CÔNG NGHỆ ITGROUP VIỆT NAM,Viet Nam,VN,28102.750000,07/HĐKT/HPET,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P159397,Vietnam Scaling up Urban Upgrading Project,Consultant Services,Consultant Qualification  Selection,"Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection;Public Administration",1638342,Independent Monitoring Consultants of Enviroment,2020-10-22,EPC ENVIRONMENTAL PROTECTION AND INVESTMENT CONSULTANT LTD. CO.,Viet Nam,VN,53858.490000,BT-CS-4-3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Quotations,Education;Health,1638353,Purchase electronic equipment for teaching,2020-10-08,CÔNG TY TNHH CÔNG NGHỆ AVS VIỆT NAM,Viet Nam,VN,42262.210000,HĐKT-HPET/AVSTES/2020,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Bids,Education;Health,1638370,Sound system equipped for control cabinet and library computer system,2020-11-27,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ KIM LONG,Viet Nam,VN,91692.570000,VN-UMP- HCMC-185217-GO-RFB,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Bids,Education;Health,1638382,Medical - Dental electronic book system,2020-11-02,CÔNG TY CỔ PHẦN DỊCH VỤ THÔNG TIN VÀ CÔNG NGHỆ ITGROUP VIỆT NAM,Viet Nam,VN,106790.450000,VN-UMP- HCMC-185219-GO-RFB,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Bids,Education;Health,1638452,Tables and chairs for reversing classrooms and library tables and chairs,2020-11-02,CÔNG TY TNHH DV - TM VIẾT VINH,Viet Nam,VN,67789.290000,VN-UMP- HCMC-185214-GO-RFB,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Bids,Education;Health,1638453,Software to manage students and study programs,2020-11-02,CÔNG TY TNHH TIẾN BỘ SÀI GÒN,Viet Nam,VN,33291.720000,VN-UMP- HCMC-185220-GO-RFB,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Quotations,Education;Health,1638479,"Supplying, installating equipments (attached to the project)",2020-07-10,CÔNG TY TNHH CƠ ĐIỆN LẠNH ĐẠI THẮNG,Viet Nam,VN,96805.400000,22/HĐKT-HPET/2020,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Civil Works,Request for Quotations,Education;Health,1638483,Constructing work of renovation and repairing,2020-03-16,CÔNG TY TNHH MTV XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ NAM KINH,Viet Nam,VN,175109.430000,HPET.YDHUE.ĐK.SC .01,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1638494,"T&#432; v&#7845;n kh&#7843;o s&#225;t thi&#7871;t k&#7871; b&#7843;n v&#7869; thi c&#244;ng, d&#7921; to&#225;n",2020-12-11,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG VÀ ĐẦU TƯ QUẢNG NGÃI,Viet Nam,VN,47050.350000,C1-QN-GD2-CS3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1638494,"T&#432; v&#7845;n kh&#7843;o s&#225;t thi&#7871;t k&#7871; b&#7843;n v&#7869; thi c&#244;ng, d&#7921; to&#225;n",2020-12-11,CÔNG TY CỔ PHẦN TƯ VẤN PHÁT TRIỂN ĐẦU TƯ VÀ XÂY DỰNG QUẢNG N,Viet Nam,VN,47050.350000,C1-QN-GD2-CS3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1638494,"T&#432; v&#7845;n kh&#7843;o s&#225;t thi&#7871;t k&#7871; b&#7843;n v&#7869; thi c&#244;ng, d&#7921; to&#225;n",2020-12-11,CÔNG TY TNHH TƯ VẤN XÂY DỰNG TRUNG LONG,Viet Nam,VN,47050.350000,C1-QN-GD2-CS3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1638494,"T&#432; v&#7845;n kh&#7843;o s&#225;t thi&#7871;t k&#7871; b&#7843;n v&#7869; thi c&#244;ng, d&#7921; to&#225;n",2020-12-11,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG LIÊN VIỆT,Viet Nam,VN,47050.350000,C1-QN-GD2-CS3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P160162,Dynamic City Integrated Development Project - Thai Nguyen,Consultant Services,Quality And Cost-Based Selection,"Transportation;Water, Sanitation and Waste Management;Public Administration",1638602,"Survey consultancy, detailed design, site clearance demarcation and preparation of bidding documents for work items under Phase 2",2020-09-08,SHD INFRASTRUCTURE CONSTRUCTION CONSULTANTS JOINT STOCK COMPANY,Viet Nam,VN,404798.040000,TN-CS-01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P160162,Dynamic City Integrated Development Project - Thai Nguyen,Consultant Services,Quality And Cost-Based Selection,"Transportation;Water, Sanitation and Waste Management;Public Administration",1638602,"Survey consultancy, detailed design, site clearance demarcation and preparation of bidding documents for work items under Phase 2",2020-09-08,"KUNHWA ENGINEERING & CONSULTING CO., LTD","Korea, Republic of",KR,404798.040000,TN-CS-01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1638906,Media for sample preservation and transportation,2020-12-10,"SCIENTIFIC AND TECHNICAL EQUIPMENT AND SUPPLIES, CHEMICALS AND MEDICAL INSTRUMEN",Viet Nam,VN,7126.820000,MT,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1638925,"Supply reagents, consumables and chemical for research, testing and training",2020-11-20,TECHNIMEX JSC,Viet Nam,VN,77371.100000,SP2,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1638948,Supply the desktop and laptop,2020-11-18,"IDTECH DIGITAL TECHNOLOGY CO., LTD",Viet Nam,VN,4185.630000,TBVP1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1638952,Supply the Consumables for training,2020-11-20,"VIET ANH SCIENTIFIC CO., LTD",Viet Nam,VN,48801.310000,VT2,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P156849,Support for Autonomous Higher Education Project (SAHEP),Goods,Request for Bids,Education,1639062,Thi&#7871;t b&#7883; cho 03 nh&#243;m nghi&#234;n c&#7913;u (HUST-G05),2020-11-23,CÔNG TY CỔ PHẦN KỸ THUẬT TOÀN CẦU,Viet Nam,VN,656178.930000,HUST-G05,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1639091,Supply the photocopy and scan machine,2020-12-10,"IDTECH DIGITAL TECHNOLOGY CO., LTD",Viet Nam,VN,4272.110000,TBVP2,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Goods,Request for Quotations,Health,1639214,"Supply the Consumables for research,",2020-12-10,SAO MAI EQUIPMENT,Viet Nam,VN,67979.410000,VT1,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P154387,Vietnam: Project for Improved Land Governance and Databases (VILG),Non-consulting Services,Force Account,"Information and Communications Technologies;Agriculture, Fishing and Forestry",1639215,"Contract 01/TTGV: Force Account Agreement - Completing cadastral records and developing land database in Tay Hoa district, Song Hinh district, Son Hoa district, Phu Hoa district and Song Cau town",2020-11-30,LAND REGISTRATION OFFICE OF PHU YEN PROVINCE,Viet Nam,VN,345215.880000,VILG-PYEN-FA-03,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639384,"Improving Cau Trang canal, section from NH1A Bypass to Than canal; Construction of WWTP for the central region of Tinh Gia (including construction insurance).",2020-12-17,URBAN ARCHITECTURE DEVELOPMENT CONSTRUCTION AND INVESTMENT JOINT STOCK COMPANY,Viet Nam,VN,3077035.490000,WB-XL-02,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639384,"Improving Cau Trang canal, section from NH1A Bypass to Than canal; Construction of WWTP for the central region of Tinh Gia (including construction insurance).",2020-12-17,"MIEN TRUNG CONSTRUCTION GROUP….,JSC",Viet Nam,VN,3077035.490000,WB-XL-02,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639399,"Improving Than canal, section from Mai bridge to Do Be culvert (including construction insurance)",2020-12-15,TVN CONSTRUCTION JOINT STOCK COMPANY,Viet Nam,VN,1783615.190000,WB-XL-01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639399,"Improving Than canal, section from Mai bridge to Do Be culvert (including construction insurance)",2020-12-15,THANH HOA AGRICULTURAL CONSTRUCTION JOINT STOCK COMPANY,Viet Nam,VN,1783615.190000,WB-XL-01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639399,"Improving Than canal, section from Mai bridge to Do Be culvert (including construction insurance)",2020-12-15,"LAM SON CONSTRUCTION AND TRADING CO.,LTD",Viet Nam,VN,1783615.190000,WB-XL-01,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1639412,"G&#243;i th&#7847;u PMU10-TDA1-CW-03: X&#226;y d&#7921;ng k&#232; Ch&#226;u Phong thu&#7897;c Ti&#234;&#777;u d&#432;&#803; a&#769;n X&#7917; l&#253; s&#7841;t l&#7903; b&#7901; s&#244;ng, b&#7901; bi&#7875;n v&#249;ng &#273;&#7891;ng b&#7857;ng s&#244;ng C&#7917;u Long &#8211; D&#7921; &#225;n (ICRSL)",2020-12-17,CÔNG TY CỔ PHẦN XÂY DỰNG ĐÊ KÈ & PTNT HẢI DƯƠNG,Viet Nam,VN,8462827.600000,PMU10-TDA1-CW-03,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P160543,VIETNAM QUALITY IMPROVEMENT OF PRIMARY EDUCATION FOR DEAF CHILDREN PROJECT (QIPEDC),Goods,Request for Quotations,Education,1639441,H&#7907;p &#273;&#7891;ng: Cung c&#7845;p thi&#7871;t b&#7883; v&#259;n ph&#242;ng ph&#7909;c v&#7909; qu&#7843;n l&#253; d&#7921; &#225;n,2019-12-17,CÔNG TY TNHH TƯ VẤN KỸ THUẬT VÀ CÔNG NGHỆ LINH ANH,Viet Nam,VN,14885.970000,QIPEDC/G02,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639453,"Construction of Son Hai bridge, Kenh Trang bridge, Do Be bridge and two access roads (including construction insurance).",2020-12-15,THANH HOA BRIDGE CONSTRUCTION JOINT STOCK COMPANY,Viet Nam,VN,1071939.160000,WB-XL-04,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639453,"Construction of Son Hai bridge, Kenh Trang bridge, Do Be bridge and two access roads (including construction insurance).",2020-12-15,MINH TUAN CONSTRUCTION INVESTMENT CORPORATION,Viet Nam,VN,1071939.160000,WB-XL-04,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P168290,Vietnam - Dynamic Cities Integrated Development Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Public Administration",1639453,"Construction of Son Hai bridge, Kenh Trang bridge, Do Be bridge and two access roads (including construction insurance).",2020-12-15,"HOANG TUAN CO., LTD",Viet Nam,VN,1071939.160000,WB-XL-04,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P174389,Vietnam COVID-19 Emergency Response Project,Non-consulting Services,Force Account,Health,1639462,Perform serological tests for samples of community immunity study,2020-10-16,CENTER FOR APPLICATION BIOMEDICAL SCIENCE TECHNOLOGY,Viet Nam,VN,65642.870000,XN,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Goods,Request for Bids,Education,1639544,"Supply information technology equipments for the Center for Research, Development and Assessment of Education Quality at Thai Nguyen University",2020-12-21,CÔNG TY CP ĐẦU TƯ VÀ DỊCH VỤ QUỐC TẾ HOÀNG GIA,Viet Nam,VN,915059.330000,C3-1/GO- RFB/01,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Goods,Request for Bids,Education,1639546,"Supply information technology equipments for the Center for Research, Development and Assessment of Education Quality at Da Nang University",2020-12-21,CÔNG TY CỔ PHẦN KỸ THUẬT VÀ CÔNG NGHỆ VIỆT NAM,Viet Nam,VN,934292.360000,C3-1/GO-RFB/02,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Goods,Request for Quotations,Education,1639565,"Supplying equipment, furniture for the Center for Research, Development and Assessment of Education Quality at Thai Nguyen University",2020-12-18,HANOI URBAN CONSTRUCTION AND CONSULTANT JOINT STOCK COMPANY,Viet Nam,VN,45426.130000,150/2020/HĐKT-RGEP/ĐT-C3-1/GO-S,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Goods,Request for Bids,Education,1639567,"Supply information technology equipments for the Center for Research, Development and Assessment of Education Quality at Ho Chi Minh Pedagogical University",2020-12-21,LIÊN DANH CÔNG TY TNHH TƯ VẤN KỸ THUẬT VÀ CÔNG NGHỆ LINH ANH - CÔNG,Viet Nam,VN,911811.230000,C3-1/GO- RFB/03,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Goods,Request for Quotations,Education,1639594,"Supplying equipment, furniture for the Center for Research, Development and Assessment of Education Quality at Ho Chi Minh Pedagogical University",2020-12-14,HA NOI URBAN CONSTRUCTION AND CONSULTANT JOINT STOCK COMPANY,Viet Nam,VN,44998.550000,C3-1/GO-SH/03,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639847,CT3 PW 1.16: Improvement Cai Son - Muong Khai canals (area from K1+883 - K4+197) and construction tidal sluice gate in Pho Tho and Cay Dua canals,2020-12-23,PHU TAI MIEN TRUNG GROUP JS CO.,Viet Nam,VN,3882713.410000,CT3 PW 1 16,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639847,CT3 PW 1.16: Improvement Cai Son - Muong Khai canals (area from K1+883 - K4+197) and construction tidal sluice gate in Pho Tho and Cay Dua canals,2020-12-23,THANH TUAN PROJECT SURVEY AND CONSTRUCTION COMPNAY LTD.,Viet Nam,VN,3882713.410000,CT3 PW 1 16,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639847,CT3 PW 1.16: Improvement Cai Son - Muong Khai canals (area from K1+883 - K4+197) and construction tidal sluice gate in Pho Tho and Cay Dua canals,2020-12-23,D.N.T SERVICE AND TRADE AND CONSTRUTION LTD. COMPANY,Viet Nam,VN,3882713.410000,CT3 PW 1 16,Prior
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639899,CT3 PW 1 9: Construction of Hang Bang Water Lock,2020-12-23,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ LẮP MÁY TRUNG NAM,Viet Nam,VN,3111789.100000,CT3 PW 1 9,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639899,CT3 PW 1 9: Construction of Hang Bang Water Lock,2020-12-23,"TRUONG PHAT LTD., COMPANY",Viet Nam,VN,3111789.100000,CT3 PW 1 9,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P152851,Can Tho Urban Development and Resilience Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management",1639899,CT3 PW 1 9: Construction of Hang Bang Water Lock,2020-12-23,CÔNG TY CỔ PHẦN XÂY DỰNG TRUNG NAM 18 E VÀ C,Viet Nam,VN,3111789.100000,CT3 PW 1 9,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P159760,MARD M&E Capacity Building for Agricultural Restructuring Plan Implementation  (MECARP),Goods,Request for Quotations,"Agriculture, Fishing and Forestry",1639900,X&#226;y d&#7921;ng ph&#7847;n m&#7873;m v&#7873; gi&#225;m s&#225;t v&#224; &#273;&#225;nh gi&#225; k&#7871;t qu&#7843; C&#7843;i c&#225;ch h&#224;nh ch&#237;nh (CCHC),2020-09-30,CÔNG TY TNHH PHÁT TRIỂN VÀ CHUYỂN GIAO CÔNG NGHỆ DIAMOND VIỆT NAM,Viet Nam,VN,20531.880000,G3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P159760,MARD M&E Capacity Building for Agricultural Restructuring Plan Implementation  (MECARP),Goods,Request for Quotations,"Agriculture, Fishing and Forestry",1639900,X&#226;y d&#7921;ng ph&#7847;n m&#7873;m v&#7873; gi&#225;m s&#225;t v&#224; &#273;&#225;nh gi&#225; k&#7871;t qu&#7843; C&#7843;i c&#225;ch h&#224;nh ch&#237;nh (CCHC),2020-09-30,CÔNG TY CỔ PHẦN GIẢI PHÁP THIÊN HOÀN,Viet Nam,VN,20531.880000,G3,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Non-consulting Services,Request for Bids,Education,1639901,Production of communication products on renovating curriculum and textbooks,2020-10-09,VIETNAMNET ICOM MEDIA SERVICE JOINT STOCK COMPANY,Viet Nam,VN,32340.070000,100/2020/HĐKT-RGEP/ĐT-3.4/RFP/0,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P150058,Renovation of General Education Project,Non-consulting Services,Request for Bids,Education,1639901,Production of communication products on renovating curriculum and textbooks,2020-10-09,HANOI FOUNDATION FOR THE CREATION OF ART AND LITERATURE,Viet Nam,VN,32340.070000,100/2020/HĐKT-RGEP/ĐT-3.4/RFP/0,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1639957,"Construction package No. 2: sluice gate, pumping station, electricity and power system of the pumping station",2020-12-19,CTY CP VIET TAN GIANG,Viet Nam,VN,1856401.630000,DT-CW-02,Post
2024-10-05,2021,EAST ASIA AND PACIFIC,Vietnam,VN,P153544,Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project,Civil Works,Request for Bids,"Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1639957,"Construction package No. 2: sluice gate, pumping station, electricity and power system of the pumping station",2020-12-19,DAI AN INVESTMENT AND CONSTRUCTION JS CO.,Viet Nam,VN,1856401.630000,DT-CW-02,Post
