STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
560;Cồn 90 độ;Ethanol 90° (Cồn 90°);210001772/PCBA-HN;2024;Việt Nam;Thuận Phát;Thuận Phát - Việt Nam;Chai; 50 ; 25.000 ;90% Ethanol. Chai 500ml;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
561;Gel bôi trơn;MERUFA LUBE;230002278/PCBB-HCM;2024;Việt Nam;Công ty CP Merufa;Merufa/Việt Nam;Tuýp; 50 ; 62.000 ;"Trong suốt, không màu, không mùi.Tan trong nước và rửa sạch bằng nước thường. Thành phàn chính:Water cất, Hydroxyethyl cellulose, glycerine, natri hydroxid, sodium benzoat.Giới hạn nhiễm khuẩn:-Mẫu thử phải không có sự hiện diện của các vi khuẩn sau:Staphylococcus aureus, Pseudomonas aeruginosa, Candida albicans.Tổng số nấm trong 1g (ml) mẫu thử, nhỏ hơn 10¹ (CFU/g hoặc CFU/ml).Tổng số vi sinh vật hiếu khí: < 10² (CFU/g hoặc CFU/ml). ISO 9001:2015; ISO 13485:2016.";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
562;Giấy siêu âm;UST-110S;230001280/PCBA-HN;2024;Hàn Quốc;UST Inc.;UST Inc.- Hàn Quốc;Cuộn; 100 ; 79.000 ;Trắng/đen, Sử dụng cho các máy in đen trắng của SONY;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
563;Dây truyền máu một buồng;PS180;220000249/PCBB-HN;2024;Trung Quốc;"Wenzhou K.L.F. Medical Plastics
 Co., Ltd";"Wenzhou K.L.F. Medical Plastics
 Co., Ltd/ Trung Quốc";Bộ; 10 ; 11.000 ;Dây dài 180cm, màng lọc siêu nhỏ với kích thước lỗ lọc 200µm. Tốc độ dòng chảy: 20 giọt/mL. Không chứa chất DEHP, Chất liệu dây: PVC, có kim truyền không cánh cỡ 18G, Đạt tiêu chuẩn: ISO 13485:2016;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
564;Băng cuộn y tế Giang Giang;DGG-2;210000001/PCBA-BN;2024;Việt Nam;Công ty TNHH Xuất khẩu Dệt Giang Giang;Công ty TNHH Xuất khẩu Dệt Giang Giang - Việt Nam;Cuộn; 3.000 ; 1.998 ;"100% cotton; tẩy trắng bằng oxy già, không độc tố, đã giặt sạch, không chất gây dị ứng, không có tinh bột, không có xơ mùn hòa tan trong nước và dịch phủ tạng; tốc độ hút nước =<5 giây; dư lượng khô không quá 0,5%; hàm lượng chất béo không quá 0,5%. kích thước 10cmx5m";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
565;Nipro Spinal Needle;"E-SPN-T2590-E;
 E-SPN-T2790-E";0451/200000039/PCBPL-BYT;2024;Nhật Bản;Nipro Medical Industries Ltd;Nipro Medical Industries Ltd - Nhật Bản;Cái; 600 ; 20.500 ;Kim gây tê tủy sống đầu Quincke có 3 mặt vát sắc. Chuôi kim trong suốt có phản quang giúp nhận biết dịch não tủy chảy ra. Kim tiệt trùng, đóng gói 2 lớp. Đạt tiêu chuẩn ISO 13485 hoặc tương đương.;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
566;Kim luồn tĩnh mạch có cánh, có cổng bơm thuốc;Wellcath Plus;230002081/PCBB-HN;2024;Ấn Độ;Wellmed International/ Ấn Độ;Wellmed International/ Ấn Độ;Cái; 2.000 ; 2.700 ;"Vô trùng, dùng 01 lần. Có cánh và cổng tiêm.Tiệt trùng bằng E.O
 - Mã hóa màu theo tiêu chuẩn ISO
  Kim được làm bằng thép không gỉ, sắc, nhọn cắt vát 3 cạnh giảm đau hiệu quả.
 - Chất liệu Catheter bằng PTFE, 3 vạch cản quang ẩn. Khả năng lưu catheter 72 - 96h.
 - Nắp kim, trung tâm kim, cánh kim, khoang F.B: chất liệu polypropylene
 - Nắp cổng tiêm: chất liệu HDPE+LDPE với với cổng bơm silicon cho phép dòng chảy đi theo 1 chiều.
 - Đường kính ngoài kim - Chiều dài - tốc độ dòng chảy: 0,7 x 1,9 mm x 20ml. Cỡ kim 24G";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
567;Kim châm cứu vô trùng dùng 1 lần;Hwato;240002058/PCBB-HN;2024;Trung Quốc;Suzhou Medical Appliance Factoty/ Trung Quốc;Suzhou Medical Appliance Factoty/ Trung Quốc;Cái; 100.000 ; 295 ;Kim bằng thép không gỉ. Thân kim và tay cầm chắc chắn, dẫn điện tốt và đầu kim sắc nhọn.Vỉ nhôm,cán bằng sợi đồng có khuyên, vô trùng.;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
568;Dây thở oxy MPV;"DTOSS: MPV;
 DTOTE: MPV;
 DTONL: MPV";2100101ĐKLH/BYT-TB-CT;2024;Việt Nam;Công ty Cổ phần Nhựa y tế Việt Nam;Công ty Cổ phần Nhựa y tế Việt Nam/ Việt Nam;Cái; 300 ; 6.500 ;"Chất liệu nhựa PVC y tế cao cấp, bao gồm dây dẫn và gọng mũi
 - Ống dây mềm, chống vặn xoắn. Bề mặt trơn nhẵn.
 - Đầu thở mềm, có 2 ống thẳng đưa vào mũi màu trắng trong, không có chất tạo màu
 - Các cỡ: trẻ sơ sinh, trẻ em và người lớn
 - Dây dẫn có chiều dài ≥2 m, lòng ống có khía chống gập.
 - Đóng gói 1 cái/ túi và tiệt trùng bằng khí EO
 - Đạt tiêu chuẩn EN ISO 13485.";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
569;Dây truyền dịch;ZLSY-3-00;220000957/PCBB-HN;2024;Trung Quốc;"Weifang Huaxing
 Medical
 Instruments Co., Ltd/";"Weifang Huaxing
 Medical
 Instruments Co., Ltd/Trung Quốc";Bộ; 5.000 ; 2.900 ;"Kim chai bằng nhựa có van thông khí. 
 Van thông khí có màng lọc khí 
 Chiều dài dây 155cm Đường kính ống bên ngoài ≥ 3,8mm và độ dày từ 0,45mm đến 0,55mm, 
 Dung tích buồng nhỏ giọt 6ml có màng lọc dịch.
 Khóa điều chỉnh giọt với con lăn để đảm bảo dòng chạy ổn định.
 Với cổng tiêm thuốc bằng cao su
 Đầu nối: khóa ren với kích cỡ kim 22G x 1 ¼";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
570;Găng phẫu thuật tiệt trùng;GPT;230002334/PCBB-HCM;2024;Việt Nam;Công ty Cổ Phần Merufa;Công ty Cổ Phần Merufa/ Việt Nam;Đôi; 2.500 ; 4.200 ;"Chiều dài tổng thể tối thiểu tất cả các số từ 270 mm - 280mm; số 6 (77 mm ± 5); số 6.5 (83mm ± 5); số 7 (89mm ± 5); số 7.5 (95mm ± 5); số 8 (102mm ± 6); độ giãn dài tối thiểu trước lão hóa từ 700 - 750 % và độ giãn dài tối thiểu sau lão hóa từ 550 - 560%; Độ dai tối thiểu trước khi dùng từ 21 - 24MPa và độ dai tối thiểu sau khi dùng từ 16- 18MPa.";Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
571;Ống nghiệm EDTA K2 (2ml);264150;230000694/PCBA-HCM;2024;Việt Nam;Công ty Cổ Phần Xuất Khẩu BONA;Công ty Cổ Phần Xuất Khẩu BONA/ Việt Nam;Ống; 9.600 ; 1.100 ;Chất liệu: Được làm bằng nhựa y tế PET mới 100%. Hóa chất: Được bơm hóa chất chống đông EDTA K2 dưới dạng hạt sương, Kích thước ống 13 x 75mm, có vạch định mức lấy mẫu, chịu được lực quay ly tâm 6000 vòng/phút trong vòng 5 - 10 phút, nhãn màu tím, có phiếu kiểm định chất lượng của cơ quan kiểm định.;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
572;Ống nghiệm Lithium Heparin (2ml);264051;230001413/PCBA-HCM;2024;Việt Nam;Công ty Cổ Phần Xuất Khẩu BONA;Công ty Cổ Phần Xuất Khẩu BONA/ Việt Nam;Ống; 16.800 ; 675 ;Chất liệu: Ống được làm bằng nhựa y tế PP,kích thước 12x75mm, nắp bằng nhựa LDPE mới 100%, Nắp nhựa LDPE đậy kín thành ống và được giữ chặt bởi khe tròn giữa 3 vòng răng ở thành trong của nắp và lõi lọt lòng trong của ống . Nắp màu xanh lá cây. Hóa chất bên trong là Trisodium Citrate 3.8%,hóa chất bên trong dùng kháng đông cho 2ml máu với vạch lấy mẫu 2ml máu trên nhãn ống. Có phiếu phân tích chất lượng của cơ quan chức năng kiểm định với nồng độ của dung dịch trinatri citrate dihydrat phải ở trong khoảng từ 0,1mol/l đến 0,136mol/l (tươngứng2,94% đến 4,0%) và Chịu được lực quay ly tâm gia tốc 6.000 vòng/phút trong thời gian từ 5 - 10 phút,;Công ty TNHH Thiết Bị Y tế và Hóa chất Hoàng Phương;101849706;Trung tâm Y tế huyện Lộc Bình;478/QĐ-TTYT ngày 07/11/2024;;;;;;;;;
573;Dung dịch thẩm phân máu đậm đặc (HD PLUS 144 A Acid);8750303;2301738ĐKLH/BYT-HTTB ngày 30/12/2023;2024;Việt Nam;Công ty TNHH B.Braun Việt Nam;B,Braun Avitum AG, Đức;Lít; 9.000 ; 15.960 ;"* Đặc tính kỹ thuật chung: Dung dịch thẩm phân máu
 * Đặc tính kỹ thuật riêng: 1 lít dung dịch đậm đặc chứa:
 - Natri clorid: 270,869 g
 - Kali clorid: 6,710 g
 - Calci clorid.2H2O: 9,924g
 - Magnesi clorid.6H2O: 4,575g
 - Acid acetic băng: 8,1 g
 - Glucose.H2O: 49,499 g
 - Nước tinh khiết vừa đủ 1 lít
 Nước tinh khiết đáp ứng tiêu chuẩn của dược điển Châu Âu và ISO 23500-3
 * Khi dùng pha loãng theo tỷ lệ: HD Plus 144A: HD Plus 8.4B: nước tinh khiết tương ứng 1: 1,575 : 42,425 thể tích
 * Can 10 lít chất liệu HDPE, nắp làm từ nhựa LDPE không gây tan máu, không gây sốt, không gây ngộ độc tế bào và không có ảnh hưởng bất lợi đối với máu hoặc các thành phần của máu.
 * Đóng gói: Can 10 lít dung dịch đậm đặc
 * Đạt tiêu chuẩn: ISO 13485 và CE";Công ty TNHH VQA;202027854;Trung tâm Y tế huyện Lộc Bình;483/QĐ-TTYT ngày 18/11/2024;;;;;;;;;
574;Kim chạy thận nhân tạo;A.V Fistula Needle sets;240001823/PCBB-HCN ngày 16/8/2024;2024;Trung Quốc;Jiangxi Sanxin Medtec Co., Ltd;Jiangxi Sanxin Medtec Co., Ltd/ Trung Quốc;Cái; 6.500 ; 6.500 ;"Kim chạy thận nhân tạo kích thước 16Gx25x300mm, có thể xoay, có silicon bao phủ, có back eye.
 - Kim làm bằng thép không gỉ, ống bằng nhựa PVC y tế.
 - Thành kim mỏng và tráng Silicon để tăng sự bén
 - Mũi kim được xử lý để giảm đau và giảm tổn thương da
 - 1 kẹp khóa
 - Đầu nối phù hợp với các bộ dây
 chạy thận
 - Tiêu chuẩn CE và ISO";Công ty TNHH VQA;202027854;Trung tâm Y tế huyện Lộc Bình;483/QĐ-TTYT ngày 18/11/2024;;;;;;;;;
575;Acid Citric monohydrate;Acid Citric monohydrate;;2024;Trung Quốc;Shandong Ensign Industry Co., Ltd;Shandong Ensign Industry Co., Ltd/ Trung Quốc;Kg; 100 ; 62.640 ;"Công thức phân tử: C6H8O7
 Bề ngoài: Chất rắn kết tinh màu trắng";Công ty TNHH VQA;202027854;Trung tâm Y tế huyện Lộc Bình;483/QĐ-TTYT ngày 18/11/2024;;;;;;;;;
576;Dung dịch rửa màng lọc - (MDT PLUS 4 COLD STERILANT);MDT-PAA-4;230000633/PCBB-HN ngày 24/3/2023;2024;Thái Lan;Thai Peroxide Company Limited;Meditop Co.Ltd/ Thái Lan;Lít; 20 ; 378.000 ;"Thành phần :
 - Hydrogen peroxide: 25%
 - Acid Peracetic: 5%;
 - Acid acetic: 9%
 * Đạt tiêu chuẩn: ISO 13485
 * Đóng gói: can 5 lít";Công ty TNHH VQA;202027854;Trung tâm Y tế huyện Lộc Bình;483/QĐ-TTYT ngày 18/11/2024;;;;;;;;;
577;Bioline™ HIV 1/2 3.0;03FK11;2300173ĐKLH/BYT-TB-CT;2023 trở về sau;Hàn Quốc;Abbott Diagnostics Korea Inc;Abbott Diagnostics Korea Inc / Hàn Quốc;Test; 1.500 ; 32.520 ;"Phát hiện tất cả các type kháng thể (IgG, IgM, IgA) đặc hiệu với virus HIV-1 gồm type phụ O và HIV-2 và phân biệt trong mẫu huyết thanh, huyết tương và máu toàn phần. 
 - Độ nhạy: 100%; Độ đặc hiệu: 99.8%. 
 - 1 test thử bao gồm: Phức hợp vàng: Kháng nguyên HIV-1 gp41, p24, HIV-2 gp36 tái tổ hợp – chất keo vàng (1,0 ± 0,2 μg); Vạch thử 1: Kháng nguyên HIV 
 -1 tái tổ hợp (gp41, p24) (0,625 ± 0,125 μg); Vạch thử 2: Kháng 
 nguyên HIV 
 -2 tái tổ hợp (gp36) (0,5±0,1μg); Vạch chứng: Huyết thanh dê có kháng thể HIV (0,75 ± 0,15 μg). - Thời gian trả kết quả: 10 – 20 phút 
 - Thể tích mẫu sử dụng: huyết thanh/huyết tương: 10 uL; máu toàn phần: 20uL - Không có phản ứng chéo với các mẫu thẩm tách máu, mẫu rối loạn đông máu, mẫu chứa yếu tố dạng thấp, mẫu dương tính với kháng thể kháng HCV và mẫu máu phụ nữ mang thai. - Quy cách: Hộp 100 test";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Lộc Bình;485/QĐ-TTYT ngày 19/11/2024;;;;;;;;;
578;Bao cao su;APNUMBER ONE;2200220ĐKLH/BYT-TB-CT;2023 trở về sau;Việt Nam;TBYT An Phú;TBYT An Phú / Việt Nam;Cái; 5.288 ; 945 ;"Được sản xuất từ cao su thiên nhiên, Không mùi , trong, kích thước size 49 và 52, dộ dày 
 0,065 mm, chất bôi trơn là silicone có độ nhớt 350 cst";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Lộc Bình;485/QĐ-TTYT ngày 19/11/2024;;;;;;;;;
579;Găng kiểm tra dùng trong y tế (có bột);GKTCB;230001255/PCBA-HCM;2023 trở về sau;Việt Nam;Merufa;Merufa / Việt Nam;Đôi; 4.000 ; 1.449 ;"- Được sản xuất từ latex cao su thiên nhiên chất lượng cao (đã ly tâm loại trừ các yếu tố tạp chất, độc tố, tác nhân gây dị ứng….), có bột nhẹ, thẩm thấu được, không gây kích ứng da tay. Sản phẩm được sản xuất theo công nghệ chất lượng cao. Không tiệt trùng. Không phân biệt tay trái và tay phải, thuận cả 2 tay, các cỡ, bền, không rách, không lủng, có viền mép, co giãn tốt. Găng tay có các ngón thẳng, phù hợp với hình dáng bàn tay của người sử dụng. Sử dụng 1 lần trong thăm khám, chăm sóc người bệnh. 
 - Găng kiểm tra dùng trong y tế các size được sản xuất theo tiêu chuẩn TCVN 6343 
 - Chiều dài (min): 240±5 mm. 
 - Chiều dày (min): 0.08mm 
 - Chiều rộng (mm): size XS: 70±10; size S: 80±10 size M: 95±10; size L: 111±10 
 - Cường lực kéo đứt: trước già hóa ≥ 7N; sau già hóa ≥ 6N. 
 - Độ dãn dài: trước già hóa ≥ 650%, sau già hóa ≥ 500%. 
 - Tiêu chuẩn chất lượng: ISO 9001:2015; ISO 13485:2016; CE";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Lộc Bình;485/QĐ-TTYT ngày 19/11/2024;;;;;;;;;
580;Bơm tiêm ECO sử dụng một lần 5ml;BTK5: ECO;220000012/PCBB-NB;2023 trở về sau;Việt Nam;Công ty cổ phần nhựa y tế Việt Nam (MPV);Công ty cổ phần nhựa y tế Việt Nam (MPV) / Việt Nam;Cái; 10.000 ; 714 ;"- Xy lanh: Sản xuất từ nhựa y tế nguyên sinh trong suốt, nhẵn bóng, không cong vênh, 
 không có ba via. Vạch chia dung tích in rõ nét, không bị nhòe mờ khi sử dụng. Vị trí đặt 2 ngón tay có gờ làm tăng độ bám chắc khi tiêm. 
 - Pít tông: Trong suốt, có khía bẻ gãy để hủy, không cong vênh, không có ba via. Núm đẩy có gờ tăng độ ma sát khi tiêm. 
 - Gioăng: Mềm dẻo, bề mặt gioăng nhẵn, di chuyển dễ dàng tạo được độ kín- khít giữa pít tông với xy lanh nên khí và dung dịch tiêm không lọt qua được gioăng. 
 - Kim: Làm bằng thép không gỉ mạ Crom hoặc Niken. Đầu kim vát 3 cạnh, sắc nhọn, không gờ. Thân kim nhẵn, tròn đều, có đủ độ cứng cơ khí, không bị cong vênh, không tạp chất bên trong, được phủ Silicon. Đốc kim có màu giúp phân biệt cỡ kim theo tiêu chuẩn quốc tế và được gắn chặt với thân kim không gây rò rỉ, an toàn khi sử dụng. Nắp chụp kim khít bảo vệ đầu kim tốt. Sản phẩm được tiệt trùng bằng khí Ethylene Oxide (E.O). Vô trùng, không độc, không buốt, không gây sốt, không DEHP";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Lộc Bình;485/QĐ-TTYT ngày 19/11/2024;;;;;;;;;
581;Ống nghiệm lấy máu Heparin MPV nắp nhựa;ON-09: MPV;220000006/PCBA-NB;2023 trở về sau;Việt Nam;Công ty cổ phần nhựa y tế Việt Nam (MPV);Công ty cổ phần nhựa y tế Việt Nam (MPV) / Việt Nam;Ống; 2.000 ; 735 ;Chất liệu: Ống được làm bằng nhựa y tế PP, nắp bằng nhựa LDPE mới 100%, Nắp nhựa LDPE đậy kín thành ống và được giữ chặt bởi khe tròn giữa 3 vòng răng ở thành trong của nắp và lõi lọt lòng trong của ống. Hóa chất: Được bơm hóa chất chống đông Lithium Heparin dưới dạng hạt sương, Kích thước ống 12x75mm, có vạch định mức lấy mẫu, chịu được lực quay ly tâm 6000 vòng/phút trong vòng 5 - 10 phút, nhãn màu đen, có phiếu kiểm định chất lượng của cơ quan kiểm định.;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Lộc Bình;485/QĐ-TTYT ngày 19/11/2024;;;;;;;;;
582;Monitor theo dõi sản khoa;CMS800G;240002479/PCBB-HN Ngày 19/9/2024;2024;Trung Quốc;Contec Medical Systems Co., Ltd;Trung Quốc;Chiếc; 4 ; 23.450.000 ;"THÔNG SỐ KỸ THUẬT:
 Bảo vệ chống điện giật: Loại 1
 Mức độ bảo vệ chống điện giật: Bộ phận ứng dụng loại B
 Điện áp làm việc: AC 100V-240V; Tần số 50HZ/60Hz P<60 VA; Cầu chì: T1.6AL250V
 Máy in:
 Giấy ghi: Giấy gấp chữ Z; Chiều rộng in: 112mm
 Chiều rộng in hợp lệ: 104mm
 Tốc độ: 1cm/ phút, 2cm/phút, 3cm/phút (tuỳ chọn)
 Đầu dò siêu âm
 Tần số thực: 1,0 MHz; Tần số làm việc: 1,0 MHz ±10%
 Áp suất đỉnh: p_ < 1Mpa; 
 Cường độ chùm tia đầu ra: Iob<20 mW/cm2
 Cường độ cực đại của không gian thời gian cực đại: Ispta <100 mW/cm2
 Cường độ đỉnh không gian thời gian trung bình: Isata <10 mW/cm2
 FHR
 Phạm vi: 50BPM – 240BPM; Độ phân giải: 1BPM
 Độ chính xác: ±2BPM
 TOCO
 Phạm vi: 0-100%; Độ phân giải: 1%; Sai số tuyến tính ≤ ±10%
 CẤU HÌNH VÀ PHỤ KIỆN: 
 Thân máy chính: 01 cái; Đầu dò: 02 bộ; Đai thắt lưng: 02 cái
 Giấy ghi: 02 bộ; Dây nguồn: 01 cái; Tài liệu HDSD: 01 bộ";Công ty cổ phần thương mại quốc tế Meditop;1006279186;Trung tâm Y tế huyện Lộc Bình;522/QĐ-TTYT ngày 10/12/2024;;;;;;;;;
583;Đệm bệnh nhân;ĐG-0002;;2024;Việt Nam;Công ty TNHH MTV Thiết bị Y tế 130 Armephaco;Việt Nam;Chiếc; 70 ; 590.000 ;- Kích thước (mm): D1880 x R880 x C50±3% Vật liệu: - Đệm bông ép giả da ngoại không thấm nước, chịu được các chất tẩy rửa thông thường. - Đệm căng, phẳng, đàn hồi tốt, không xẹp. - Đệm thiết kế 2 khúc, có thể gập gọn khi không sử dụng.;Công ty TNHH MTV Thiết bị Y tế 130 Armephaco;106892737;Trung tâm Y tế huyện Lộc Bình;536/QĐ-TTYT ngày 19/12/2024;;;;;;;;;
584;Ống nội soi dùng trong y tế;EJ-3;;2024 trở đi;Trung Quốc;Shenyang: Shenda Endoscope Co.,Ltd;Trung Quốc;Cái; 1 ; 11.200.000 ;Góc soi quan sát 0 độ, phi 2,7mm x 110mm.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
585;Ống nội soi dùng trong y tế;HJ-1;;2024 trở đi;Trung Quốc;Shenyang: Shenda Endoscope Co.,Ltd;Trung Quốc;Cái; 1 ; 19.870.000 ;Góc soi quan sát 90 độ, phi 6mm x 179mm.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
586;Kẹp dị vật mũi (Kẹp dị vật mũi Jansen, dài 16CM);WS-526-015;;2024 trở đi;Pakistan;Weldon;Pakistan;Cái; 2 ; 532.400 ;Kẹp bằng Inox dài 16cm.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
587;Trụ cắm panh;;;2024 trở đi;Việt Nam;Việt Nam;Việt Nam;Cái; 3 ; 65.000 ;Trụ bằng Inox.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
588;Bộ tăm bông;;;2024 trở đi;Việt Nam;Việt Nam;Việt Nam;Bộ; 1 ; 95.000 ;Chất liệu: làm bằng thép không gỉ, có thể hấp sấy được. Gồm thìa lấy ráy tai, que tăm bông, móc lấy ráy tai.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
589;Thòng lọng lấy dị vât;;;2024 trở đi;Việt Nam;Việt Nam;Việt Nam;Cái; 2 ; 660.000 ;Chất liệu: làm bằng thép không gỉ, có thể hấp sấy được.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
590;Kẹp lấy dị vật (Kẹp lấy dị vật Hartman, ngàm răng cưa, dài 18.5CM);WS-469-008;;2024 trở đi;Pakistan;Weldon;Pakistan;Cái; 2 ; 990.000 ;Ngàm răng cưa, dài 18.5 cm.;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
591;Hộp ngâm optic 4 ống;;;2024 trở đi;Trung Quốc;Ouman;Trung Quốc;Cái; 1 ; 3.750.000 ;Chất liệu thép không gỉ;HỘ KINH DOANH CỬA HÀNG THIẾT BỊ Y TẾ MINH PHƯƠNG;8124600212-001;Trung tâm Y tế huyện Đình Lập;326/QĐ-TTYT, ngày 03/12/2024;;;;;;;;;
592;Túi Y tế thôn bản;TYT/ Đại An;;2024;Việt Nam/ Pakistan/ Trung Quốc;Việt Nam/ Pakistan/ Trung Quốc;Việt Nam/ Pakistan/ Trung Quốc;Chiếc; 112 ; 1.161.500 ;"01 Túi Y tế thôn bản gồm các dụng cụ chi tiết kèm theo sau: Bơm tiêm dùng 1 lần 5ml; Bơm tiêm dùng 1 lần 10 ml; Y nhiệt kế 42⁰C; Kẹp Korcher thẳng 160mm có mấu và khoá hãm; Kẹp cong có mấu và khóa hãm 160mm; Kẹp phẫu tích 160mm; Kéo thẳng 160mm đầu tù; Thước dây bằng vải tráng nhựa 1,5m; Đè lưỡi thép không gỉ; Hộp đựng dụng cụ inox; Đèn pin + 2 pin đại; Bông y tế 50gram; Băng cuộn 10cm x 5m; Các bộ nẹp chân, tay; Túi dựng dụng cụ xách tay, 3 ngăn, có dây đeo (300mm x 240mm x 100mm)";Công ty TNHH sản xuất và thương mại Gia Hiển;101596614;Trung tâm Y tế huyện Đình Lập;283/QĐ-TTYT, ngày 24/10/2024;;;;;;;;;
593;Chỉ tan chậm tự nhiên Catgut chromic (chỉ làm từ collagen cừu, phủ muối chromic) số 1;4C75DZ40;7636NK/BYT-TB-CT;2024;Unisur Lifecare;Ấn Độ;Unisur Lifecare, Ấn Độ;Sợi; 60 ; 39.500 ;Chỉ phẫu thuật tự tiêu tổng hợp Catgut chromic, tiệt trùng bằng EO, chỉ dài ≥75cm, kim tròn 1/2 dài 40mm;Công ty TNHH thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Đình Lập;294/QĐ-TTYT, ngày 31/10/2024;;;;;;;;;
594;Chỉ tan chậm tự nhiên Catgut chromic (chỉ làm từ collagen cừu, phủ muối chromic) số 2/0, chỉ dài 75cm, kim tròn, cong 1/2C, dài 26mm;4E75DZ26;7636NK/BYT-TB-CT;2024;Unisur Lifecare;Ấn Độ;Unisur Lifecare, Ấn Độ;Sợi; 120 ; 30.500 ;Chỉ phẫu thuật tự tiêu tổng hợp Catgut chromic-Unigut, đa sợi, tiệt trùng bằng EO, tan trong vòng 70 ngày, chỉ dài ≥75cm, kim tròn 1/2 dài 26mm;Công ty TNHH thiết bị Y tế Hoàng Anh;101581745;Trung tâm Y tế huyện Đình Lập;294/QĐ-TTYT, ngày 31/10/2024;;;;;;;;;
