STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
1025;TI1904I;TI;Cty TNHH Kỹ Thuật Năng Lượng Toàn Cầu;25 Đường 12A, P Long Thạnh Mỹ, Q 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1026;TI1905I;TI;Công ty TNHH Đá Villa;Số 1, Đường  D12, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1027;TI1907I;TI;Cty TNHH Nước Đá Tân Phú;3A Hoàng Hữu Nam, P Tân Phú, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1028;TI1910I;TI;Công Ty TNHH TM DV VT Nhất Uy;Số 2, Đường D39 (Khu nhà ở Kiến á), P. Phước Long B, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1029;TI1911I;TI;Công Ty TNHH KT TM DV Thiên Trúc;9 Đường 12, P.Long Thạnh Mỹ, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1030;TI1912I;TI;Cty TNHH Phát Triển Công Nghệ Môi Trường Gia Hưng;58/17 Trương Văn Thành, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1031;TI1913I;TI;CTy TNHH TM DV Công Nghệ Phước Thành;14/3A Mạc Hiển Tích, P.Long Bình, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1032;TI1914I;TI;Công Ty TNHH Tư Vấn Xây Dựng Nguyên Việt;12 Đường 6, KP1, P.Hiệp Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1033;TI1916I;TI;Công Ty TNHH Đầu Tư TM XNK Hồng Phát;46 Đường 297, P.Phước Long B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1034;TI1918I;TI;Cty TNHH TM DV XNK Phú  An Khánh;30/2D Đường 8, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1035;TI1919I;TI;Công Ty TNHH TM DV Phúc Thanh Tâm;254 Lê Văn Việt, P.Tăng Nhơn Phú B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1036;TI1921I;TI;Cty TNHH Kỹ Thuật Dinh Dưỡng Nông Nghiệp;10/3E Đường số 275, KP5, Phường Hiệp Phú, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1037;TI1922I;TI;Cty TNHH MTV Hoa Hồng Đỏ;Số 2, Đường D46, Khu nhà ở Kiến á, KP6, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1038;TI1923I;TI;Công Ty TNHH ĐT TM DV VT Hưng Thịnh;157 Hàng Tre, ấp Thái Bình, P.Long Bình, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1039;TI1924I;TI;Cty TNHH Nhà Hàng Tiệc Cưới Minh Phú;146 Lê Văn Việt, P.Tăng Nhơn Phú B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1040;TI1925I;TI;Công Ty Cổ Phần Công Nghệ Bách Hưng Khang;26 Trần Hưng Đạo, P.Hiệp Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1041;TI1926I;TI;Công Ty TNHH SX TM Nam Hoàng Long;11A, Đường 182, KP3, P.Tăng Nhơn Phú A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1042;TI1927I;TI;Công Ty TNHH TM KT Xây Dựng HTC;39 Huỳnh Thúc Kháng, P.Hiệp Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1043;TI1928I;TI;Cty TNHH MTV Chế Biến Nông Sản Tuấn Kha;41 Đuường Cầu Xây 2, KP Cầu Xây, P.Tân Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1044;TI1929I;TI;Cty TNHH TM TV ĐT Phố Đông;41A Tân Lập 2, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1045;TI1930I;TI;Cty TNHH MTV Khách Sạn Phương Ly;86 đường số 61, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1046;TI1931I;TI;Công Ty Cổ Phần Văn Hóa Ngôi Nhà Xanh;D4/4A Đường 385, P.Tăng Nhơn Phú A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1047;TI1932I;TI;Công Ty TNHH SX TM Hợp Long Vina;26 Hoàng Hữu Nam, ấp Mỹ Thành, P.Long Thạnh Mỹ, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1048;TI1933I;TI;Cty TNHH Dầu Khí Phước Long;09 Dương Đình Hội, KP5, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1049;TI1934I;TI;Cty TNHH Dầu Khí Hiệp Phú;91 Ngô Quyền, KP2, P Hiệp Phú, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1050;TI1935I;TI;Cty TNHH Dầu Khí Phú Hữu;906 Nguyễn Duy Trinh, KP4, P Phú Hữu, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1051;TI1936I;TI;Cty TNHH Dầu Khí Thiên Phú;114 Tăng Nhơn Phú, KP3, P Tăng Nhơn Phú B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1052;TI1937I;TI;Công Ty TNHH SX và TM N.B.A;16 Tăng Nhơn Phú, P.Phước Long B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1053;TI1938I;TI;Công Ty TNHH GN VT Biển Mỏ Neo Vàng;22/19 Đường 109, P.Phước Long B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1054;TI1939I;TI;Cty TNHH Tiếp Vận Vận Tải Trung Thành;415, Lầu 4 Lô A, CC Ehome 86 Dương Đình Hội, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1055;TI1940I;TI;Cty TNHH TM DV XNK Thanh An;C4 Đỗ Xuân Hợp, Khu nhà ở Đất Phương Nam, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1056;TI1941I;TI;Công Ty TNHH MTV TM Đại Ngàn;27A, Tổ 4, KP1, Đường 79, P. Phước Long B, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1057;TI1942I;TI;Công Ty TNHH Long Quy Logistics;267/9B, Đường 11, KPThái Bình, P.Long Bình, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1058;TI1943I;TI;Công Ty TNHH MTV May mặc Khang Nam;91/1 Đường Tân Hóa 2, P.Hiệp Phú, Q.9, TP.HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1059;TI1944I;TI;Công Ty TNHH DV VT Và XD Điện Nam Hải;189/3 Dương Đình Hội, Tổ 9, KP4, P.Phước Long B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1060;TI1945I;TI;Cty TNHH MTV Cung Cấp Suất Ăn CN Tú Hảo;90L Dương Đình Hội, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1061;TI1946I;TI;Công Ty TNHH Hương Huỳnh;18 Hồ Bá Phấn, KP3, P.Phước Long A, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1062;TI1948I;TI;Công Ty Cổ Phần ĐT Và TM Đông Tây;43 Đường 1, P.Phú Hữu, Quận 9, TP.HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1063;TI1950I;TI;Công Ty TNHH MTV Việt Thanh Gia;101 Đường số 2, KP1, P.Tăng Nhơn Phú B,Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1064;TI1951I;TI;Công Ty TNHH HNL Vina;05 Lã Xuân Oai, P.Trường Thạnh, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1065;TI1952I;TI;Công Ty TNHH MTV TM DV Thanh Bình Phú;86 Đường Gò Cát, Tổ 6, KP3, P.Phú Hữu, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1066;TI1953I;TI;Cty TNHH Sản Xuất Và Dịch Vụ Minh Thành Phát;39/11G Đường số 10, KP2, P Tăng Nhơn Phú B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1067;TI1954I;TI;Công Ty TNHH TM DV Trường Thịnh Phú;23 Đường 69, KP6, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1068;TI1955I;TI;Công ty TNHH Thương Mại và Dịch Vụ Uyên An;51 Đường 11, P Phước Bình, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1069;TI1956I;TI;Cty TNHH Dịch Vụ Kỹ thuật  Đại Phú;39/14C, Đường 102, KP7, P Tăng Nhơn Phú A, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1070;TI1958I;TI;Công Ty TNHH Thiết Bị D.S;2C Thủy Lợi, P.Phước Long A,Quận 9,TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1071;TI1959I;TI;Công Ty TNHH TM Tôn Thép Tấn Đạt;79 Lê Văn Việt, KP3, P.Hiệp Phú, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1072;TI1960I;TI;Công Ty TNHH KD Khí Đốt & Khoáng Sản Gia Linh;A11/2 Đường 385, KP2, P Tăng Nhơn Phú A, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1073;TI1961I;TI;Cty TNHH Kỹ Thuật và Công Nghệ V7;448/5E đường Lê Văn Việt, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1074;TI1962I;TI;Cty TNHH Tiếp Vận Dũng Linh;2/27C Trương Văn Hải, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1075;TI1963I;TI;Cty TNHH TM DV Viễn Thông Phúc Anh Thy;160 Lê Văn Việt, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1076;TI1964I;TI;Cty TNHH TM DV  Tổng Hợp Quang Cường;661 Nguyễn Xiển, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1077;TI1966I;TI;Cty TNHH Vận Tải C&T;46A đường Làng Tăng Phú, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1078;TI1968I;TI;Công Ty TNHH NT Indec;21 Đường 212, KP2, P.Phước Long A, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1079;TI1969I;TI;Công Ty TNHH Đầu Tư XD Bình Khánh;11 Đường 19, KDC Khang Điền, P.Phước Long B, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1080;TI1970I;TI;Công Ty TNHH MTV Vận Tải Phát Khang;9 Đường 18, P.Long Thạnh Mỹ, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1081;TI1972I;TI;Công Ty Cổ Phần Phân Bón Đại An;40/28 Đường 185, KP5, P.Phước Long B, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1082;TI1973I;TI;Công Ty TNHH Công Nghệ Việt Thái;3/29E Đường 182, KP3, P.Tăng Nhơn Phú A, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1083;TI1975I;TI;Công Ty TNHH Cơ Điện Lạnh Trí Lực;545/16/18 Đường Nguyễn Xiển, KP. Gò Công, P. Long Thạnh Mỹ, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1084;TI1976I;TI;Công Ty CP XD TM Trường Thành Phát;133A, Đường 138,P Tân Phú,Q9,TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1085;TI1977I;TI;Công Ty TNHH Kỹ Thuật Điện Tử TH;82 Đường 13, P.Phước Bình, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1086;TI1978I;TI;Công ty CP XNK Thiết Bị Cát Tân;20/2 Nam Hòa, P Phước Long A, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1087;TI1980I;TI;Cty TNHH XD TM Mạnh Phan;56/9/3 đường 147, kp3, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1088;TI1981I;TI;Cty TNHH DV Bảo Vệ Trường Phước;187/29 Long Phước, Khu Phố Long Thuận, P. Long Phước, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1089;TI1983I;TI;Công Ty TNHH TM Hoàng Phi Cường;30 Đường Trần Hưng Đạo, P. Hiệp Phú, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1090;TI1984I;TI;Công ty TNHH XD và CK Phúc Tiến;178/38 Long Thuận, Tổ 16, KP Long Thuận, P. Long Phước, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1091;TI1985I;TI;Cty TNHH SX TM Khởi Chí Hưng;50/3 Mạc Hiển Tích, P Long Bình, Q9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1092;TI1986I;TI;Công Ty TNHH Thiết bị lưới điện Toàn Cầu;103 Đường D2, P. Tăng Nhơn Phú A, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1093;TI1987I;TI;Cty TNHH Đầu Tư Máy Xây Dựng Việt Nam;88 Đường 205A, KP3, P Tân Phú, Q9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1094;TI1988I;TI;Công ty CP Lô Bồi Việt Nam;22 đường D2, KBT Thảo Nguyên, P Long Thạnh Mỹ, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1095;TI1989I;TI;Công ty TNHH TM QT Dệt May Việt Nam;18 Tăng Nhơn Phú, P Phước Long B, Q9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1096;TI1990I;TI;Công Ty TNHH TM TV TK&XD Điện Quang Thành;115 đường 61, P Phước Long B, Q. 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1097;TI1993I;TI;DNTN Khách Sạn Vùng Cao;280 Hoàng Hữu Nam, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1098;TI1995I;TI;CTY TNHH Vận Tải Ngọc Liên;201/10 Nam Hòa, P Phước Long A, Q9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1099;TI1997I;TI;Công ty CP Điện & Chiếu Sáng Se Co;816/24 Nguyễn Duy Trinh, P.Phú Hữu, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1100;TI2000I;TI;Công Ty TNHH XD TM Và DV Sơn An;30 Đường D1A, Tổ 4, KP6, P.Phước Long B, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1101;TI2001I;TI;Cty TNHH ĐT TM DV XNK Phương Nam;60A Quang Trung, KP5, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1102;TI2002I;TI;Công Ty Cổ Phần ACB;36/11 Nam Cao, P.Tân Phú, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1103;TI2003I;TI;CTy CP Tư Vấn Và  Xây Dựng An Đức;39/5 Trương Văn Hải, P TNP B, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1104;TI2004I;TI;Công ty CP phát triển BĐS Đất Mới;1447A Nguyễn Duy Trinh, P. Trường Thạnh, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
1105;TI2005I;TI;Công Ty TNHH TM XD Vận Tải Phú Khang;66 Đỗ Xuân Hợp, P.Phước Long A, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
