"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"212","03/TB-TYT của TYT xã Xuân Mai","22/7/2025.","Trạm y tế xã Xuân Mai","Thôn Tiên Xuân – Xã Xuân Mai – TP Hà Nội","Trần Công Năng","936001900.0","1","null","null","null"
"212","03/TB-TYT của TYT xã Xuân Mai","22/7/2025.","PKĐK khu vực Xuân Mai – TYT xã Xuân Mai","Thôn Xuân Hà – Xã Xuân Mai – TP Hà Nội","Lê Doãn Mạnh","987123914.0","1","null","null","null"
"212","03/TB-TYT của TYT xã Xuân Mai","22/7/2025.","Điểm y tế Thủy Xuân Tiên","Thôn Trí Thủy – Xã Xuân Mai - TP Hà Nội","Trần Thị Nga","356091441.0","1","null","null","null"
"212","03/TB-TYT của TYT xã Xuân Mai","22/7/2025.","Điểm y tế Tân Tiến","Thôn Phương Hạnh – Xã Xuân Mai - TP Hà Nội","Nguyễn Trung Dũng","973378221.0","1","null","null","null"
"212","03/TB-TYT của TYT xã Xuân Mai","22/7/2025.","Điểm y tế Nam Phương Tiến","Thôn Đồi Miễu – Xã Xuân Mai – TP Hà Nội","Nguyễn Thị Uyên","975863698.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Trạm Y tế xã Phúc Thịnh","Km 1 - quốc lộ 23B - xã Phúc Thịnh – TP. Hà Nội","Trần Ngọc Nghĩa","978146286.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Điểm Y tế Tiên Dương","Thôn Trung Oai - xã Phúc Thịnh – TP. Hà Nội","Nguyễn Thị Hoa","352299002.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Điểm Y tế Vân Nội","Thôn Ba Chữ - xã Phúc Thịnh – TP. Hà Nội","Tô Thị Tuyết","976929771.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Điểm Y tế Nam Hồng","Thôn Vệ - xã Phúc Thịnh – TP. Hà Nội","Tạ Văn Chính","986928503.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Điểm Y tế Bắc Hồng","Thôn Phù Liễn - xã Phúc Thịnh – TP. Hà Nội","Dương Thị Chỉnh","984745050.0","1","null","null","null"
"213","06/TB-TYT của TYT xã Phúc Thịnh","15/7/2025.","Điểm Y tế Nguyên Khê","Thôn Khê Nữ - xã Phúc Thịnh – TP. Hà Nội","Nguyễn Minh Sơn","978792526.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Phòng tiêm chủng dịch vụ - TYT phường Chương Mỹ","Tổ dân phố Nội An, Phường Chương Mỹ, Thành phố Hà Nội","Dương Mạnh Hùng","399596786.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Chúc Sơn","Tổ dân phố Đông Sơn, Phường Chương Mỹ, Thành phố Hà Nội","Nguyễn Đình Quân","349625925.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Phụng Châu","Thôn Phượng Nghĩa, Phường Chương Mỹ, Thành phố Hà Nội","Nguyễn Xuân Hùng","344348489.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Ngọc Hòa","Thôn Chúc Lý, Phường Chương Mỹ, Thành phố Hà Nội","Trịnh Duy Đà","398226651.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Thụy Hương","Thôn Trung Tiến, Phường Chương Mỹ, Thành phố Hà Nội","Trần Văn Khôi","986070335.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Đại Yên","Xóm Tiếu, Phường Chương Mỹ, Thành phố Hà Nội","Ngô Trung Quyết","903401569.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Tiên Phương","Thôn Quyết Tiến, Phường Chương Mỹ, Thành phố Hà Nội","Tống Văn Hùng","973700309.0","1","null","null","null"
"214","17/TB-TYT của TYT phường Chương Mỹ","22/7/2025.","Điểm y tế Biên Giang","Tổ dân phố Yên Phúc, Phường Chương Mỹ, Thành phố Hà Nội","Phùng Thị Luyến","948549858.0","1","null","null","null"
"215","16/TB-TYT của TYT phường Tương Mai","17/7/2025.","Điểm Y tế Tân Mai","Ngõ 389 Trương Định phường Tương Mai Tp Hà Nội","Nguyễn Việt Phương","2438647206.0","1","null","null","null"
"215","16/TB-TYT của TYT phường Tương Mai","17/7/2025.","Điểm Y tế Tương Mai","Số 73 Nguyễn An Ninh phường Tương Mai Tp Hà Nội","Hoàng Ánh Hồng","2436620708.0","1","null","null","null"
"215","16/TB-TYT của TYT phường Tương Mai","17/7/2025.","Điểm Y tế Giáp Bát","Số 36 ngõ 119 Giáp Bát phường Tương Mai Tp Hà Nội","Nguyễn Thu Huyền","2438647205.0","1","null","null","null"
"215","16/TB-TYT của TYT phường Tương Mai","17/7/2025.","Điểm Y tế Hoàng Văn Thụ","192 đường Hoàng Mai phường Tương Mai Tp Hà Nội","Nguyễn Thu Hà","987815000.0","1","null","null","null"
"216","02/TB-TYT của TYT phường Phú Lương","17/7/2025.","Điểm Trạm Phú Lãm","Số 3 đường Quang Lãm, Tổ 4A, phường Phú Lương, Thành phố Hà Nội","Nguyễn Văn Hiếu","938181188.0","1","null","null","null"
"217","02/TB-TYT của TYT phường Yên Sở","17/7/2025.","Trạm Y tế phường Yên Sở","Cổ Điển B – phường Yên Sở – Thành phố Hà Nội","Bác sĩ Đào Bá Tuệ","907526586.0","1","null","null","null"
"218","19/TB-TYT của TYT phường Định Công","22/7/2025.","Điểm Y tế Định Công Hạ","Số 58 Định Công Hạ - Phường Định Công -Tp Hà Nội","Đỗ Thị Ngọc","912647424.0","1","null","null","null"
"219","17/TB-TYT của TYT phường Cửa Nam","18/7/2025.","Điểm Trạm Y tế Phan Chu Trinh","Số 34 phố Phan Chu Trinh - Cửa Nam - TP Hà Nội","Cao Thành Đạt","983978172.0","1","null","null","null"
"219","17/TB-TYT của TYT phường Cửa Nam","18/7/2025.","Điểm Y tế Trần Hưng Đạo","Số 67 Quán Sứ - Cửa Nam - Hà Nội","Phạm Thị Mai Hoa","989067674.0","1","null","null","null"
"219","17/TB-TYT của TYT phường Cửa Nam","18/7/2025.","Điểm Y tế Phan Bội Châu","Số 45 Phan Bội Châu - Cửa Nam - TP Hà Nội","Đinh Thị Mai Hoa","983622383.0","1","null","null","null"
"219","17/TB-TYT của TYT phường Cửa Nam","18/7/2025.","Điểm Y tế Hàng Bài","Ngõ 8 Trần Quốc Toản - Cửa Nam - TP Hà Nội","Nguyễn Đức Dương","912579596.0","1","null","null","null"
"219","17/TB-TYT của TYT phường Cửa Nam","18/7/2025.","Điểm Y tế Tràng Tiền","Ngõ 29 Hàng Khay – Cửa Nam - TP Hà Nội","Vũ Thị Sơn","977292702.0","1","null","null","null"
"220","24/TB-TYT của TYT phường Ba Đình","21/7/2025.","Điểm tiêm chủng các loại vắc xin dịch vụ","Số 101 phố Quán Thánh – phường Ba Đình – Thành phố Hà Nội","Tiêu Ngọc Chiến","913030092.0","1","null","null","null"
"220","24/TB-TYT của TYT phường Ba Đình","21/7/2025.","Điểm Y tế Điện Biên","Số 142 Nguyễn Thái Học – phường Ba Đình – Thành phố HN","Lại Ngọc Long","983893192.0","1","null","null","null"
"220","24/TB-TYT của TYT phường Ba Đình","21/7/2025.","Điểm Y tế Quán Thánh","Số 50 Hàng Bún – phường Ba Đình – Thành phố Hà Nội","Bùi Như Hồng","904343682.0","1","null","null","null"
"220","24/TB-TYT của TYT phường Ba Đình","21/7/2025.","Điểm Y tế Trúc Bạch","Số 2 Trúc Bạch – phường Ba Đình – Thành phố Hà Nội","Trần Thị Chi","336140228.0","1","null","null","null"
"221","12/TB-TYT của TYT phường Ngọc Hà","21/7/2025.","Điểm Trạm Y tế Ngọc Hà thứ nhất","Số 191-193 Đội Cấn – Phường Ngọc Hà – Thành phố Hà Nội","Nguyễn Quỳnh Trang","966686595.0","1","null","null","null"
"221","12/TB-TYT của TYT phường Ngọc Hà","21/7/2025.","Điểm Trạm Y tế Ngọc Hà thứ hai","Ngõ 166 Kim Mã – Phường Ngọc Hà –Thành Phố Hà Nội","Lê Thị Lan","986193955.0","1","null","null","null"
"221","12/TB-TYT của TYT phường Ngọc Hà","21/7/2025.","Điểm Trạm Y tế Ngọc Hà thứ ba","Ngõ 518 Đội Cấn – Phường Ngọc Hà – Thành Phố Hà Nội","Nguyễn Phương Thúy","979946637.0","1","null","null","null"
"221","12/TB-TYT của TYT phường Ngọc Hà","21/7/2025.","Điểm Trạm Y tế Ngọc Hà thứ tư","K3 Khu 7,2 ha – Phường Ngọc Hà – Thành Phố Hà Nội","Nguyễn Tường Phượng","988837033.0","1","null","null","null"
"221","12/TB-TYT của TYT phường Ngọc Hà","21/7/2025.","Điểm Trạm Y tế Ngọc Hà thứ năm","Số 42 Ngõ 55 Hoàng Hoa Thám – Phường Ngọc Hà – Hà Nội","Nguyễn Đăng Xuân","962160275.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Trạm Y tế","87-89 Thuốc Bắc – Phường Hoàn Kiếm- Thành Phố Hà Nội","Đặng Thị Kim Oanh","986600326.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Buồm","91 Hàng Buồm– Phường Hoàn Kiếm- Thành Phố Hà Nội","Nguyễn Thị Thúy","983433960.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Bạc","101 Hàng Bạc– Phường Hoàn Kiếm- Thành Phố Hà Nội","Ân Thành Đặt","386500070.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Gai","42 Hàng Mành– Phường Hoàn Kiếm- Thành Phố Hà Nội","Vũ Thị Thu Hòa","983251568.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Bông","1 Trần Phú -Phường Hoàn Kiếm- Thành Phố Hà Nội","Nguyễn Thanh Nga","944686968.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Lý Thái Tổ","11 Hàng Vôi-Phường Hoàn Kiếm- Thành Phố Hà Nội","Ngô Tuyết Thanh","989141332.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Cửa Đông","37 Đường Thành-Phường Hoàn Kiếm- Thành Phố Hà Nội","Đinh Ngọc Phát","912124391.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Đồng Xuân","40 Trần Nhật Duật– Phường Hoàn Kiếm- Thành Phố Hà Nội","Ngô Thị Vịnh","856334627.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Trống","52 Lý Quốc Sư– Phường Hoàn Kiếm- Thành Phố Hà Nội","Phạm Thị Sáu","9822517893.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Mã","5 Hàng Cót– Phường Hoàn Kiếm- Thành Phố Hà Nội","Đoàn Thị Thúy Liên","902018538.0","1","null","null","null"
"222","16/TB-TYT của TYT phường Hoàn Kiếm","21/7/2025.","Điểm Y tế Hàng Đào","16 Lương Văn Can– Phường Hoàn Kiếm- Thành Phố Hà Nội","Đỗ Thùy Dung","977434288.0","1","null","null","null"
"223","01/NMH của Phòng khám đa khoa Nguyên Minh Hoàng","20/7/2025.","Hộ Kinh doanh phòng khám đa khoa Nguyên Minh Hoàng","BT Song Lập HA 03-122 Khu đô thị Vinhome Ocean Park, Xã Kiêu Kỵ, huyện Gia Lâm, TP Hà Nội","Nguyễn Thị Thanh","822926383.0","null","null","1","null"
"224","01/TB-NMH của Công ty TNHH Dược phẩm Nguyên Minh Hoàng","24/7/2025.","Công ty TNHH Dược phẩm Nguyên Minh Hoàng","BT Song Lập HA 03-122 Khu đô thị Vinhome Ocean Park, Gia Lâm, TP Hà Nội","Trần Phương Mỹ","962942901.0","1","null","null","null"
"225","02/TB-TYT của TYT xã Ba Vì","17/7/2025.","Điểm Trạm Y tế xã Ba Vì","Thôn Mộc - Xã Ba Vì- Tp Hà Nội","Nguyễn Xuân Đồng","978047087.0","1","null","null","null"
"225","02/TB-TYT của TYT xã Ba Vì","17/7/2025.","Điểm Y tế Ba Vì","Thôn Yên Sơn - Xã Ba Vì- Tp Hà Nội","Trần Thị Nhinh","988676192.0","1","null","null","null"
"225","02/TB-TYT của TYT xã Ba Vì","17/7/2025.","Điểm Y tế Khánh Thượng","Thôn Gò Đá Chẹ - Xã Ba Vì - Tp Hà Nội","Hoàng Trọng Luân","973166109.0","1","null","null","null"
"226","28/TB-TYT của TYT phường Cửa Nam","24/7/2025.","Phòng khám đa khoa 50C Hàng Bài","50C Hàng Bài, phường Cửa Nam, TP Hà Nội","Nguyễn Ngọc Chiến","913224700.0","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Trạm Y tế xã Dân Hoà","Số 23 đường Liên Xã, xã Dân Hoà, TP Hà Nội","Trần Văn Huyên","902123499","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Điểm Y tế Cao Dương","Thôn Mới - Xã Dân Hoà- Tp Hà Nội","Nguyễn Thị Mai Hoa","988715236.0","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Điểm Y tế Xuân Dương","Thôn Vân Đồng - Xã Dân Hoà- Tp Hà Nội","Nguyễn Thị Nga","984682663.0","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Điểm Y tế Tân Ước","Thôn Chi Lễ - Xã Dân Hoà - Tp Hà Nội","Nguyễn Thị Nhung","368535180.0","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Điểm Y tế Hồng Dương","Thôn Mạch Kỳ- Xã Dân Hoà - Tp Hà Nội","Nguyễn Văn Nhâm","869527357.0","1","null","null","null"
"227","34/TB-TYT của TYT xã Dân Hoà","23/7/2025.","Điểm Y tế Liên Châu","Thôn Châu Mai- Xã Dân Hoà - Tp Hà Nội","Quách Thị Hảo","945747113.0","1","null","null","null"
"228","10/TB-TYT của TYT phường Đống Đa","23/7/2025.","Điểm trạm Trung Liệt","Số 18 phố Trung Liệt, phường Đống Đa, TP. Hà Nội","Nguyễn Thị Nhung","386723906.0","1","null","null","null"
"229","08/TB-TYT của TYT phường Hà Đông","23/7/2025.","Trạm Y tế phường Hà Đông","Số 57 Tô Hiệu, Phường Hà Đông, Thành phố Hà Nội","BSCK II Trương Kỳ Phong","2433552505.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Trạm Y tế","Thôn 9 Ngọc Tảo –xã Hát Môn- TP Hà Nội","CN Nguyễn Tiến Chương","984056389.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Ngọc Tảo","Thôn 4 Ngọc Tảo –xã Hát Môn – TP Hà Nội","BS Vũ Mạnh Cường","984897422.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Hát Môn","Thôn Hát Môn 6 xã Hát Môn – TP Hà Nội","BS Nguyễn Thị Nga","946211682.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Tam Thuấn","Thôn Nội 1– xã Hát Môn – TP Hà Nội","Y sỹ Trần Đình Thân","982439467.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Thanh Đa","Thôn Phú Đa – xã Hát Môn – TP Hà Nội","BS Nguyễn Thị Riên","385313757.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Tam Hiệp","Thôn 3 Tam Hiệp – xã Hát Môn – TP Hà Nội","BS Lưu Thị Dung","865899586.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Hiệp Thuận","Thôn Hiệp Thuận 2 – xã Hát Môn – TP Hà Nội","BS Nguyễn Văn Sang","968434416.0","1","null","null","null"
"230","02/TB-TYT của TYT xã Hát Môn","24/7/2025.","Điểm Y tế Liên Hiệp","Thôn 1 - Liên Hiệp –xã Hát Môn – TP Hà Nội","BS Đỗ Thị Phượng","856346420.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Trạm y tế xã Hòa Phú","Thôn Trung - Xã Hòa Phú - TP Hà Nội","Bùi Thị Hoa","988074389.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Hồng Phú","Thôn Hòa Xá - Xã Hòa Phú - TP Hà Nội","Nguyễn Thị Lưỡng","383666704.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Thượng Vực","Thôn Trung Vực Ngoài - Xã Hòa Phú - TP Hà Nội","Vũ Văn Thủy","914832660.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Đồng Lạc","Thôn Hội Triều - Xã Hòa Phú - TP Hà Nội","Lê Phú Trùy","984587387.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Văn Võ","Thôn Cấp Tiến - Xã Hòa Phú - TP Hà Nội","Nguyễn Sĩ Mạnh","932326939.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Hòa Chính","Thôn Lý Nhân - Xã Hòa Phú - TP Hà Nội","Trần Xuân Nam","977212661.0","1","null","null","null"
"231","15/TB-TYT của TYT xã Hoà Phú","21/7/2025.","Điểm Y tế Phú Nam An","Thôn Mỗ Xá - Xã Hòa Phú - TP Hà Nội","Vũ Thị Huệ","984368820.0","1","null","null","null"
"232","01/TB-TYT của TYT phường Hồng Hà","2025-07-24 00:00:00","Điểm Trạm Y tế Phúc Xá","84 Nghĩa Dũng, phường Hồng Hà, TP Hà Nội","Vũ Thị Hoà","2438238001.0","1","null","null","null"
"232","01/TB-TYT của TYT phường Hồng Hà","2025-07-24 00:00:00","Điểm Trạm Y tế Phúc Tân","275 Phúc Tân, phường Hồng Hà, TP Hà Nội","Trần Quyết Chiến","2439323583.0","1","null","null","null"
"232","01/TB-TYT của TYT phường Hồng Hà","2025-07-24 00:00:00","Điểm TrạmY tế Chương Dương","101 Vọng Hà, phường Hồng Hà, TP Hà Nội","Nguyễn Thị Hồng Hà","2438258427.0","1","null","null","null"
"232","01/TB-TYT của TYT phường Hồng Hà","2025-07-24 00:00:00","Điểm Trạm Y tế Tứ Liên","Số 68 Âu Cơ, phường Hồng Hà, TP Hà Nội","Nguyễn Quang Trung","2438291887.0","1","null","null","null"
"233","08/TB-TYT của TYT phường Kiến Hưng","22/7/2025.","Điểm y tế Kiến Hưng","Số 52, Tổ 8, Phường Kiến Hưng, thành phố Hà Nội","Nguyễn Thị Sáu","984379218.0","1","null","null","null"
"233","08/TB-TYT của TYT phường Kiến Hưng","22/7/2025.","Điểm y tế Phú La","Tổ 6, Phú La, Phường Kiến Hưng, thành phố Hà Nội","Vũ Xuân Tình","904703034.0","1","null","null","null"
"234","05/TB-TYT của TYT xã Liên Minh","16/7/2025.","Điểm Trạm Y tế xã Liên Minh","Số 1- Đường Thọ Xuân - Xã Liên Minh - Tp Hà Nội","Cao Văn Nghị","976571045.0","1","null","null","null"
"234","05/TB-TYT của TYT xã Liên Minh","16/7/2025.","Điểm Y tế Phương Đình","Đường 417- Địch Trung- Xã Liên Minh - Tp Hà Nội","Nguyễn Thị Thanh Loan","389356894.0","1","null","null","null"
"234","05/TB-TYT của TYT xã Liên Minh","16/7/2025.","Điểm Y tế Thọ An","Số 16 - Đường trung tâm- cụm 4- Xã Liên Minh - Tp Hà Nội","Trần Thị Thanh Huyền","987313729.0","1","null","null","null"
"234","05/TB-TYT của TYT xã Liên Minh","16/7/2025.","Điểm Y tế Trung Châu","Số 29- Đường 417 - Thôn 4 - Xã Liên Minh - Tp Hà Nội","Trần Thị Hiển","977581924.0","1","null","null","null"
"235","03/TB-TYT của TYT xã Mê Linh","23/7/2025.","Điểm y tế Hạ Lôi","Thôn 2, Mê Linh, Hà Nội","Trần Thị Ngọc Anh","976566791.0","1","null","null","null"
"235","03/TB-TYT của TYT xã Mê Linh","23/7/2025.","Điểm y tế Văn Khê","Thôn Khê Ngoại, Mê Linh, Hà Nội","Lê Thị Luyến","989796552.0","1","null","null","null"
"235","03/TB-TYT của TYT xã Mê Linh","23/7/2025.","Điểm y tế Tráng Việt","Thôn Tráng Việt, Mê Linh, Hà Nội","Nguyễn Thị Hà","978979105.0","1","null","null","null"
"235","03/TB-TYT của TYT xã Mê Linh","23/7/2025.","Điểm y tế Tiền Phong","Phố Yên, Mê Linh, Hà Nội","Phạm Văn Quang","977880989.0","1","null","null","null"
"235","03/TB-TYT của TYT xã Mê Linh","23/7/2025.","Phòng tiêm chủng - Trạm y tế xã Mê Linh","Phố Yên, Mê Linh, Hà Nội","Nguyễn Văn Quang","982878630.0","1","null","null","null"
"236","05/TB-TYT của TYT xã Mỹ Đức","15/7/2025.","Điểm y tế Phù Lưu Tế","Số 339, Thôn 3, xã Mỹ Đức, TP. Hà Nội","Nguyễn Danh Đông","989178141.0","1","null","null","null"
"236","05/TB-TYT của TYT xã Mỹ Đức","15/7/2025.","Điểm y tế Đại Hưng","Thôn Trinh Tiết, xã Mỹ Đức, Tp. Hà Nội","Nguyễn Thị Thành","976869954.0","1","null","null","null"
"236","05/TB-TYT của TYT xã Mỹ Đức","15/7/2025.","Điểm y tế Hợp Thanh","Số 186, Đường Sạt Nỏ, Thôn Vài, xã Mỹ Đức, Tp. Hà Nội","Nguyễn Hoàng Huyên","974707495.0","1","null","null","null"
"236","05/TB-TYT của TYT xã Mỹ Đức","15/7/2025.","Điểm y tế An Phú","Thôn Phú Thanh, xã Mỹ Đức, Tp. Hà Nội","Nguyễn Văn Bằng","986961463.0","1","null","null","null"
"237","06/TB-TYT của TYT xã Mỹ Đức","15/7/2025.","Trạm Y tế xã Mỹ Đức","Số 194, đường Đại Nghĩa, xã Mỹ Đức, TP. Hà Nội.","Đinh Ngọc Lương","985183075.0","1","null","null","null"
"238","16/TB-TYT của TYT phường Ô Chợ Dừa","26/7/2025.","Trạm y tế Phường Ô Chợ Dừa","Ngõ 307 Phố Giảng Võ, phường Ô Chợ Dừa, TP. Hà Nội","Ngô Xuân Tú","902180545.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Trạm Y tế xã Phúc Lộc","Thôn Vân Phúc 4 – Xã Phúc Lộc – Thành Phố Hà Nội","Bác sỹ Đỗ Văn Siêng","914823313.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Vân Phúc","Thôn Vân Phúc 3- Xã Phúc Lộc – Thành Phố Hà Nội","Y sỹ Dương Thế Vinh","382971678.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Vân Nam","Thôn Nam Hà 4– Xã Phúc Lộc – Thành Phố Hà Nội","Y sỹ Hoàng Mai Ngạn","359867490.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Xuân Đình","Thôn Cựu Lục – Xã Phúc Lộc – Thành Phố Hà Nội","Cử nhân YTCC Ngô Thị Kim Tuyến","974915026.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Võng Xuyên","Thôn Bảo Lộc 1 – Xã Phúc Lộc – Thành Phố Hà Nội","Bác sỹ Nguyễn Thị Nga","976228056.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Sen Phương","Thôn Sen Phương 3– Xã Phúc Lộc – Thành Phố Hà Nội","Bác sỹ dự phòng Lê Hữu Thắng","387995448.0","1","null","null","null"
"239","04/TB-TYT của TYT xã Phúc Lộc","23/7/2025.","Điểm Y tế Vân Hà","Thôn Bãi Đồn - Xã Phúc Lộc – Thành Phố Hà Nội","Y sỹ Doãn Thị Xuyến","976855117.0","1","null","null","null"
"240","02/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Trạm Y tế xã Phúc Sơn","Thôn Vĩnh Lạc - xã Phúc Sơn - TP Hà Nội","Phùng Văn Hai","912411322.0","1","null","null","null"
"241","03/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Điểm y tế Phúc Lâm","Thôn Phúc Lâm Hạ - xã Phúc Sơn","Y sỹ Dương Thị Liên","975766079.0","1","null","null","null"
"241","03/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Điểm y tế Đồng Tâm","Thôn Hoành 2 - xã Phúc Sơn","Y sỹ Nguyễn Thanh Lịch","983766300.0","1","null","null","null"
"241","03/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Điểm y tế Thượng Lâm","Thôn Thượng - xã Phúc Sơn","Y sỹ Nguyễn Thị Hồng Hạnh","987704785.0","1","null","null","null"
"241","03/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Điểm y tế Tuy Lai","Thôn Quýt - xã Phúc Sơn","Bác sỹ Trịnh Đắc Chung","987953399.0","1","null","null","null"
"241","03/TB-TYT của TYT xã Phúc Sơn","22/7/2025.","Điểm y tế Bột Xuyên","Thôn Phú Hữu - xã Phúc Sơn","Bác sỹ Trần Xuân Bang","988590981.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Trạm Y tế xã Phúc Thọ","136 đường Lạc Trị - thôn 3 - xã Phúc Thọ - thành phố Hà Nội","Đỗ Thị Hiền","366536408.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Y tế Tích Giang","Số 10 Thôn Tích Giang 3 -xã Phúc Thọ - thành phố Hà Nội","Nguyễn Thị Yên","973103280.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Y tế Thọ Lộc","Thôn Thượng Lộc - xã Phúc Thọ - thành phố Hà Nội","Tạ Thị Lý","976945868.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Y tế Trạch Mỹ Lộc","Đườn 418 - thôn Thuần Mỹ - xã Phúc Thọ - thành phố Hà Nội","Khuất Thị Hồng Nhung","365216045.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Y tế Phúc Hoà","Thôn 1 - Thanh phần - xã Phúc Thọ - thành phố Hà Nội","Hà Thị Thùy Ngân","987916695.0","1","null","null","null"
"242","03/TB-TYT của TYT xã Phúc Thọ","23/7/2025.","Điểm Y tế Phụng Thượng","Phụng Thượng 4 - xã Phúc Thọ - thành phố Hà Nội","Hoàng Thị Hạnh","976828409.0","1","null","null","null"
