SoTT;NamPhatHanh;So;DangTaiLieu;NgonNguTaiLieu;TenTaiLieu;TacGia;TenNguonTrich;DuLieuNguonTrich;DacTrungSoLuong;PhuChuTaiLieu;ISSNISBN;DeMuc;TuKhoa;TuKhoaPhu;TuKhoaChuaKiemSoat;TuKhoaDiaLy;TuKhoaSinhHoc;TomTatTiengViet;TomTatTiengAnh;KyHieuKhoa;NoiDung;NhanDeDichTAnh;NguonTrichLaKyYeu,TapChi;DiemTapChi;LinhVucKHCN;TuKhoaTAnh;TomTatTAnh
1398;2016;7;BB;Vie;Món ăn truyền thống của người M'nông ở thôn Đăk Liên, xã Đăk Nhau, huyện Bù Đăng, tỉnh Bình Phước: tiếp cận dưới góc độ nhân học sinh thái về biến đổi văn hóa;Huỳnh Ngọc Thu;Khoa học xã hội TP Hồ Chí Minh;;51-60;;1859-0136;13.99;"M'nông; Nhân học sinh thái; Tiếp biến văn hóa; Biến đổi văn hóa; Bình Phước";;;;;Bài viết dựa trên một số vĩ dụ trong văn hóa ăm thực của người M'nông để nói về quan điểm của nhân học sinh thái. Bằng nguồn tư liệu điền dã sâu tại cộng đồng người M'nông ở thôn Đăk Liên, xã Đăk Nhau, huyện Bù Đăng, tỉnh Bình Phước, do giảng viên cùng với sinh viên khoa Nhân học (trường Đại học Khoa học xã hội và Nhân văn - Đại học Quốc gia TP Hồ Chí Minh) thực hiện trong 2 năm (2012-2013), bài viết phân tích về sự thích nghi trong văn hóa của người M'nông với môi trường sinh thái, cũng như đề cập các yếu tố tác động từ bên ngoài như tiếp biến văn hóa, chính sách phát triển của nhà nước nhằm mục đích mình chứng môi trường sinh thái không phải là nhân tố cốt lõi tác động đến sự biết đổi văn hóa của các tộc người thiểu số ở Việt Nam nói chung và tộc người M'nông ở Bình Phước nói riêng.;;TTKHCNQG, CVv212;;;;;;;
1399;2016;7;BB;Vie;Mộ táng trong di tích Hòa Diêm (Cam Ranh, Khánh Hòa);Đặng Ngọc Kính;Khoa học xã hội TP Hồ Chí Minh;;61-74;;1859-0136;13.99;"Mộ táng; Mộ chum; Tiếp xúc văn hóa; Thương mại đường biển; Di tích; Hòa Diêm; Khánh Hòa";;;;;Di tích Hòa Diêm có niên đại từ 800BC đến 250Ad. Qua 4 lần khai quật có 81 mộ táng với 3 loại hình: mộ huyệt đất, mộ vò và mộ chum được phát hiện. Tư liệu mộ táng cho thấy dưới tác động của những tiếp xúc văn hóa qua mạng lưới thương mại biển, có những thay đổi về táng thức, nhân chủng, số lượng và loại hình của tùy táng. ở táng thức là sự xuất hiện phổ biến hơn của các mộ chum bên cạnh truyền thống mộ đất. Sự tăng cường quan hệ tran đổi cũng thể hiện qua số lượng và nguồn gốc của đồ tùy táng: trong khi các mộ sớm hầu như không có tùy táng, thì nhiều mộ muộn (mộ chum) có chôn theo gốm, công cụ sắt và hạt chuỗi, với nguồn gốc từ Đông Nam á hải đảo, ấn Độ và Trung Hoa. Ngoài ra, với hình thái sọ của mộ đất gần với Australo-Melanesian và Hoabinhian, cư dân cổ Đông Nam á có thể là nhóm chiếm cư trước. Trong khi nhóm mộ chum thì gần với nhóm Đông Nam á và Đông Nam á hiện đại, có thể di cư đến sau.;;TTKHCNQG, CVv212;;;;;;;
1400;2016;23;BB;Vie;Những nhân tố ảnh hưởng đến ý định khởi nghiệp của sinh viên trường Đại học Trà Vinh;"Nguyễn Thanh Hùng; Nguyễn Kim Pha";Khoa học (Đại học Trà Vinh);;1-9;;1859-4816;06.99;"Khởi nghiệp; Khởi sự kinh doanh; ý định khởi nghiệp; Sinh viên; Đại học Trà Vinh";;;;;Nghiên cứu nhằm xác định các nhân tố ảnh hưởng đến ý định khởi sự doanh nghiệp của sinh viên trường Đại học Trà Vinh. Mẫu nghiên cứu được khảo sát từ 405 sinh viên bậc Đại học ở các ngành học khác nhau. Nghiên cứu dựa trân phương pháp thống kê mô tả và mô hình cân bằng cấu trúc tuyến tính. Kết quả nghiên cứu cho thấy những nhân tố ảnh hưởng dương đến ý định khởi nghiệp của sinh viên thông qua nhân tố sự tự tin về tính khả thi trong khởi nghiệp gồm: hoạt động giảng dạy, hoạt động ngoại khóa, ý kiến của những người xung quanh và sở thích kinh doanh ảnh hưởng trực tiếp đến sự tự tin. Sự tự tin về tính khả thi trong khởi nghiệp càng cao thì ý định khởi nghiệp của sinh viên càng tăng.;;TTKHCNQG, CVv384;;;;;;;
1401;2016;23;BB;Vie;Vận dụng ma trận space và QSPM để xây dựng và lựa chọn chiến lược kinh doanh: trường hợp chiến lược kinh doanh của công ty cổ phần thủy sản Minh Phú Hậu Giang đến năm 2020;"Le Bảo Toàn; Bùi Văn Trịnh; Huỳnh Châu Khánh";Khoa học (Đại học Trà Vinh);;10-20;;1859-4816;06.99;"Xây dựng chiến lược; Chiến lược kinh doanh; SPACE; QSPM; Minh Phú Hậu Giang";;;;;"Phân tích thực trạng hoạt động kinh doanh của Công ty cổ phần Thủy sản Minh Phú Hậu Giang từ năm 2013 đến 2015. Dữ liệu nghiên cứu là các báo cáo tài chính và và các báo cáo khác của công ty trong giai đoạn từ năm 2013 đến 2015. Số liệu sơ cấp được thu thập từ việc phỏng vấn 17 chuyên gia là những cán bộ lãnh đạo có kinh nghiệm làm việc lâu năm tại công ty và các công ty khác trong ngành thủy sản. Trên cơ sở đó, đề tài tập trung phân tích môi trường bên trong để tìm ra những điểm mạnh, điểm yếu bên trong công ty và môi trường bên ngoài để xác định cơ hội và thách thức ảnh hưởng đến hoạt động kinh doanh của công ty. Nghiên cứu sử dụng phương pháp phân tích ma trận vị thế chiến lược và đánh giá hoạt động (SPACE) trong giai đoạn kết hợp, dựa trên thông tin từ các số liệu sơ cấp và thứ cấp nhằm xây dựng các chiến lược khả thi. Kết quả, thông qua ma trận hoạch định chiến lược có thể định lượng (QSPM) để quyết định những chiến lược tốt nhất ưu tiên thực hiện cho công ty đến năm 2020 là: Chiến lược thâm nhập thị trường; chiến lược hội nhập về phía sau; chiến lược phát triển thị trường; chiến lược tái cấu trúc công ty.";;TTKHCNQG, CVv384;;;;;;;
1402;2016;23;BB;Vie;Nhân tố ảnh hưởng đến khát vọng nghề của học sinh trung học phổ thông trường công lập trên địa bàn thành phố Cần Thơ;Hoàng Thị Sông Lam;Khoa học (Đại học Trà Vinh);;21-27;;1859-4816;14.99;"Nghề nghiệp; Khát vọng nghề nghiệp; Sự tự xác định; Nhận thức xã hội; Học sinh; Cần Thơ";;;;;"Kết quả phân tích 270 bảng câu hỏi được thực hiện năm 2014 cho thấy 5 nhân tố ảnh hưởng đến khát vọng nghề nghiệp của học sinh: Sự cải cách giáo dục; sự nhận thức xã hội nghề nghiệp; sự tự xác định; sự nhận thức xã hội; mục tiêu nghề nghiệp. Kết quả phân tích cũng cho thấy khát vọng nghề nghiệp bị ảnh hưởng bởi sự thụ động trong quyết định nhiều hơn là sự chủ động. Và động cơ bên ngoài thông qua những tác động tích cực từ bên ngoài sẽ trở thành động cơ bên trong hay động cơ nội tại được hình thành. Kết quả trên góp phần quan trọng vào sự hiểu biết nghề và khát vọng nghề nghiệp của học sinh trong tương lai.";;TTKHCNQG, CVv384;;;;;;;
1403;2016;23;BB;Vie;Phát huy tích cực học tập của sinh viên trong dạy học các môn tâm lý học, giáo dục học đại cương;Nguyễn Thị Ngọc Xuân;Khoa học (Đại học Trà Vinh);;28-32;;1859-4816;14.99;"Học tập; Sinh viên; Tâm lý học; Giáo dục học";;;;;Tích cực học tập của sinh viên là yếu tố ảnh hưởng trực tiếp đến kết quả học tập và giảng dạy các môn Tâm lý học, Giáo dục học đại cương. Vì vậy, bài viết trình bày thực trạng và các yếu tố ảnh hưởng đến tính tích cực học tập của sinh viên trong dạy học các môn Tâm lý học, Giáo dục học đại cương. Từ đó, chúng tôi đề xuất một số biện pháp góp phần phát huy tích cực học tập sinh viên Trường Đại học Trà Vinh.;;TTKHCNQG, CVv384;;;;;;;
1404;2016;23;BB;Vie;Một số kinh nghiệm xây dựng và phát triển chương trình đào tạo kỹ sư công nghệ thông tin theo phương pháp tiếp cận CDIO;"Võ Phước Hưng; Đoàn Phước Miền; Phạm Thị Trúc Mai";Khoa học (Đại học Trà Vinh);;33-41;;1859-4816;50.99;"CDIO; Chuẩn đầu ra; Đào tạo; Công nghệ thông tin";;;;;"Chương trình đào tạo xây dựng theo phương pháp tiếp cận CDIO là một cải cách trong việc phát triển chương trình giáo dục kỹ thuật; hứa hẹn sự hội tụ giữa kiến thức và kỹ năng, giữa lý thuyết và thực hành. Một chương trình được tập trung phát triển trên bốn chuẩn đầu ra chung: kiến thức và lập luận ngành; kỹ năng cá nhân, nghề nghiệp và phẩm chất; kỹ năng giao tiếp và làm việc nhóm; hình thành ý tưởng, thiết kế, triển khai và vận hành hệ thống trong bối cảnh doanh nghiệp, xã hội và môi trường. Bài viết trình bày một cách tổng quát các bước thiết kế và phát triển một chương trình đào tạo theo phương pháp tiếp cận CDIO thông qua kinh nghiệm thực tế trong việc thiết kế chương trình đào tạo kỹ sư Công nghệ thông tin tại Khoa Kỹ thuật và Công nghệ, trường Đại học Trà Vinh.";;TTKHCNQG, CVv384;;;;;;;
1405;2016;23;BB;Vie;Thiết kế, chế tạo máy băm chuối liên hợp phục vụ chăn nuôi;"Huỳnh Thanh Bành; Phan Tấn Tài";Khoa học (Đại học Trà Vinh);;42-47;;1859-4816;50.99;"Máy cắt; Máy băm; Cây chuối; Lục bình";;;;;Giới thiệu phương pháp thiết kế, chế tạo máy cắt băm chuối liên hợp phục vụ chăn nuôi và đánh giá năng suất hoạt động của máy so với phương pháp thủ công hiện nay. Qua kết quả đánh giá, máy cắt băm chuối hoạt động với tốc độ nhanh, ổn định, tiện lợi, đảm bảo tính đồng đều và hiệu quả đạt trên 40 lần so với phương pháp thủ công. Ngoài cây chuối, máy còn có thể sử dụng được các nguồn nguyên liệu khác như cỏ, lục bình, rau muống... Chế tạp máy thành công có thể đáp ứng nhu cầu chăn nuôi cho các trang trại và hộ gia đình, góp phần vào sự phát triển chung của ngành chăn nuôi cũng như việc phát triển kinh tế địa phương.;;TTKHCNQG, CVv384;;;;;;;
1406;2016;23;BB;Vie;Nghiên cứu, chế tạo bộ điều khiển hỗ trợ quá trình phanh phụ trên xe ô tô tập lái sử dụng hộp số tự động và bướm ga điều khiển điện tử;Lê Quang Kính;Khoa học (Đại học Trà Vinh);;48-53;;1859-4816;50.99;"Bướm ga điện tử (ETCS-i); Chế độ cầm chừng; Bàn đạp phanh; Bàn đạp ga; Phanh phụ; Hộp số tự động";;;;;So sánh quãng đường phanh của xe ô tô tập lái sử dụng hộp số tự động và điều khiển bướm ga bằng điện tử khi phanh khẩn cấp bằng phanh phụ. Kết quả thử nghiệm theo Quy chuẩn kỹ thuật quốc gia về chất lượng an toàn kỹ thuật vad bảo vệ môi trường đối với ô tô QCVN: 09/2011/BGTVT cho thấy hệ thống phanh phụ có bộ điều khiển hỗ trợ quá trình phanh phụ làm tăng hiệu quả phanh phụ (giảm quãng đường phanh, giảm 17-13,4=3,6m, với vận tốc bắt đầu phanh là 50km/h, xe đầy tải) khi gặp tình huống nguy hiểm, học viên giữ chân ga và giáo viên sử dụng bàn đạp phanh phụ để phanh.;;TTKHCNQG, CVv384;;;;;;;
1407;2016;23;BB;Vie;Giải pháp thiết kế và lập trình gia công các biên dạng đặc biệt bằng công cụ CAD/CAM;Trần Ngọc Hải;Khoa học (Đại học Trà Vinh);;54-58;;1859-4816;55.99;"Thiết kế; Biên dạng; Lập trình NC; Gia công";;;;;Gia công các chi tiết dạng cam phẳng, các bánh răng đặc biệt... có biên dạng là đường Acsimet, hipôxiclôit, êpixiclôit... theo phương pháp truyền thống thường rất khó khăn, biên dạng chi tiết có độ chính xác không cao. Bài báo trình bày một phương pháp gia công, theo đó trước hết phải thiết lập phương trình mô tả biên dạng chi tiết, sau đó sử dụng các phần mềm SolidWorks, Mastercam để vẽ, lập trình, gia công trên máy CNC. Kết quả thu được chi tiết có độ chính xác cao. Đây là phương pháp tiên tiến, đúng với công nghệ sản xuất hiện đại.;;TTKHCNQG, CVv384;;;;;;;
1408;2016;23;BB;Vie;ảnh hưởng của các mức độ cúc dại thay thế rau lang lên tăng trọng và năng suất thịt của thỏ lai;"Lý Thị Thu Lan; Trương Hồng Phấn; Ngô Chấn Toàn";Khoa học (Đại học Trà Vinh);;59-62;;1859-4816;68.39.37;"Thỏ lai; Rau lang; Cúc dại; Tăng trọng; Năng suất";;;;;Một thí nghiệm nuôi dưỡng được tiến hành nhằm đánh giá khả năng sinh trưởng và năng suất thịt của thỏ lai nuôi bằng khẩu phần cúc dại (CD) thay thế rau lang (RL). Thí nghiệm được bố trí theo kiểu khối hoàn toàn ngẫu nhiên với 4 nghiệm thức, 4 khối và mỗi đơn vị thí nghiệm gồm 2 con (1 đực và 1 cái). Các nghiệm thức thí nghiệm khác nhau ở mức độ thay thế CD cho RL lần lượt là 0 phần trăm, 35 phần trăm, 65 phần trăm và 95 phần trăm. Các thỏ thí nghiệm được tiêm phòng, chăm sóc nuôi dưỡng và được nuôi nhốt giống nhau. Kết thúc thí nghiệm thỏ được nỏ khảo sát để xác định chỉ tiêu về năng suất thịt. Kết quả cho thấy lượng DM, CP, Me tiêu thụ hằng ngày tăng trọng ở nghiệm thức thay thế 35 phần trăm RL bằng CD cao hơn các nghiệm thức khác (P0,05). Tuy nhiên, chỉ tiêu thân thịt thỏ không khác nhau ở các mức độ thay thế.;;TTKHCNQG, CVv384;;;;;;;
1409;2016;23;BB;Vie;Thực nghiệm chuyển đổi giới tính cá rô đồng (Anabas testudineus) toàn cái tại Trà Vinh;Nguyễn Thị Yến Linh;Khoa học (Đại học Trà Vinh);;63-67;;1859-4816;68.39.45;"Cá rô đồng; Anabas testudineus; Chuyển đổi giới tính; Nuôi trồng thủy sản; Trà Vinh";;;;;Nghiên cứu được thực hiện nhằm tạo ra đàn cá rô đồng ở thế hệ F1 mang nhiễm sắc thể giới tính XX (đực giả) để biệt hóa thành cá cái qua kỹ thuật sinh sản bình thường giữa cá cái XX với cá đực XX (đã được đực hóa bằng hormone MT - Methyl Testosterone) để cho thế hệ F2 toàn những các thể mang nhiễm sắc thể XX. Nghiên cứu được tiến hành bằng cách ngâm cá bột 14 ngày tuổi (sau khi nở) vào dung dịch hormone 17 alphamethyltestosterone ở nồng độ 3,5 ppm và 1,8 ppm trong thời gian 4 giờ. Kết quả cho thấy ở mức nồng độ 3,5 pm MT sau thời gian ngâm 4 giờ đã tạo được 96,67+-1,11 phần trăm cá đực. Kết quả kiểm tra 20 đàn con F2 đã xác định được 6 cá đực F1 cho tỉ lệ cá cái đạt 82,14 phần trăm đến 96 phần trăm.;;TTKHCNQG, CVv384;;;;;;;
1410;2016;23;BB;Vie;Khảo sát hiện trạng các nguồn vốn sinh kế của cộng đồng thủy sản tại vườn quốc gia Mũi Cà Mau, tỉnh Cà Mau;"Nguyễn Thị Kim Quyên; Lê Thị Phương Trúc";Khoa học (Đại học Trà Vinh);;68-76;;1859-4816;69.99;"Nguồn vốn; Sinh kế bền vững; Cộng đồng thủy sản; Vườn quốc gia Mũi Cà Mau; Cà Mau";;;;;Nghiên cứu được tiến hành tại Vườn Quốc gia Mũi Cà Mau nhằm phân tích hiện trạng các nguồn vốn sinh kế của các nhóm cộng đồng thủy sản (N=126). Nguồn vốn tự nhiên bao gồm đất rừng và nguồn lợi thủy sản được cộng đồng sử dụng khá hiệu quả. Tuy nhân lực dòi dào và có kinh nghiệm (9,60+-4,57 năm) nhưng có 30,3 phần trăm hộ khai thác hải sản mù chữ. Khả năng tiếp cận nguồn vốn rất hạn chế nhất là nhóm nuôi hàu, nuôi nghêu trong khi 66,7 phần trăm hộ khai thác phải vay nóng cho sản xuất. Các phương tiện vật chất và nhà ở có cải thiện nhưng còn 61,7 phần trăm có mức độ kiên cố thấp. Nguồn vốn xã hội khá hiệu quả nhưng cơ sở hạ tầng và truyền thông cần được quan tâm hơn. Nhìn chung, cộng đồng nuôi hàu và nuôi tôm có sinh kế khá bền vững (256,6+-92,58 và 85,1+-38,3 triệu đồng/ hộ/ năm), nuôi nghêu mang nhiều rủi ro còn khai thác rất kém bền vững (không có khoản tiết kiệm nào). Mức độ đa dạng sinh kế của cộng đồng thấp với 6,29-88,2 phần trăm thu nhập từ một ngành chính. Các chiến lược sinh kế bền vững được chú trọng bao gồm dạy nghề, đa dạng đối tượng nuôi nhằm tạo đa dạng sinh kế và những hỗ trợ về mặt chính sách và cơ chế quản lý.;;TTKHCNQG, CVv384;;;;;;;
1411;2016;5;BB;Vie;ống nano carbon - vật liệu anot tiềm năng nhất chi sự cải thiện pin ion liti;Vũ Đình Huy;Khoa học (Đại học Quốc tế Hồng Bàng);;1-8;;2354-0613;30.19.57;"Vật liệu anot; ống nano carbon; Pin ion liti; Cấu trúc nano";;;;;Đánh giá sự tiến bộ gần đây của việc sử dụng các ống nano carbon như thành phần vật liệu anot nhằm cải thiện tính chất của pin ion liti.;;TTKHCNQG, CVv395;;;;;;;
1412;2016;5;BB;Vie;Quy luật về mối tương quan giữa chứng khoán và thị trường;Nguyễn Trường Sơn;Khoa học (Đại học Quốc tế Hồng Bàng);;9-17;;2354-0613;06.99;"Chứng khoán; Thị trường; Lợi nhuận; Môi tương quan";;;;;Giới thiệu về quy luật diễn tả mối tương quan giữa các thông số thống kê đặc trừng của chứng khoán hoặc danh mục đầu tư (như lợi nhuận trung bình và độ rủi ro) với một thị trường định trước nào đó xét trong một khoảng thời gian xác định. Dựa vào quy luật này chúng ta có thể xác định hệ số tương quan của chứng khoán hoặc sanh mục đầu tư đối với thị trường và ngoài ra cũng dựa vào quy luật này chúng ta giải thích được quan niệm về sự tương quan giữa lợi nhuận và rủi ro khi cho rằng trên thị trường chứng khoán, lợi nhuận càng cao thì rủi ro càng cao, qua đó đề ra được phương pháp chọn lựa chứng khoán dựa theo tiêu chí của tỉ số giữa lợi nhuận kỳ vọng và rủi ro.;;TTKHCNQG, CVv395;;;;;;;
1413;2016;5;BB;Vie;Chính sách điều tiết giá một số mặt hàng chủ yếu nhà nước tại Việt Nam;Lê Hoàng Vinh;Khoa học (Đại học Quốc tế Hồng Bàng);;18-26;;2354-0613;06.99;"Điều tiết giá; Giá xăng dầu; Giá điện; Giá dịch vụ y tế; Việt Nam";;;;;"Nghiên cứu chính sách điều tiết giá một số mặt hàng chủ yếu của nhà nước Việt Nam trong giai đoạn 2000-2015. Kết quả nghiên cứu cho thấy chính sách điều tiết giá đã có những thay đổi tích cực, theo hướng cơ chế thị trường đảm bảo tính đúng và tính đủ chi phí, tuy nhiên chính sách này cũng còn tồn tại một số mẫu thuẫn và từ đó bài viết đưa ra 6 gợi ý cho hoạt động điều tiết giá như sau: điều tiết giá phù hợp với từng giai đoạn phát triển kinh tế - xã hội; bám sát thị trường; hạn chế sử dụng quỹ bình ổn giá; đảm bảo tính cạnh tranh của thị trường; điều tiết dựa vào kết quả dự báo và điều kiện phát triển kinh tế xã hội; điều tiết giá cần được nghiên cứu và thảo luận bởi đầy đủ các bên liên quan, kết hợp thực hiện kiểm tra, giám sát và đánh giá độc lập.";;TTKHCNQG, CVv395;;;;;;;
1414;2016;5;BB;Vie;Nghiên cứu một số đặc điểm sinh học sinh sản và thăm dò sinh sản nhân tạo cá hổ sọc nhỏ (Datnioides undecimradiatus) ở Thành phố Hồ Chí Minh;"Nguyễn Thị Nga; Phạm Văn Khánh; Nguyễn Văn Hiệp; Trịnh Thị Lan Chi; Nguyễn Tuấn Anh; Phan Xuân Thịnh";Khoa học (Đại học Quốc tế Hồng Bàng);;27-34;;2354-0613;69.09.21;"Cá hổ sọc nhỏ; Sinh sản nhân tạo; Nuôi thuần dưỡng; Nuôi trồng thủy sản; TP Hồ Chí Minh";;;;;Cá Hổ sọc nhỏ (Datnioides undecimradiatus) là một trong những loài cá hổ nước ngọt phân bố ở các nước vùng Đông Nam á như Thái Lan, Campuchia, Lào, việt Nam. Chúng đang rất được nhiều nước quan tâm và nuôi làm cá cảnh rất có giá trị. Cá thu thập từ tự nhiên được nuôi thuần dưỡng và nuôi vỗ thành thục trong bể xi măng. Đã nghiên cứu một số đặc điểm sinh học chung và sinh học sinh sản cá Hổ, kích cỡ cá thành thụ lần đầu với cá đực chiều dài 19,2 cm, khối lượng thân 190g. Cá cái chiều dài 21cm, khối lượng thân 220g. Mùa vụ thành thực từ tháng 8 đến tháng 4 năm sau. Tỷ lệ thành thục của cá cái đạt 20 phần trăm và 100 phần trăm ở các đực. Hệ số thành thực đạt cao nhất ở cá đực 0,82 phần trăm và cá cái 3,225 phần trăm. Sức sinh sản tuyệt đố của cá cái đạt trung bình 35.927 trứng (với khối lượng trung bình cá thể 726,3g). Đã thăm dò sinh sản nhân tạo cá THái hổ. Sử dụng kích dục tố HCG với tổng liều lượng 5.500UI/kg cá cái, có hiệu quả chuyển hóa buồng trứng và rụng trứng.;;TTKHCNQG, CVv395;;;;;;;
1415;2016;5;BB;Vie;Lựa chọn giống cây phù hợp trên vùng đất phèn mặn để xây dựng vườn thực vật làm tiêu bản cho sinh viên học tập, trong đó đặc biệt chú ý đến cây thuốc;"Nguyễn Thị Ngọc ẩn; Ngô Văn Tuấn";Khoa học (Đại học Quốc tế Hồng Bàng);;35-39;;2354-0613;14.99;"Vườn thực vật; Sinh viên; Học tập; Cây thuốc; Thực hành";;;;;ở các trường học, nhất là ở các trường đại học, hiện nay, luôn chú ý việc học đi đôi với hành, lý thuyết gắn với thực tiễn, ngoài phòng thí nghiệm, còn phải có cơ sở hạ tầng, đất đai thực nghiệm. ý thức được quan điểm trên, chúng tôi đã thực hiện một vườn tiêu bản thực nghiệm với các cây trồng là thực vật, đặc biệt là các cây thuốc có công dụng dược tính dùng để trị bệnh trong dân gian.;;TTKHCNQG, CVv395;;;;;;;
1416;2016;5;BB;Vie;Vai trò của giáo dục đào tạo và những nhân tố tác động đến phát triển nguồn nhân lực chất lượng cao ở nước ta thời kỳ hội nhập;"Thái Hữu Tuấn; Nguyễn Hồng Quý";Khoa học (Đại học Quốc tế Hồng Bàng);;40-49;;2354-0613;14.99;"Giáo dục đào tạo; Nguồn nhân lực chất lượng cao; Hội nhập; Việt Nam";;;;;Đào tạo nguồn nhân lực chất lượng cao là hoạt động tự giác có mục đích của các chủ thể giáo dục đào tạo, hoạt động này tác động một cách có hệ thống đến sự phát triển tinh thần, thế chất, nhân cách, phẩm chất và năng lực, trình độ chuyên môn nghề nghiệp, phương pháp, tác phong làm việc của nguồn nhân lực chất lượng cao, đáp ứng yêu cầu phát triển kinh tế xã hội đất nước. Giáo dục đào tạo có vị trí đặc biệt quan trọng, không thể thay thế, được nhiều quốc gia trên thế giới xác định là qốc sách hàng đầu. Bài viết đề cập vai trò, những nhân tố tác động và những yêu cầu trong việc đào tạo nguồn nhân lực chất lượng cao ở nước ta thời kỳ hội nhập.;;TTKHCNQG, CVv395;;;;;;;
1417;2016;5;BB;Vie;Xu hướng và triển vọng phát triển ngành tài chính tiêu dùng tại Việt Nam;"Trần Trọng Huy; Nguyễn Lưu Tuyền";Khoa học (Đại học Quốc tế Hồng Bàng);;50-55;;2354-0613;06.99;"Tín dụng tiêu dùng; Tài chính; ảnh hưởng; Việt Nam";;;;;Tín dụng tiêu dùng có vai trò quan trọng đối với sự phát triển kinh tế, xã hội, nâng cao chất lượng cuộc sống cho người dân. Tín dụng tiêu dùng rất phổ biến trên thế giới, nhưng tại Việt nam chỉ mới phát triển mạnh mẽ trong vài năm gần đây. Bên cạnh những thành công của ngành tài chính tiêu dùng trong thời gian qua, cũng không ít những tồn tại và bất cập ảnh hưởng đến sự ổn định và phát triển của nó. Xuất phát từ vấn đề đó, trong nghiên cứu này, chúng tôi đã tìm hiểu, phân tích thực trạng và có những nhận định về xu hướng và triển vọng phát triển của ngành tài chính tiêu dùng ở Việt Nam.;;TTKHCNQG, CVv395;;;;;;;
1418;2016;5;BB;Vie;Đô thị hóa thành phố Hồ Chí Minh từ sau năm 1975;Nguyễn Văn San;Khoa học (Đại học Quốc tế Hồng Bàng);;56-59;;2354-0613;67.25.03;"Đô thị hóa; Công nghiệp hóa; Người nhập cư; TP Hồ Chí Minh";;;;;Sau năm 1975, miền Nam hoàn toàn được giải phòng, bước vào thời kỹ xây dựng và phát triển kinh tế. Thực hiện nền kinh tế kế hoạch hóa xã hội chủ nghĩa. Từ thực trạng nền công nghiệp tăng chậm, nông nghiệp yếu kém, lương thực còn thiếu thốn, Thành phố Hồ Chí Minh đã có nhiều chủ trương và chính sách nhằm thúc đẩy tăng trưởng kinh tế. Từ năm 1986, cả nước thực hiện đường lối đổi mới, tiến hành công nghiệp hóa và hiện đại hóa đất nước, từ nền kinh tế kế hoạch hóa được chuyển đổi sang nền kinh tế thị trường. Thành phố Hồ Chí Minh đã tận dụng tốt đường lối đổi mới và trở thành trung tâm kinh tế lớn nhất cả nước, công nghiệp phát triển nhanh, vì vậy thu hút lượng người nhập cư ngày càng lớn, đặc biệt là các vùng ven ngoại thành dẫn đến quá trình đô thị hóa diễn ra nhanh.;;TTKHCNQG, CVv395;;;;;;;
1419;2016;5;BB;Vie;Thực trạng và giải pháp phát triển du lịch tại làng hoa kiểng Sa Đéc;"Dương Đức Minh; Nguyễn Quang Việt Ngân";Khoa học (Đại học Quốc tế Hồng Bàng);;60-69;;2354-0613;71.37;"Làng hoa kiểng; Du lịch; Sa Đéc; Đồng Tháp";;;;;Trên cơ sở thu thập và phân tích số liệu về thực trạng hoạt động của làng nghề hoa kiểng ở Sa Đéc, bài báo đã xác định những thuận lợi và trở ngại của địa phương trong việc khai thác các hoạt động du lịch. Từ đó, tác giả đưa ra các giải pháp cho những bước đi phù hợp của làng nghề trong việc phát triển các hoạt động du lịch tại địa phương.;;TTKHCNQG, CVv395;;;;;;;
1420;2016;5;BB;Vie;ảnh hưởng của cộng đồng Vatican II đến Thư chung 1980 Giáo hội Công giáo Việt Nam;Tạ Duy Linh;Khoa học (Đại học Quốc tế Hồng Bàng);;70-74;;2354-0613;21.99;"Thư chung 1980; Đường hướng mục vụ; Phúc âm giữa lòng dân tộc; Giáo hội Công giáo Việt Nam";;;;;"Lịch sử phát triển của mỗi quốc gia luôn vận động và đặt ra những nhiệm vụ mới cho các tổ chức chính trị, kinh tế, văn hóa - xã hội và tôn giáo. Năm 1975 là cột mốc lịch sử cho toàn bộ dân tộc Việt Nam, có rất nhiều mốc quan trọng, một trong dấu mốc đó phải kể đến Thư chung của Hội đồng Giám mục Việt Nam năm 1980. Văn kiện lịch sử này rất quan trọng không chỉ với Giáo hội mà còn có ý nghĩa xã hội to lớn khi đã khẳng định đường hướng mục vụ của Giáo hội Công giao Việt Nam: ""Sống phúc âm giữa lòng dân tộc để phục vụ hạnh phúc của đồng bào"". Đây là thông điệp được xem như một cẩm nang về cách hành xử Đạo và Đời của đồng bào Công giao Việt Nam. Tinh thần và hướng dẫn của Thư chung 1980 vẫn còn phát huy những giá trị tích cực cho đến hôm nay. Chính những đường hướng này đã cổ vũ mạnh mẽ cho sự đóng góp của đồng bào Công giao Việt Nam vào sự nghiệp dân giàu nước mạnh trong công cuộc xây dựng và bảo vệ Tổ quốc.";;TTKHCNQG, CVv395;;;;;;;
