_id,STT,Don vi quan ly,Ten don vi,Dia chi,So dien thoai,Email,Hieu truong,Loai hinh,Tong so nguoi,So Hieu truong,So Pho Hieu truong,So Giao vien,So Nhan vien,Tong so lop,Tong so hoc sinh,Lop 1,Hoc sinh lop 1,Lop 2,Hoc sinh lop 2,Lop 3,Hoc sinh lop 3,Lop 4,Hoc sinh lop 4,Lop 5,Hoc sinh lop 5
212,212,Xã Long Chữ,Trường Tiểu học và THCS Long Phước,Xã Long Chữ; Tỉnh Tây Ninh,c2longphuocbc.tayninh@moet.edu.vn,02763760708,,Công lập,19,,1,17,1,9,676,1,133,2,135,2,140,2,146,2,122
213,213,Xã Long Hựu,Trường Tiểu học Long Hựu Đông 1,Ấp Chợ; xã Long Hựu; tỉnh Tây Ninh,thlhd.longhuu@tayninh.gov.vn,02723884032,Nguyễn Văn Kiệt,Công lập,39,1,2,29,7,21,477,4,84,4,83,4,109,5,101,4,100
214,214,Xã Long Hựu,Trường Tiểu học Long Hựu Đông 2,Ấp Trung; xã Long Hựu; Tỉnh Tây Ninh,c1longhuudong2cd.longan@moet.edu.vn,02723884131,Huỳnh Văn Xưa,Công lập,31,1,2,23,5,15,569,3,133,3,96,3,129,3,104,3,107
215,215,Xã Long Hựu,Trường Tiểu học Long Hựu Tây,Ấp Tây; Long Hựu Tây; Cần Đước; Long An,,02723884130,Nguyễn Hoàng Đường,Công lập,32,1,1,24,6,19,420,4,95,3,79,4,80,4,100,4,66
216,216,Xã Long Thuận,Trường Tiểu học Long Giang,Xã Long Thuận; Tỉnh Tây Ninh,,,Võ Văn Liêm,Công lập,37,1,2,31,3,18,446,4,101,3,60,4,95,4,99,3,91
217,217,Xã Long Thuận,Trường Tiểu học Long Khánh,địa điểm tại ấp Long Châu; xã Long Thuận; tỉnh Tây Ninh,c1longkhanhbc.tayninh@moet.edu.vn,,Trần Công Đáng,Công lập,36,1,2,28,5,16,878,3,184,3,167,3,178,4,176,3,173
218,218,Xã Long Thuận,Trường Tiểu học Long Thuận,Long Thuận; Bến Cầu District; Xã Long Thuận; Tỉnh Tây Ninh,c1longthuanabc.tayninh@moet.edu.vn,02763876281,Nguyễn Minh Hoà,Công lập,55,1,2,48,4,28,961,6,206,6,192,6,193,5,187,5,183
219,219,Xã Lương Hòa,Trường Tiểu học Lương Hòa,Ấp 8; xã Lương Hoà; tỉnh Tây Ninh,c1luonghoabl.tayninh@moet.edu.vn,02723873181,Đỗ Thị Thủy,Công lập,41,1,2,34,4,30,686,6,149,6,125,6,133,6,140,6,139
220,220,Xã Lương Hòa,Trường Tiểu học và THCS Tân Bửu,Ấp 2; xã Lương Hoà; tỉnh Tây Ninh,c2tanbuubl.longan@moet.edu.vn,02723648614,,Công lập,25,,1,21,3,20,549,4,108,4,81,4,134,4,111,4,115
221,221,Xã Mộc Hóa,Trường Tiểu học Nguyễn Văn Dinh,Ấp Bình Phong Thạnh 1; xã Mộc Hóa; tỉnh Tây Ninh,c1nguyenvandinhmh.longan@moet.edu.vn,,Trần Thị Thuý Oanh,Công lập,40,1,2,34,3,21,576,4,125,3,101,5,108,4,135,5,107
222,222,Xã Mộc Hóa,Trường Tiểu học Tân Lập,Ấp 3; xã Tân Lập,thc1.mochoa@tayninh.gov.vn,02723968088,Trương Thanh Tuấn,Công lập,45,1,2,37,5,22,629,5,133,4,132,4,132,5,122,4,110
223,223,Xã Mỹ An,Trường Tiểu học Mỹ An,Ấp 3; xã Mỹ An,,02723599608,Lê Văn Đức Phúc,Công lập,38,1,2,31,4,19,549,4,136,4,98,4,105,4,104,3,106
224,224,Xã Mỹ An,Trường Tiểu học Mỹ Phú,Ấp 7,,02723822048,Phạm Văn Hoàng,Công lập,31,1,2,25,3,18,,4,225,3,192,4,205,3,207,4,197
225,225,Xã Mỹ Hạnh,Trường Tiểu học Huỳnh Văn Tạo,Ấp Nhơn Hòa 1; xã Mỹ Hạnh,,02723852018,Trần Thị Sen,Công lập,34,1,2,29,2,29,,6,314,6,257,6,242,6,212,5,203
226,226,Xã Mỹ Hạnh,Trường Tiểu học Nguyễn Thị Hạnh,Ấp Mới 1,c1nguyethihanhdh.longan@moet.edu.vn,02723849063,TRẦN TẤN BỬU,Công lập,40,1,1,35,3,29,,7,338,6,320,6,315,5,307,5,267
227,227,Xã Mỹ Hạnh,Trường Tiểu học Nguyễn Văn Dương,Ấp 3; xã Hòa Khánh Đông,,02723850756,Phạm Minh Tân,Công lập,44,1,2,40,1,35,,8,347,7,277,7,286,7,342,6,284
228,228,Xã Mỹ Hạnh,Trường Tiểu học và THCS Mỹ Hạnh Nam,Xã Mỹ Hạnh Nam,,,,Công lập,34,,1,33,,34,410,8,93,6,70,6,81,8,78,6,88
229,229,Xã Mỹ Lệ,Trường Tiểu học Long Sơn,Ấp 1; xã Mỹ Lệ; tỉnh Tây Ninh,thls.myle@tayninh.gov.vn,0789587172,Nguyễn Văn Út,Công lập,28,1,1,22,4,13,355,3,79,2,68,3,76,2,72,3,60
230,230,Xã Mỹ Lệ,Trường Tiểu học Nguyễn Văn Tiến,,,02723881643,Phạm Văn Út,Công lập,22,1,1,18,2,12,661,3,148,2,122,3,121,2,137,2,133
231,231,Xã Mỹ Lệ,Trường Tiểu học Rạch Đào,Ấp Rạch Đào; xã Mỹ Lệ; tỉnh Tây Ninh,thrd.myle@tayninh.gov.vn,0976163315,Nguyễn Đức Hùng,Công lập,37,1,1,29,6,21,585,5,142,4,114,4,114,4,94,4,121
232,232,Xã Mỹ Lệ,Trường Tiểu học Tân Trạch,Ấp 10,thtt.myle@tayninh.gov.vn,0838030676,Lê Thị Phương Mai,Công lập,33,1,1,27,4,19,674,4,132,4,129,4,126,3,139,4,148
233,233,Xã Mỹ Lộc,Trường Tiểu học Lộc Tiền,Tỉnh lộ 835 Ấp Lộc Tiền;xã Mỹ Lộc; tỉnh Tây Ninh,c1loctiencg.longan@moet.edu.vn,02723734363,NGUYỄN THỊ MỸ LỆ,Công lập,25,1,1,21,2,21,789,5,185,4,139,3,153,4,159,5,153
234,234,Xã Mỹ Lộc,Trường Tiểu học Mỹ lộc,Ấp Lộc Tiền Xã Mỹ Lộc; tỉnh Tây Ninh,c1myloccg.longan@moet.edu.vn,0987180439,Liêu Nguyễn Kim Ngân,Công lập,28,1,1,23,3,21,716,5,155,4,135,4,149,4,140,4,137
235,235,Xã Mỹ Lộc,Trường Tiểu học Phước Lâm,Ấp Phước Hưng 1; xã Mỹ Lộc; tỉnh Tây Ninh,c1phuoclamcg.longan@moet.edu.vn,0935698487,Huỳnh Văn Tuấn,Công lập,30,1,1,25,3,20,737,4,177,4,134,4,160,4,134,4,132
236,236,Xã Mỹ Lộc,Trường Tiểu Học Thuận Thành,ấp Thuận Đông,c1thuanthanhcg.longan@moet.edu.vn,0773790089,Trần Thị Kim Mầu,Công lập,32,1,1,24,6,21,342,5,59,4,63,4,67,4,77,4,76
237,237,Xã Mỹ Quý,Trường Tiểu học Mỹ Quý Đông,Ấp Chùm Mòi; Mỹ Quý; Tây Ninh,,02723856178,Vương Tấn Tác,Công lập,30,1,2,25,2,15,889,3,181,3,182,3,201,3,156,3,169
238,238,Xã Mỹ Quý,Trường Tiểu học Mỹ Quý Tây,Ấp 4; xã Mỹ Quý Tây; huyện Đức Huệ; tỉnh Long An,,02723856121,Lê Văn Lập,Công lập,45,1,2,42,,27,468,5,92,5,98,6,90,6,96,5,92
239,239,Xã Mỹ Quý,Trường Tiểu học Mỹ Thạnh Bắc,Ấp Giồng Trôm; xã Mỹ Quý; tỉnh Tây Ninh,,02723897650,Nguyễn Khắc Điệp,Công lập,27,1,1,24,1,15,352,3,66,3,67,3,61,3,81,3,77
240,240,Xã Mỹ Thạnh,Trường Tiểu học Bình An,Ấp Vàm Kinh; xã Bình An,,02723865493,Đặng Thành Trung,Công lập,22,1,1,19,1,12,651,2,107,2,142,2,144,3,139,3,119
241,241,Xã Mỹ Thạnh,Trường Tiểu học Mỹ Lạc,Ấp Bà Mía; xã Mỹ Lạc,,02723863511,Bùi Văn Nhựt,Công lập,43,1,2,35,5,23,488,4,110,5,85,5,80,5,107,4,106
242,242,Xã Mỹ Thạnh,Trường Tiểu học Mỹ Thạnh,Ấp 2; xã Mỹ Thạnh,c1mythanhtt.longan@moet.edu.vn,02723611314,Phạm Thị Tươi,Công lập,30,1,1,24,4,15,986,3,222,3,204,3,209,3,173,3,178
243,243,Xã Mỹ Yên,Trường Tiểu học Gò Đen,ấp Chợ,,02723870492,TRẦN TRUNG CHÁNH,Công lập,34,1,1,31,1,28,324,6,69,6,58,6,70,5,70,5,57
244,244,Xã Mỹ Yên,Trường Tiểu học Long Phước,Ấp Long Bình; xã Long Hiệp; huyện Bến Lức; tỉnh Long An,c1longphuocbl.longan@moet.edu.vn,0723870254,Nguyễn Anh Tuấn,Công lập,21,1,1,15,4,10,860,2,184,2,162,2,170,2,174,2,170
245,245,Xã Mỹ Yên,Trường Tiểu học Phước Lợi,Xã Mỹ Yên; Tỉnh Tây Ninh,,02723870560,Võ Hồng Quế,Công lập,32,1,1,26,4,23,,5,232,5,212,5,199,4,192,4,184
246,246,Xã Mỹ Yên,Trường Tiểu học và THCS Nguyễn Văn Hiển,Ấp 5 Mỹ Yên; xã Mỹ Yên; tỉnh Tây Ninh,c2nguyenvanhienbl.longan@moet.edu.vn,,,Công lập,29,,1,27,1,28,658,6,138,6,128,6,129,5,126,5,137
247,247,Xã Mỹ Yên,Trường Tiểu học và THCS Võ Công Tồn,Ấp Chánh; xã Mỹ Yên; tỉnh Tây Ninh,,,,Công lập,23,,1,22,,20,195,4,28,4,40,4,45,4,42,4,40
248,248,Xã Nhơn Hòa Lập,Trường Tiểu học Nhơn Hòa,Xã Nhơn Hòa Lập; Tỉnh Tây Ninh,,02723941025,Lê Thị Như Uyển,Công lập,20,1,1,16,2,10,592,2,99,2,101,2,132,2,111,2,149
249,249,Xã Nhơn Hòa Lập,Trường Tiểu học Tân Lập,Ấp Kênh Nhà thờ; Xã Nhơn Hòa Lập; Tỉnh Tây Ninh,c1tanlaptth.longan@moet.edu.vn,02723948533,Đặng Hữu Mẫn,Công lập,43,1,1,36,5,22,340,4,61,4,68,5,70,4,74,5,67
250,250,Xã Nhơn Hòa Lập,Trường Tiểu học và THCS Nhơn Hòa Lập,Ấp Nguyễn Tán,,0723948457,,Công lập,26,,1,23,2,15,397,3,94,3,68,3,78,3,74,3,83
251,251,Xã Nhơn Ninh,Trường Tiểu học Nhơn Ninh A,Ấp Tân Chánh B; xã Nhơn Ninh,c1nhonninhatt.longan@moet.edu.vn,02723939169,Hồ Văn Hùng,Công lập,29,1,1,23,4,15,220,3,49,3,29,3,50,3,47,3,45
252,252,Xã Nhơn Ninh,Trường Tiểu học Nhơn Ninh B,Ấp Phụng Thớt; xã Nhơn Ninh,c1nhonninhbtt.longan@moet.edu,02723815097,PHẠM NHƠN CƯỜNG,Công lập,24,1,1,19,3,11,509,2,98,2,109,2,98,3,98,2,106
253,253,Xã Nhơn Ninh,Trường Tiểu học Tân Ninh,Xã Nhơn Ninh; Tỉnh Tây Ninh,,02723815246,Lê Hùng Dũng,Công lập,39,1,2,32,4,20,353,4,52,4,70,4,66,4,79,4,86
254,254,Xã Nhơn Ninh,Trường Tiểu học Tân Thành,Ấp5 - xã Nhơn Ninh - tỉnh Tây Ninh,,02723815670,HUỲNH THỊ ÁNH THU,Công lập,37,1,1,31,4,18,660,3,134,4,134,3,138,4,115,4,139
255,255,Xã Nhựt Tảo,Trường Tiểu học Lạc Tấn,Xã Nhựt Tảo; Tỉnh Tây Ninh,c1lactan.tantru.longan@moet.edu.vn,02723889103,Đặng Thị Ái Uyên,Công lập,34,1,1,30,2,20,212,4,49,4,32,4,39,4,51,4,41
256,256,Xã Nhựt Tảo,Trường Tiểu học Mỹ Bình,Ấp Bình Tây; Xã Nhựt Tảo; tỉnh Tây Ninh,thmybinh.nhuttao@tayninh.gov.vn,02723591739,Lê Thị Ngọc Loan,Công lập,17,1,1,14,1,8,472,2,98,1,86,1,87,2,81,2,120
257,257,Xã Nhựt Tảo,Trường Tiểu học Nhựt Tảo,Ấp 2; xã Nhựt Tảo; tỉnh Tây Ninh,c1nhuttaott.longan@moet.edu.vn,02723868182,Nguyễn Thái Thanh,Công lập,31,1,1,27,2,17,323,3,62,3,53,3,80,3,66,5,62
258,258,Xã Nhựt Tảo,Trường Tiểu học Quê Mỹ Thạnh,Ấp Thạnh Hoà xã Nhựt Tảo tỉnh Tây Ninh,c1quemythanhtt.longan@moet.edu.vn,02723889498,,Công lập,24,1,1,19,3,11,330,2,54,2,65,3,77,2,74,2,60
259,259,Xã Ninh Điền,Trường Tiểu học Dương Minh Châu,Xã Ninh Điền; Tỉnh Tây Ninh,,,Lê Ngọc Phát,Công lập,27,1,1,22,3,14,213,2,39,3,48,3,44,3,38,3,44
260,260,Xã Ninh Điền,Trường Tiểu học Kim Đồng,Châu Thành,,,Đặng Phát Tài,Công lập,19,1,1,13,4,9,609,2,133,2,110,2,124,1,124,2,118
261,261,Xã Ninh Điền,Trường Tiểu học Ngô Thất Sơn,Xã Thành Long; Huyện Châu Thành; Tây Ninh,truongthatson@gmail.com,,Nguyễn Khánh Cường,Công lập,43,1,2,36,4,25,300,5,64,5,52,5,52,5,77,5,55
262,262,Xã Ninh Điền,Trường Tiểu học Trần Quốc Toản,Châu Thành,truongtieuhocbensoi@gmail.com,,Trương Thị Bích Phương,Công lập,20,1,1,15,3,10,149,2,36,2,22,2,32,2,32,2,27
263,263,Xã Phước Chỉ,Trường Tiểu học Hòa Bình,Trảng Bàng,c1hoabinh.tbang@gmail.com,0933582889,Lê Thanh Sơn,Công lập,29,1,1,22,5,15,848,3,192,3,187,3,158,3,169,3,142
264,264,Xã Phước Chỉ,Trường Tiểu học Phước Bình A,Ấp Bình Thuận; Xã Phước Chỉ; tỉnh Tây Ninh,c1binhthanh.tbang@gmail.com,02763889118,Hồ Văn Nguy,Công lập,47,1,2,40,4,28,492,6,98,6,97,6,101,6,112,4,84
265,265,Xã Phước Chỉ,Trường Tiểu học Phước Bình B,ấp Phước Tân; xã Phước Chỉ; tỉnh Tây Ninh,c1phuocluu.trangbang@gmail.com,0946113009,Hồ Văn Trọn,Công lập,42,1,1,36,4,23,412,5,78,5,69,5,84,4,88,4,93
266,266,Xã Phước Chỉ,Trường Tiểu học Phước Chỉ,Xã Phước Chỉ; Tây Ninh,c1phuocchi.tbang@gmail.com,02763889143,Nguyễn Trung Thành,Công lập,32,1,1,25,5,15,945,3,191,3,173,3,194,3,204,3,183
267,267,Xã Phước Lý,Trường Tiểu học Long Thượng,Ấp Long Thạnh; Xã Phước Lý; Tỉnh Tây Ninh,c1longthuongcg.longan@moet.edu.vn,02723892081,Trần Văn Dũng,Công lập,36,1,1,29,5,27,,5,249,5,217,6,225,6,220,5,215
268,268,Xã Phước Lý,Trường Tiểu học Phước Lý,Xã Phước Lý; Tây Ninh,c1phuoclycg.longan@moet.edu.vn,02723892745,Phạm Viết Thanh,Công lập,39,1,2,33,3,31,875,7,180,6,186,6,177,6,165,6,167
269,269,Xã Phước Lý,Trường Tiểu học và THCS Phước Hậu,ấp Long Giêng; xã Phước Lý; tỉnh Tây Ninh,c1phuochaucg.longan@moet.edu.vn,02723892283,,Công lập,29,,1,26,2,23,305,5,69,5,59,5,68,4,57,4,52
270,270,Xã Phước Thạnh,Trường Tiểu học Cây Da,Ấp Cây Da; xã Phước Thạnh; tỉnh Tây Ninh,c1caydagd.tayninh@moet.edu.vn,02763854347,Phạm Đức Liêm,Công lập,19,1,1,14,3,10,571,2,123,2,99,2,124,2,118,2,107
271,271,Xã Phước Thạnh,Trường Tiểu học Đá Hàng,Xã Phước Thạnh; Tây Ninh,c1dahanggd.tayninh@moet.edu.vn,02763854202,Nguyễn Văn Trong,Công lập,30,1,1,24,4,16,355,4,82,3,73,3,70,3,74,3,56
272,272,Xã Phước Thạnh,Trường Tiểu học Phước Hòa,Xã Phước Thạnh; Tây Ninh,,,Lê Nguyên Khang,Công lập,21,1,1,15,4,10,378,2,73,2,69,2,76,2,83,2,77
273,273,Xã Phước Thạnh,Trường Tiểu học Phước Hội,ấp Phước Hội B,c1phuochoigd.tayninh@moet.edu.vn,02763853930,Lý Thị Minh Hiếu,Công lập,24,1,1,17,5,10,626,2,136,2,112,2,119,2,120,2,139
274,274,Xã Phước Thạnh,Trường Tiểu học Phước Trạch,Xã Phước Trạch; Huyện Gò Dầu; Tây Ninh,c1phuoctrachgd.tayninh@moet.edu.vn,02763854324,Đỗ Thị Thu Chi,Công lập,30,1,,25,4,16,338,3,69,3,69,3,73,3,58,4,69
275,275,Xã Phước Thạnh,Trường Tiểu học Xóm Bố,Ấp Xóm Bố,c1xombogd.tayninh@moet.edu.vn,02763858056,Phan Văn Tạo,Công lập,22,1,1,16,4,11,350,2,71,3,76,2,65,2,79,2,59
276,276,Xã Phước Vinh,Trường Tiểu học Hòa Đông,Ấp Hoà Đông B; Xã Phước Vinh; Tỉnh Tây Ninh,c1hoadongatanbien@gmail.com,02763871063,Đặng Công Xuân,Công lập,26,1,1,20,4,14,269,3,57,3,56,3,53,3,61,2,42
277,277,Xã Phước Vinh,Trường Tiểu học Hòa Hiệp,ấp Hòa Bình; Xã Phước Vinh; Tây Ninh,c1hoahieptanbien@gmail.com,02763871915,Lương Văn Nhanh,Công lập,19,1,1,14,3,9,643,2,133,2,123,2,133,2,130,1,124
278,278,Xã Phước Vinh,Trường Tiểu học Lý Thường Kiệt,ấp Phước Hòa; Xã Phước Vinh; tỉnh Tây Ninh,tanduocbausen@gmail.com,02763786418,Võ Tấn Được,Công lập,38,1,,33,4,23,168,5,32,5,33,5,33,4,40,4,30
279,279,Xã Phước Vinh,Trường Tiểu học Nguyễn Hiền,Ấp Phước Thạnh; Xã Phước Vinh; tỉnh Tây Ninh,,,Nguyễn Văn Nghĩa,Công lập,19,1,,15,3,10,399,2,86,2,79,2,67,2,82,2,85
280,280,Xã Phước Vĩnh Tây,Trường Tiểu học và THCS Long An,Ấp Long An 1; xã Phước Vĩnh Tây; tỉnh Tây Ninh,c1longancg.longan@moet.edu.vn,0919875714,Lê Thị Ngọc Hạnh,Công lập,11,,,11,,11,449,3,84,2,109,2,83,2,86,2,87
281,281,Xã Phước Vĩnh Tây,Trường Tiểu học và THCS Long Phụng,Ấp Phú Thạnh,c1longphungcg.longan@moet.edu.vn,0918630545,,Công lập,26,,1,20,5,14,474,3,92,3,91,2,90,3,92,3,109
282,282,Xã Phước Vĩnh Tây,Trường Tiểu học và THCS Phước Vĩnh Tây,ấp 3; xã Phước Vĩnh Tây; Tỉnh Tây Ninh,c12phuocvinhtaycg.longan@moet.edu.vn,0797764636,,Công lập,17,,1,16,,15,,3,264,3,262,3,251,3,257,3,236
283,283,Xã Rạch Kiến,Trường Tiểu học Long Hòa,Ấp 5; xã Rạch Kiến,,02723880157,Trần Văn Ngọc,Công lập,58,1,2,47,8,37,616,8,150,8,119,7,125,7,95,7,127
284,284,Xã Rạch Kiến,Trường Tiểu học Long Khê,Ấp 8,c1longkhe.longan@moet.edu.vn,02723880217,Nguyễn Văn Hùng,Công lập,30,1,1,26,2,19,945,4,183,4,185,4,188,3,194,4,195
285,285,Xã Rạch Kiến,Trường Tiểu học Long Trạch 1,Ấp Long Thanh; xã Rạch Kiến; tỉnh Tây Ninh,c1longtrach1cd.longan@moet.edu.vn,02723880177,Trần Công Khanh,Công lập,43,1,2,34,6,28,662,5,145,5,139,6,132,6,145,6,101
286,286,Xã Rạch Kiến,Trường Tiểu học Long Trạch 2,Ấp Cầu Tràm; xã Rạch Kiến; tỉnh Tây Ninh,tranthithanhtuyen.vn1980@gmail.com,02723880178,Trần Thị Thanh Tuyền,Công lập,33,1,1,27,4,19,291,4,57,4,58,4,59,4,59,3,58
287,287,Xã Tầm Vu,Trường Tiểu học Hiệp Thạnh,Ấp Hiệp Thạnh,c1hiepthanhct.longan@moet.edu.vn,02723877418,NGUYỄN VĂN CƯỜNG,Công lập,20,1,1,16,2,10,406,2,84,2,83,2,90,2,74,2,75
288,288,Xã Tầm Vu,Trường Tiểu học Lê Văn Khuê,Ấp 8; xã Tầm Vu; tỉnh Tây Ninh,c1levankhuect.longan@moet.edu.vn,02723664061,Trần Thanh Thanh,Công lập,23,1,1,19,2,13,,3,227,3,210,3,194,2,227,2,237
289,289,Xã Tầm Vu,Trường Tiểu học Thị trấn Tầm Vu,Ấp Tân Xuân,tieuhoctamvu.ct@longan.gov.vn,02723877375,Nguyễn Văn Hoàng,Công lập,53,1,2,46,4,30,304,6,61,6,53,5,52,6,67,7,71
290,290,Xã Tầm Vu,Trường Tiểu học Trần Văn Ngạn,Phú Xuân 1; xã Tầm Vu,,02723662912,Huỳnh Văn Khương,Công lập,23,1,1,19,2,10,,2,241,2,213,2,199,2,245,2,204
291,291,Xã Tân Biên,Trường Tiểu học Nguyễn Bá Ngọc,37 Nguyễn Duy Trinh; Tân Biên; Xã Tân Biên; Tỉnh Tây Ninh,thnguyenbangoctb@gmail.com,,Trương Minh Đức,Công lập,55,1,2,46,6,31,397,7,76,6,64,5,90,7,87,6,80
292,292,Xã Tân Biên,Trường Tiểu học Tân Bình,Xã Tân Biên; Tỉnh Tây Ninh,c1tanbinhtanbien@gmail.com,,Phạm Minh Ngọc,Công lập,30,1,1,23,5,15,178,3,35,3,36,3,40,3,44,3,23
293,293,Xã Tân Biên,Trường Tiểu học Thạnh Sơn,Tổ 5; ấp Thạnh Sơn; Xã Tân Biên; tỉnh Tây Ninh,C1thanhsontanbien@gmail.com,,Vũ Thành Ngỡi,Công lập,15,1,1,10,3,7,317,1,67,1,61,2,70,2,67,1,52
294,294,Xã Tân Biên,Trường Tiểu học Thạnh Tây,Xã Thạnh Tây; Huyện Tân Biên; Tây Ninh,c1thanhtayatanbien@gmail.com,,Nguyễn Thị Sáng,Công lập,20,1,1,14,4,10,826,2,174,2,151,2,167,2,168,2,166
295,295,Xã Tân Biên,Trường Tiểu học Thị Trấn Tân Biên,Xã Tân Biên; Tây Ninh,,,Nguyễn Tấn Tài,Công lập,45,1,1,39,4,25,,5,212,5,207,5,218,5,240,5,263
296,296,Xã Tân Châu,Trường Tiểu học Tân Châu,ấp 4; xã Tân Châu; Tỉnh Tây Ninh.,c1thitranbtc.tayninh@moet.edu.vn,02763875751,Nguyễn Hồng Thuận,Công lập,56,1,1,48,6,30,587,6,144,5,115,6,96,6,125,7,107
297,297,Xã Tân Châu,Trường Tiểu học Thạnh Đông A,Tân Châu,,,Nguyễn Thị Thu Hương,Công lập,29,1,1,21,6,16,206,4,33,3,33,3,51,3,56,3,33
298,298,Xã Tân Châu,Trường Tiểu học Thạnh Đông B,Tân Châu,C1thanhdongbtc.tayninh@moet.edu.vn,02763875635,Đinh Thị Lan,Công lập,18,1,,14,3,7,987,1,206,1,174,2,200,2,219,1,188
299,299,Xã Tân Đông,Trường Tiểu học Nguyễn Viết Xuân,Xã Tân Đông; tỉnh Tây Ninh,c1nguyenvietxuantc.tayninh@moet.edu.vn,02763751131,Nguyễn Công Viên,Công lập,40,1,,34,5,28,410,6,66,5,74,6,88,6,97,5,85
300,300,Xã Tân Đông,Trường Tiểu học Tân Đông,Tân Châu,c1tandongatc.tayninh@moet.edu.vn,02763751538,Lê Văn Bảo,Công lập,31,1,1,24,5,16,597,3,139,3,106,4,116,3,122,3,114
301,301,Xã Tân Đông,Trường Tiểu học Tân Hà,Xã Tân Hà; Huyện Tân Châu; Tây Ninh,tieuhoctanha@gmail.com,02763751134,Nguyễn Quan Trọng Khanh,Công lập,24,1,1,18,4,15,244,3,48,3,52,3,55,3,44,3,45
302,302,Xã Tân Hòa,Trường Tiểu học Bưng Bàng,Ấp Suối Bà Chiêm; xã Tân Hòa; tỉnh Tây Ninh,,02763739173,Đinh Thị Dung,Công lập,17,2,,12,3,10,130,2,27,2,16,2,25,2,32,2,30
303,303,Xã Tân Hòa,Trường Tiểu học Suối Ngô A,,truongthsuoingoatayninh@moet.edu.vn,02763750426,Nguyễn Văn Hùng,Công lập,11,1,1,7,2,5,684,1,129,1,140,1,140,1,155,1,120
304,304,Xã Tân Hòa,Trường Tiểu học Suối Ngô C,Ấp 2; Tân Hòa; Tây Ninh,,,Lê Văn Sương,Công lập,38,1,1,29,7,19,517,5,120,3,109,3,99,5,92,3,97
305,305,Xã Tân Hòa,Trường Tiểu học Tân Hòa A,Tổ 4; ấp Tân thuận,c1tanhoaatc.tayninh@moet.edu.vn,02763750790,Nguyễn Thanh Lý,Công lập,25,1,1,20,3,18,584,5,118,3,104,4,120,3,128,3,114
306,306,Xã Tân Hội,Trường Tiểu học Tân Hiệp,Tân Châu,c1tanhiepatc.tayninh@moet.edu.vn,02763875925,Bùi Thị Mỹ Lệ,Công lập,33,1,1,26,5,18,854,4,171,3,173,4,171,4,164,3,175
307,307,Xã Tân Hội,Trường Tiểu học Tân Hội,Xã Tân Hội; tỉnh Tây Ninh,,02763751015,Hồ Thanh Phú,Công lập,48,1,,41,6,28,874,6,176,6,172,6,191,5,152,5,183
308,308,Xã Tân Hưng,Trường Tiểu học Thị Trấn Tân Hưng,KP.Gò Thuyền - TT.Tân Hưng - H.Tân Hưng - Long An,,02723861110,Lê Văn Thơ,Công lập,45,1,2,39,3,27,209,5,48,5,30,6,47,5,42,6,42
309,309,Xã Tân Hưng,Trường Tiểu học và THCS Vĩnh Lợi,xã Tân Hưng; tỉnh Tây Ninh,c2vinhloith.longan@moet.edu.vn,02723986536,Nguyễn Minh Hiệp,Công lập,19,,2,14,3,9,272,2,64,1,45,2,52,2,58,2,53
310,310,Xã Tân Hưng,Trường Tiểu học Vĩnh Thạnh,Ấp Cái Tràm - xã Tân Hưng - tỉnh Tây Ninh,c1vinhthanhth.longan@moet.edu.vn,02723986512,LÊ THANH TIẾN,Công lập,22,1,1,16,4,10,845,2,190,2,158,2,175,2,155,2,167
311,311,Xã Tân Lân,Trường Tiểu học Phước Đông,Âp 1; xã Tân Lân; tỉnh Tây Ninh,c1phuocdong.cd.longan@moet.edu.vn,02723881485,Trần Văn Phúc,Công lập,46,1,2,35,8,28,962,6,204,6,205,5,195,5,180,6,178
312,312,Xã Tân Lân,Trường Tiểu học Tân Lân,Ấp Nhà Trường,,02723882444,Nguyễn Văn Quảng,Công lập,52,1,2,43,6,29,164,6,30,6,36,6,32,5,42,6,24
313,313,Xã Tân Lập,Trường Tiểu học Tân Khai,Xã Tân Lập; Tỉnh Tây Ninh,c1tankhaitanbien@gmail.com,,Huỳnh Thanh Danh,Công lập,13,1,1,8,3,6,879,1,192,1,143,1,190,2,192,1,162
314,314,Xã Tân Lập,Trường Tiểu học Tân Lập,Xã Tân Lập; Tỉnh Tây Ninh,c1tanlaptanbien@gmail.com,0663872946,Phạm Quang Hải,Công lập,43,1,1,36,5,24,250,6,47,4,59,5,44,5,66,4,34
315,315,Xã Tân Lập,Trường Tiểu học Thạnh Bắc A,Ấp Suối Mây; Xã Tân Lập; tỉnh Tây Ninh,c1thanhbacatanbien@gmail.com,0663746099,Lê Thanh Trí,Công lập,19,1,1,14,3,9,140,2,24,2,20,2,39,2,34,1,23
316,316,Xã Tân Lập,Trường Tiểu học Thạnh Bắc B,ấp Bàu Bền; xã Tân Lập; tỉnh Tây Ninh,c1thanhbacbtb2022@gmail.com,02763746664,Đỗ Thị Thanh,Công lập,13,1,1,8,3,5,363,1,64,1,80,1,77,1,78,1,64
317,317,Xã Tân Long,Trường Tiểu học Long Thạnh,Đường tỉnh 817; Ấp 4; xã Tân Long; tỉnh Tây Ninh,c1longthanhtt.longan@moet.edu.vn,02723863296,Trần Thanh Phong,Công lập,24,1,1,21,1,13,271,2,64,3,49,3,53,3,53,2,52
