_id,So TT,"Ten hang hoa, dich vu",Gia kham chua benh theo yeu cau (DVT: dong)
755,755,Ghép da tự thân mảnh lớn từ 3% -  5% diện tích cơ thể ở trẻ em,7190000
756,756,"Ghép da tự thân mảnh lớn từ 5% - 10% diện tích cơ thể ở người lớn, trên 5% diện tích cơ thể ở trẻ em",8528000
757,757,"Ghép da tự thân mảnh siêu nhỏ (micro skin graft)  ≥ 10% diện tích cơ thể ở người lớn,  ≥ 5% diện tích cơ thể ở trẻ em",14426000
758,758,"Ghép da tự thân mảnh siêu nhỏ (micro skin graft) dưới 10% diện tích cơ thể ở người lớn, dưới 5% diện tích cơ thể ở trẻ em",8100000
759,759,Ghép da tự thân mắt lưới (mesh graft),10556000
760,760,Ghép da tự thân phối hợp kiểu hai lớp (sandwich),12962000
761,761,Ghép da tự thân tem thư (post stam graft)  ≥ 10% diện tích cơ thể ở người lớn,9318000
762,762,"Ghép da tự thân tem thư (post stam graft) dưới 10% diện tích cơ thể ở người lớn, ≥ 5% diện tích cơ thể ở trẻ em",9048000
763,763,Ghép da tự thân tem thư (post stam graft) dưới 5% diện tích cơ thể ở trẻ em,7563000
764,764,Ghép da tự thân xen kẽ (molem-jackson)  ≥ 10% diện tích cơ thể ở người lớn,13849000
765,765,"Ghép da tự thân xen kẽ (molem-jackson) ở trẻ em, dưới 10% diện tích cơ thể ở người lớn",11403000
766,766,Kỹ thuật giãn da (expander) điều trị sẹo,9025000
767,767,"Kỹ thuật tạo vạt da có cuống mạch liền điều trị vết thương, sẹo",10646000
768,768,"Kỹ thuật tạo vạt da tại chỗ điều trị vết thương, vết bỏng và di chứng",7951000
769,769,Lấy bỏ sụn viêm hoại tử trong bỏng vành tai,5816000
770,770,"Phẫu thuật chuyển vạt da phức tạp có nối mạch vi phẫu điều trị vết thương, vết bỏng và sẹo",39606000
771,771,"Phẫu thuật ghép da dày tự thân kiểu wolf- krause ≥ điều trị bỏng sâu, điều trị sẹo",10259000
772,772,"Phẫu thuật khoan đục xương, lấy bỏ xương chết trong điều trị bỏng sâu",8041000
773,773,Phẫu thuật loại bỏ hoại tử ổ loét vết thương mạn tính,6046000
774,774,Thay băng cắt lọc vết bỏng diện tích dưới 5% diện tích cơ thể,261000
775,775,Thay băng cắt lọc vết bỏng diện tích dưới 10% diện tích cơ thể,484000
776,776,Thay băng cắt lọc vết bỏng diện tích từ 10% đến 19% diện tích cơ thể,895000
777,777,Thay băng cắt lọc vết bỏng diện tích từ 20% đến 39% diện tích cơ thể,1238000
778,778,Thay băng cắt lọc vết bỏng diện tích từ 40% đến 60% diện tích cơ thể,1970000
779,779,Thay băng cắt lọc vết bỏng diện tích trên 60% diện tích cơ thể,3372000
780,780,Bỏng: Phẫu thuật đặc biệt,10523000
781,781,Bỏng: Phẫu thuật loại I,6000000
782,782,Bỏng: Phẫu thuật loại II,4102000
783,783,Bỏng: Phẫu thuật loại III,2820000
784,784,Bỏng: Thủ thuật loại đặc biệt,2825000
785,785,Bỏng: Thủ thuật loại I,1365000
786,786,Bỏng: Thủ thuật loại II,805000
787,787,Bỏng: Thủ thuật loại III,456000
788,788,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Phẫu thuật loại I",4822000
789,789,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Phẫu thuật loại II",3016000
790,790,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Phẫu thuật loại III",2048000
791,791,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Thủ thuật loại đặc biệt",2103000
792,792,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Thủ thuật loại I",1404000
793,793,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Thủ thuật loại II",811000
794,794,"NỘI SOI CHẨN ĐOÁN, CAN THIỆP: Thủ thuật loại III",468000
795,795,VI PHẪU: Phẫu thuật loại đặc biệt,14173000
796,796,VI PHẪU: Phẫu thuật loại I,8469000
797,797,XÉT NGHIỆM (Huyết học) ANA 17 profile test (sàng lọc và định danh đồng thời 17 loại kháng thể kháng nhân bằng thanh sắc ký miễn dịch),1644000
798,798,XÉT NGHIỆM (Huyết học) Bilan đông cầm máu - huyết khối,2508000
799,799,XÉT NGHIỆM (Huyết học): 'Chụp ảnh màu tế bào qua kính hiển vi,34500
800,800,XÉT NGHIỆM (Huyết học): Co cục máu đông,25400
801,801,Công thức nhiễm sắc thể (Karyotype),1149000
802,802,Công thức nhiễm sắc thể (NST) từ tế bào ối,1931000
803,803,Đàn hồi co cục máu (TEG: ThromboElastoGraph),692000
804,804,Đánh giá tỷ lệ sống của tế bào bằng kỹ thuật nhuộm xanh trypan,31500
805,805,DCIP test (Dichlorophenol-Indolphenol- test dùng sàng lọc huyết sắc tố E),104800
806,806,Đếm số lượng CD3 hoặc CD4 hoặc CD8,668000
807,807,Điện di có tính thành phần huyết sắc tố (định tính),322000
808,808,Điện di huyết sắc tố (định lượng),604000
809,809,Điện di miễn dịch huyết thanh,1641000
810,810,Điện di protein huyết thanh,639000
811,811,Điều chế và lưu trữ tế bào gốc từ máu cuống rốn hoặc từ tuỷ xương,25935000
812,812,Điều chế và lưu trữ tế bào gốc từ máu ngoại vi,25935000
813,813,Định danh kháng thể Anti-HLA bằng kỹ thuật luminex,5915000
814,814,Định danh kháng thể bất thường,1886000
815,815,Định danh kháng thể kháng HLA bằng kỹ thuật ELISA,6956000
816,816,Định lượng anti Thrombin III,235000
817,817,Định lượng CD25 (IL-2R) hòa tan trong huyết thanh,3539000
818,818,Định lượng chất ức chế C1,354000
819,819,Định lượng D - Dimer bằng kỹ thuật miễn dịch hoá phát quang,865000
820,820,Định lượng D- Dimer,435000
821,821,Định lượng đồng yếu tố Ristocetin,354000
822,822,Định lượng FDP,235000
823,823,Định lượng Fibrinogen (Yếu tố I) bằng phương pháp trực tiếp,176000
824,824,Định lượng gen bệnh máu ác tính,6570000
825,825,Định lượng men G6PD,138300
826,826,Định lượng men Pyruvat kinase,297000
827,827,Định lượng Plasminogen,354000
828,828,Định lượng Protein C,396000
829,829,Định lượng Protein S,396000
830,830,Định lượng t- PA,354000
831,831,Định lượng tế bào người cho ở người nhận sau ghép tế bào gốc tạo máu,8611000
832,832,Định lượng ức chế yếu tố IX,447000
833,833,Định lượng ức chế yếu tố VIII,255000
834,834,Định lượng yếu tố Heparin,354000
835,835,Định lượng yếu tố I (fibrinogen),96500
836,836,Định lượng yếu tố II hoặcXII hoặcVonWillebrand (kháng nguyên) hoặcVonWillebrand (hoạt tính),758000
837,837,Định lượng yếu tố kháng Xa,435000
838,838,Định lượng yếu tố Thrombomodulin,354000
839,839,"Định lượng yếu tố V hoặc yếu tố VII hoặc yếu tố X (Định lượng hoạt tính yếu tố V/yếu tố VII/yếu tố X ) (Định lượng yếu tố V; yếu tố VII, yếu tố X, yếu tố XI)",542000
840,840,Định lượng yếu tố VIII/yếu tố IX; định lượng hoạt tính yếu tố IX,396000
841,841,Định lượng yếu tố VIIIc hoặc yếu tố XI (yếu tố VIII hoặc yếu tố XI; Định lượng hoạt tính yếu tố VIII hoặc yếu tố XI,496000
842,842,Định lượng yếu tố XIII (hoặc yếu tố ổn định sợi huyết),1715000
843,843,Định lượng yếu tố: PAI-1/PAI-2,354000
844,844,Định lượng α2 anti -plasmin (α2 AP),354000
845,845,Định lượng β - Thromboglobulin (βTG),354000
846,846,Định nhóm máu A1,59000
847,847,"Định nhóm máu hệ ABO bằng giấy định nhóm máu để truyền máu toàn phần: khối hồng cầu, khối bạch cầu",39600
848,848,Định nhóm máu hệ ABO bằng giấy định nhóm máu để truyền: chế phẩm tiểu cầu hoặc huyết tương,34500
849,849,Định nhóm máu hệ ABO bằng phương pháp ống nghiệm; trên phiến đá hoặc trên giấy,67100
850,850,Định nhóm máu hệ ABO bằng thẻ định nhóm máu,98600
851,851,Định nhóm máu hệ ABO trên thẻ định nhóm máu (đã có sẵn huyết thanh mẫu) để truyền chế phẩm tiểu cầu hoặc huyết tương,48800
852,852,"Định nhóm máu hệ ABO trên thẻ định nhóm máu (đã có sẵn huyết thanh mẫu) để truyền máu toàn phần, khối hồng cầu, bạch cầu",79300
853,853,"Định nhóm máu hệ ABO, Rh(D)  trên máy tự động",65100
854,854,"Định nhóm máu hệ ABO, Rh(D) bằng công nghệ hồng cầu gắn từ",88500
855,855,"Định nhóm máu hệ ABO, Rh(D) bằng phương pháp gelcard/Scangel",148400
856,856,Định nhóm máu hệ Diego (xác định kháng nguyên Diego),316000
857,857,Định nhóm máu hệ MNSs (xác định kháng nguyên Mia),267000
858,858,Định nhóm máu hệ P (xác định kháng nguyên P1),336000
859,859,"Định nhóm máu hệ Rh ( D yếu , D từng phần)",297000
860,860,"Định nhóm máu hệ Rh(D) bằng phương pháp ống nghiệm, phiến đá",52900
861,861,Định nhóm máu khó hệ ABO,354000
862,862,Định tính ức chế yếu tố VIIIc/IX,396000
863,863,"Định type HLA cho 1 locus (Locus A, hoặc Locus B, hoặc Locus C, hoặc Locus DR, hoặcLocus DQ)  bằng kỹ thuật PCR-SSP",2041000
864,864,"Định type HLA độ phân giải cao cho 1 locus (A, B, C, DR, DQ, DP) bằng kỹ thuật PCR-SSO",3027000
865,865,Đo độ đàn hồi cục máu (ROTEM: Rotation ThromboElastoMetry)  ức chế tiểu cầu (ROTEM-FIBTEM)/ ức chế tiêu sợi huyết (ROTEM-APTEM)/ trung hòa heparin (ROTEM-HEPTEM),903000
866,866,Đo độ đàn hồi cục máu (ROTEM: Rotation ThromboElastoMetry) nội sinh (ROTEM-INTEM)/ ngoại sinh (ROTEM-EXTEM),709000
867,867,Đo độ ngưng tập tiểu cầu với  ADP/Collgen,187000
868,868,Đo độ ngưng tập tiểu cầu với  Ristocetin/ Epinephrin/ ArachidonicAcide/ thrombin,354000
869,869,Đo độ nhớt (độ quánh) máu toàn phần/huyết tương/ dịch khác (tính cho một loại),88500
870,870,Giải trình tự gen bằng phương pháp NGS (giá tính cho 01 gen),12830000
871,871,Giải trình tự gen bằng phương pháp Sanger (giá tính cho 01 gen),10808000
872,872,Hemoglobin Định lượng (bằng máy quang kế),50800
873,873,Hiệu giá kháng thể miễn dịch (Kỹ thuật Scangel/Gelcard trên máy bán tự động/tự động),748000
874,874,"Hiệu giá kháng thể tự nhiên chống A, B/ Hiệu giá kháng thể bất thường 30-50)",69100
875,875,Hoá mô miễn dịch tuỷ xương (01 marker),316000
876,876,Hồng cầu lưới (bằng phương pháp thủ công),44800
877,877,Huyết đồ (bằng phương pháp thủ công),112800
878,878,Huyết đồ (sử dụng máy đếm tự động),118900
879,879,Huyết đồ bằng hệ thống tự động hoàn toàn (có nhuộm lam),258000
880,880,Lách đồ,98600
881,881,Lọc bạch cầu trong khối hồng cầu,931000
882,882,Lympho cross match bằng kỹ thuật Flow-cytometry,3478000
883,883,Máu lắng (bằng máy tự động),59400
884,884,Máu lắng (bằng phương pháp thủ công),196600
885,885,Nghiệm pháp rượu (nghiệm pháp Ethanol),40900
886,886,Nghiệm pháp von-Kaulla,56700
887,887,Nhuộm hồng cầu lưới trên máy tự động,63800
888,888,Nhuộm hồng cầu sắt (Nhuộm Perls),110000
889,889,Nhuộm Periodic Acide  Schiff (PAS),106000
890,890,Nhuộm sợi xơ liên võng trong mô tuỷ xương,138300
891,891,Nhuộm sợi xơ trong mô tuỷ xương,138300
892,892,Nhuộm sudan den,132200
893,893,Nuôi cấy cụm tế bào gốc (colony forming culture),2077000
894,894,OF test (test sàng lọc Thalassemia),81300
895,895,"Phân tích dấu ấn/CD/marker miễn dịch máu ngoại vi, hoặc dịch khác bằng kỹ thuật flow cytometry (cho 1 dấu ấn/CD/marker)",656000
896,896,"Phân tích dấu ấn/CD/marker miễn dịch mẫu tủy xương, hoặc mẫu hạch, hoặc mẫu tổ chức khác bằng kỹ thuật flow cytometry (cho 1 dấu ấn/CD/marker)",729000
897,897,Phản ứng hoà hợp có sử dụng kháng globulin người (Kỹ thuật ống nghiệm),128100
898,898,Phản ứng hoà hợp có sử dụng kháng globulin người (Kỹ thuật Scangel/ Gelcard trên máy bán tự động/ tự động),128100
899,899,Phản ứng hòa hợp tiểu cầu (Kỹ thuật pha rắn),94600
900,900,Phản ứng hòa hợp trong môi trường nước muối ở 220C (Kỹ thuật Scangel/ Gelcard trên máy bán tự động/ tự động),115900
901,901,Phản ứng hòa hợp trong môi trường nước muối ở 22OC (kỹ thuật ống nghiệm),48800
902,902,Phát hiện chất ức chế đường đông máu nội sinh không phụ thuộc thời gian và nhiệt độ,496000
903,903,Phát hiện chất ức chế đường đông máu nội sinh phụ thuộc thời gian và nhiệt độ,604000
904,904,Phát hiện đảo đoạn intron22 của gen yếu tố VIII bệnh Hemophilia bằng kỹ thuật longrange PCR,2228000
905,905,Phát hiện gen bệnh Thalassemia bằng kỹ thuật PCR-RFLP,966000
906,906,Phát hiện kháng đông đường chung,151500
907,907,Phát hiện kháng đông lupus (LAC/ LA screen: Lupus Anticoagulant screen),419000
908,908,Phát hiện kháng thể kháng tiểu cầu bằng kỹ thuật Flow-cytometry,3386000
909,909,Rửa hồng cầu/tiều cầu bằng máy ly tâm lạnh,232000
910,910,Sàng lọc kháng thể bất thường (kỹ thuật ống nghiệm),158600
911,911,Sàng lọc kháng thể bất thường (Kỹ thuật Scangel/ Gelcard trên máy bán tự động/ tự động),419000
912,912,Sức bền thẩm thấu hồng cầu,65100
913,913,Gạn tế bào máu/ huyết tương điều trị,1420000
914,914,Tập trung bạch cầu,48800
915,915,Test đường + Ham,118900
916,916,Thể tích khối hồng cầu (Hematocrit),29500
917,917,Thời gian Howell,52900
918,918,Thời gian máu chảy (phương pháp Ivy),82400
919,919,Thời gian máu chảy/(phương pháp Duke),21400
920,920,Thời gian máu đông,21400
921,921,"Thời gian Prothombin (PT%, PTs, INR)",69100
922,922,"Thời gian Prothrombin (PT,TQ) bằng  thủ công",94600
923,923,"Thời gian Prothrombin (PT,TQ) bằng máy bán tự động, tự động",108800
924,924,Thời gian thrombin (TT),69100
925,925,Thời gian thromboplastin hoạt hoá từng phần (APTT),69100
926,926,Thu thập và chiết tách tế bào gốc từ máu cuống rốn,4063000
927,927,Thu thập và chiết tách tế bào gốc từ máu ngoại vi,4063000
928,928,Thu thập và chiết tách tế bào gốc từ tuỷ xương,4841000
929,929,Tinh dịch đồ,539000
930,930,Tìm ấu trùng giun chỉ trong máu,59000
931,931,Tìm hồng cầu có chấm ưa base (bằng máy),29500
932,932,Tìm ký sinh trùng sốt rét trong máu bằng phương pháp thủ công,63000
933,933,Tìm mảnh vỡ hồng cầu (bằng máy),29500
934,934,Tìm tế bào Hargraves,110800
935,935,Tìm yếu tố kháng đông đường ngoại sinh,138300
936,936,Tìm yếu tố kháng đông đường nội sinh,198000
937,937,Tổng phân tích tế bào máu ngoại vi (bằng hệ thống tự động hoàn toàn),182000
938,938,Tổng phân tích tế bào máu ngoại vi (bằng phương pháp thủ công),63000
939,939,Tổng phân tích tế bào máu ngoại vi bằng máy đếm laser,79300
940,940,Tổng phân tích tế bào máu ngoại vi bằng máy đếm tự động,69100
941,941,"Xác định bản chất kháng thể đặc hiệu (IgG, IgA, IgM, C3d, C3c) (phương pháp gelcard/ scangel khi nghiệm pháp Coombs trực tiếp/ gián tiếp dương tính)",727000
942,942,Xác định bất đồng nhóm máu mẹ con,158600
943,943,Xác định gen bằng kỹ thuật FISH,5326000
944,944,Xác định gen bệnh máu ác tính bằng RT-PCR,1420000
945,945,Xác định gen bệnh máu bằng kỹ thuật cIg FISH (giá tính cho 1 gen),6538000
946,946,Xác định kháng nguyên c của hệ của nhóm máu Rh (Kỹ thuật Scangel/ Gelcard trên máy tự động),199000
947,947,Xác định kháng nguyên C của hệ nhóm máu Rh (Kỹ thuật ống nghiệm),195000
948,948,Xác định kháng nguyên c của hệ nhóm máu Rh (Kỹ thuật ống nghiệm),145300
949,949,Xác định kháng nguyên C của hệ nhóm máu Rh (Kỹ thuật Scangel/Gelcard trên máy tự động),222000
950,950,Xác định kháng nguyên E của hệ nhóm máu Rh (Kỹ thuật ống nghiệm),131600
951,951,Xác định kháng nguyên e của hệ nhóm máu Rh (Kỹ thuật ống nghiệm),180000
952,952,Xác định kháng nguyên E của hệ nhóm máu Rh (Kỹ thuật Scangel/Gelcard trên máy tự động),193000
953,953,Xác định kháng nguyên e của hệ nhóm máu Rh (Kỹ thuật Scangel/ Gelcard trên máy tự động),222000
954,954,Xác định kháng nguyên Fya của hệ nhóm máu Duffy (Kỹ thuật Scangel/ Gelcard trên máy tự động),202000
955,955,Xác định kháng nguyên Fyb của hệ nhóm máu Duffy (Kỹ thuật Scangel/ Gelcard trên máy tự động),264000
956,956,Xác định kháng nguyên H,59000
957,957,Xác định kháng nguyên Jka của hệ nhóm máu Kidd,357000
958,958,Xác định kháng nguyên Jkb của hệ nhóm máu Kidd,352000
959,959,Xác định kháng nguyên k của hệ nhóm máu Kell,102700
960,960,Xác định kháng nguyên K của hệ nhóm máu Kell,222800
961,961,Xác định kháng nguyên Lea của hệ nhóm máu Lewis,302000
962,962,Xác định kháng nguyên Leb của hệ nhóm máu Lewis,354000
963,963,Xác định kháng nguyên Lua của hệ nhóm máu Lutheran,281000
964,964,Xác định kháng nguyên Lub của hệ nhóm máu Lutheran,158600
965,965,Xác định kháng nguyên M của hệ nhóm máu MNS,261000
966,966,Xác định kháng nguyên N của hệ nhóm máu MNS,291000
967,967,Xác định kháng nguyên nhóm máu hệ hồng cầu bằng phương pháp sinh học phân tử (giá cho một loại kháng nguyên),2377000
968,968,Xác định kháng nguyên S của hệ nhóm máu MNS,378000
969,969,Xét nghiệm CD55/59 bạch cầu (chẩn đoán bệnh Đái huyết sắc tố) niệu kịch phát ban đêm),1437000
970,970,Xét nghiệm CD55/59 hồng cầu (chẩn đoán bệnh Đái huyết sắc tố) niệu kịch phát ban đêm),926000
971,971,Xét nghiệm chuyển dạng lympho với PHA,496000
972,972,Xét nghiệm độ chéo (Cross-Match) trong ghép cơ quan,727000
973,973,Xét nghiệm HIT (Heparin Induced Thrombocytopenia) - Ab),2836000
974,974,Xét nghiệm HIT (Heparin Induced Thrombocytopenia)- IgG),2836000
975,975,Xét nghiệm HLA-B27 bằng kỹ thuật Flow-cytometry,656000
976,976,"Xét nghiệm lựa chọn đơn vị máu phù hợp (10 đơn vị máu trong 3 điều kiện 220C, 370C, kháng globulin người) bằng phương pháp Scangel/Gelcard",784000
977,977,Xét nghiệm mô bệnh học tủy xương,573000
978,978,Xét nghiệm PFA (Platelet Funtion Analyzer)  bằng Collagen/ADP trên máy tự động (Tên khác: PFA bằng Col/ADP),1423000
979,979,Xét nghiệm PFA (Platelet Funtion Analyzer) bằng  Collagen/Epinephrine trên máy tự động (Tên khác: PFA bằng Col/Epi),1423000
980,980,Xét nghiệm số lượng tiểu cầu (thủ công),59000
981,981,Xét nghiệm tế bào gốc CD 34+,2819000
982,982,Xét nghiệm tế bào hạch,82400
983,983,Xét nghiệm tế bào học tủy xương,252000
984,984,Xét nghiệm trao đổi nhiễm sắc thể chị em,842000
985,985,Xét nghiệm và chẩn đoán hóa mô miễn dịch tủy xương cho một dấu ấn (marker) trên máy nhuộm tự động.,1555000
986,986,Xét nghiệm và chẩn đoán mô bệnh học tủy xương trên máy nhuộm tự động.,507000
987,987,Xét nghiệm xác định đột biến thalassemia (phát hiện đồng thời 21 đột biến alpha-thalassemia hoặc 22 đột biến β-thalasemia),6957000
988,988,Xét nghiệm xác định gen Hemophilia,1731000
989,989,Định lượng ELISA chẩn đoán dị ứng thuốc (Đối với 1 loại thuốc),724000
990,990,Định lượng ERYTHROPOIETIN (EPO),676000
991,991,Định lượng Histamine,1614000
992,992,Định lượng IgE đặc hiệu với 1 loại dị nguyên,929000
993,993,Định lượng Interleukin,1267000
994,994,Định lượng kháng thể C1INH/ kháng thể GBM ab/ Tryptase,1230000
995,995,Định lượng kháng thể IgG1/IgG2/IgG3/IgG4,1144000
996,996,Định lượng kháng thể kháng  C5a,1364000
997,997,Định lượng kháng thể kháng C1q,718000
998,998,Định lượng kháng thể kháng C3a/C3bi/C3d/C4a,1729000
999,999,Định lượng kháng thể kháng CCP,979000
1000,1000,Định lượng kháng thể kháng Centromere,746000
1001,1001,Định lượng kháng thể kháng ENA,700000
1002,1002,Định lượng kháng thể kháng Histone,614000
1003,1003,Định lượng kháng thể kháng Insulin,640000
1004,1004,Định lượng kháng thể kháng Jo - 1,717000
1005,1005,Định lượng kháng thể kháng nhân và kháng thể kháng chuỗi kép (ANA&DsDNA),863000
1006,1006,Định lượng kháng thể kháng DNA chuỗi kép  (Anti dsDNA) bằng máy tự động/bán tự động,435000
1007,1007,Định lượng kháng thể kháng DNA chuỗi kép  (Anti dsDNA) test nhanh,198000
1008,1008,Định lượng kháng thể kháng nhân (ANA) bằng máy tự động/bán tự động,496000
1009,1009,Định lượng kháng thể kháng nhân (ANA) test nhanh,297000
1010,1010,Định lượng kháng thể kháng Phospholipid (IgG/IgM)/ Cardiolipin (IgG/IgM)/ Beta2-Glycoprotein (IgG/IgM),956000
1011,1011,Định lượng kháng thể kháng Prothrombin,741000
1012,1012,Định lượng kháng thể kháng RNP-70,693000
1013,1013,Định lượng kháng thể kháng Scl-70,614000
1014,1014,Định lượng kháng thể kháng Sm,660000
1015,1015,Định lượng kháng thể kháng SSA(Ro)/SSB(La)/SSA-p200,717000
1016,1016,Định lượng kháng thể kháng tiểu cầu,1170000
1017,1017,Định lượng kháng thể kháng tinh trùng,1656000
1018,1018,Định lượng kháng thể kháng tương bào bạch cầu đa nhân trung tính (ANCA),811000
1019,1019,Định lượng kháng thể kháng ty lạp thể (AMA-M2) /kháng thể kháng tương bào gan type1 (LC1) / kháng thể kháng tiểu vi thể gan thận type 1 (LKM1) / kháng thể kháng thụ thể GLYCOPROTEIN trên màng tế bào gan người châu Á (ASGPR),799000
1020,1020,Định lượng MPO (pANCA)/PR3 (cANCA),717000
1021,1021,Khẳng định kháng đông lupus (LAC/ LA confirm: Lupus Anticoagulant confirm),419000
1022,1022,Hóa sinh_máu: ACTH,132200
1023,1023,Hóa sinh_máu: ADH,237000
1024,1024,Hóa sinh_máu: ALA,149300
1025,1025,Hóa sinh_máu: Alpha FP (AFP),149300
1026,1026,Hóa sinh_máu: Alpha Microglobulin,158500
1027,1027,Hóa sinh_máu: Amoniac,123100
1028,1028,Hóa sinh_máu: Anti - TG,441000
1029,1029,Anti - TPO (Anti-  thyroid Peroxidase antibodies) định lượng,334000
1030,1030,Apolipoprotein A/B (1 loại),78800
1031,1031,Benzodiazepam (BZD),61500
1032,1032,Beta - HCG,141300
1033,1033,Beta2 Microglobulin,123100
1034,1034,BNP (B - Type Natriuretic Peptide),952000
1035,1035,Bổ thể trong huyết thanh,52500
1036,1036,CA 125,225000
1037,1037,CA 15 - 3,245000
1038,1038,CA 19-9,225000
1039,1039,CA 72 -4,218000
1040,1040,Ca++ máu,31300
1041,1041,Calci,28100
1042,1042,Calcitonin,218000
1043,1043,Catecholamin,353000
1044,1044,CEA,141300
1045,1045,Ceruloplasmin,114100
1046,1046,CK-MB,62500
1047,1047,Complement 3 (C3)/4 (C4) (1 loại),96900
1048,1048,Cortison,149300
1049,1049,C-Peptid,281000
1050,1050,CPK,43400
1051,1051,CRP định lượng,87800
1052,1052,CRP hs,87800
1053,1053,Cyclosporine,530000
1054,1054,Cyfra 21 - 1,158500
1055,1055,"Điện giải đồ (Na, K, CL)",47500
1056,1056,Digoxin,141300
1057,1057,Định lượng 25OH Vitamin D (D3),476000
1058,1058,Định lượng Alpha1 Antitrypsin,106000
1059,1059,Định lượng Anti CCP,510000
1060,1060,Định lượng Beta Crosslap,225000
1061,1061,Định lượng Bilirubin toàn phần hoặc trực tiếp; các enzym: phosphataze kiềm hoặc GOT hoặc GPT…,40400
1062,1062,"Định lượng các chất Albumine; Creatine; Globuline; Glucose; Phospho, Protein toàn phần, Ure, Axit Uric, Amylase,…",40400
1063,1063,Định lượng Cystatine C,141300
1064,1064,Định lượng Ethanol (cồn),55700
1065,1065,Định lượng Free Kappa niệu/huyết thanh,854000
1066,1066,Định lượng Free Lambda niệu/huyết thanh,854000
1067,1067,Định lượng Gentamicin,158500
1068,1068,Định lượng Methotrexat,652000
1069,1069,Định lượng p2PSA,1128000
1070,1070,Định lượng sắt chưa bão hòa huyết thanh,123100
1071,1071,Định lượng Sắt huyết thanh hoặc Mg ++ huyết thanh,52500
1072,1072,Định lượng Tobramycin,158500
1073,1073,Định lượng Tranferin Receptor,177000
1074,1074,Định lượng Tryglyceride hoặc Phospholipid hoặc Lipid toàn phần hoặc Cholesterol toàn phần hoặc HDL-Cholesterol hoặc LDL - Cholesterol,48000
1075,1075,Đo hoạt độ Cholinesterase (ChE),43400
1076,1076,Đo hoạt độ P-Amylase,106000
1077,1077,Đo khả năng gắn sắt toàn thể,123100
1078,1078,Đường máu mao mạch,25300
1079,1079,E3 không liên hợp (Unconjugated Estriol),299000
1080,1080,Erythropoietin,132200
1081,1081,Estradiol,132200
1082,1082,Ferritin,132200
1083,1083,Folate,141300
1084,1084,Free bHCG (Free Beta Human Chorionic Gonadotropin),299000
1085,1085,FSH,132200
1086,1086,Gama GT,31300
1087,1087,GH,265000
1088,1088,GLDH,158500
1089,1089,Gross,26300
1090,1090,Haptoglobin,158500
1091,1091,HbA1C,165000
1092,1092,HBDH,158500
1093,1093,HE4,492000
1094,1094,Homocysteine,237000
1095,1095,IgA/IgG/IgM/IgE (1 loại),106000
1096,1096,Inhibin A,388000
1097,1097,Insuline,132200
1098,1098,Kappa định tính,158500
1099,1099,Khí máu,353000
1100,1100,Lactat,158500
1101,1101,Lambda định tính,158500
1102,1102,LDH,48000
1103,1103,LH,132200
1104,1104,Lipase,96900
1105,1105,Maclagan,26300
1106,1106,Myoglobin,149300
1107,1107,Ngộ độc thuốc,106000
1108,1108,Nồng độ rượu trong máu,48500
1109,1109,NSE (Neuron Specific Enolase),315000
1110,1110,Paracetamol,61500
1111,1111,Phản ứng cố định bổ thể,52500
1112,1112,Phản ứng CRP,35300
1113,1113,Phenytoin,132200
1114,1114,PLGF,1198000
1115,1115,Pre albumin,158500
1116,1116,Pro-BNP (N-terminal pro B-type natriuretic peptid),668000
1117,1117,Pro-calcitonin,652000
1118,1118,Progesteron,132200
1119,1119,PRO-GRP,572000
1120,1120,Prolactin,123100
1121,1121,PSA,149300
1122,1122,PSA tự do (Free prostate-Specific Antigen),141300
1123,1123,PTH,388000
1124,1124,Quinin/ Cloroquin/ Mefloquin,132200
1125,1125,RF (Rheumatoid Factor),63200
1126,1126,Salicylate,123100
1127,1127,SCC,334000
1128,1128,SFLT1,1198000
1129,1129,T3/FT3/T4/FT4 (1 loại),106000
1130,1130,Tacrolimus,1187000
1131,1131,Testosteron,153400
1132,1132,Theophylin,132200
1133,1133,Thyroglobulin,288000
1134,1134,TRAb định lượng,668000
1135,1135,Transferin/độ bão hòa tranferin,106000
1136,1136,Tricyclic anti depressant,132200
1137,1137,Troponin T/I,123100
1138,1138,TSH,109900
1139,1139,Vitamin B12,123100
1140,1140,Xác định Bacturate trong máu,334000
1141,1141,"Xác định các yếu tố vi lượng (đồng, kẽm...)",41300
1142,1142,Xác định các yếu tố vi lượng Fe (sắt),41300
1143,1143,Amphetamin (định tính),104000
1144,1144,Amylase niệu,61500
1145,1145,Calci niệu,40400
1146,1146,Catecholamin niệu (HPLC),688000
1147,1147,Điện di Protein nước tiểu (máy tự động),265000
1148,1148,"Điện giải đồ ( Na, K, Cl) niệu",47500
1149,1149,DPD,315000
1150,1150,Dưỡng chấp,35300
1151,1151,Gonadotrophin để chẩn đoán thai nghén bằng phương pháp hóa học-miễn dịch  định tính,38400
1152,1152,Gonadotrophin để chẩn đoán thai nghén định lượng,147400
